conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
283,"11377, 11982, 16129, 16286, 16823",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Bangladesh, Government of Burundi, Government of Indonesia, Government of Kenya, Government of Malawi, Government of Nepal, Government of South Africa, Government of South Sudan, Government of Tanzania, Government of Uganda, Government of Ukraine","CNPSC, FABB, M23, Mayi Mayi Kyandenga, RNL","1160, 3043, 6896, 7098, 7107",Government of Rwanda,2,,2022,544,536,740,4,"DR Congo (Zaire), Rwanda",490,"771, 516, 850, 501, 553, 790, 560, 626, 510, 369, 500",,517,490,"490, 517",4,25.1
283,11982,DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Angola, Government of Bangladesh, Government of Burundi, Government of Indonesia, Government of Kenya, Government of Nepal, Government of South Africa, Government of South Sudan, Government of Tanzania, Government of Uganda",M23,1160,Government of Rwanda,2,,2023,202,170,250,4,DR Congo (Zaire),490,"540, 771, 516, 850, 501, 790, 560, 626, 510, 500",,517,490,490,4,25.1
283,"14929, 16286",DR Congo (Zaire),Government of DR Congo (Zaire),89,,"Kamuina Nsapu, RNL","6590, 7098",,2,,2016,506,308,1822,3,DR Congo (Zaire),490,,,,490,490,4,25.1
283,16286,DR Congo (Zaire),Government of DR Congo (Zaire),89,,RNL,7098,,2,,2005,34,34,34,3,DR Congo (Zaire),490,,,,490,490,4,25.1
283,17740,DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Burundi, Government of Malawi, Government of South Africa, Government of Tanzania",AFC,8885,Government of Rwanda,2,,2024,904,732,2555,4,"DR Congo (Zaire), Rwanda",490,"516, 553, 560, 510",,517,490,"490, 517",4,25.1
283,584,DR Congo (Zaire),Government of DR Congo (Zaire),89,,AFDL,422,Government of Rwanda,2,,1996,1288,1148,1836,4,DR Congo (Zaire),490,,,517,490,490,4,25.1
283,584,DR Congo (Zaire),Government of DR Congo (Zaire),89,,AFDL,422,"Government of Angola, Government of Rwanda, Government of Uganda",2,,1997,4465,4046,4834,4,DR Congo (Zaire),490,,,"540, 517, 500",490,490,4,25.1
283,"585, 586",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Angola, Government of Chad, Government of Namibia, Government of Zimbabwe (Rhodesia)","MLC, RCD","423, 424","Government of Rwanda, Government of Uganda",2,,1998,3343,3022,5711,4,DR Congo (Zaire),490,"540, 483, 565, 552",,"500, 517",490,490,4,25.1
283,"585, 586",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Angola, Government of Chad, Government of Namibia, Government of Zimbabwe (Rhodesia)","MLC, RCD","423, 424","Government of Rwanda, Government of Uganda",2,,1999,2953,2598,3229,4,DR Congo (Zaire),490,"540, 483, 565, 552",,"500, 517",490,490,4,25.1
283,"585, 586",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Angola, Government of Namibia, Government of Zimbabwe (Rhodesia)","MLC, RCD","423, 424","Government of Rwanda, Government of Uganda",2,,2000,1294,1260,2458,4,DR Congo (Zaire),490,"540, 565, 552",,"500, 517",490,490,4,25.1
283,586,DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Angola, Government of Namibia, Government of Zimbabwe (Rhodesia)",RCD,424,Government of Rwanda,2,,2001,454,454,734,4,DR Congo (Zaire),490,"540, 565, 552",,517,490,490,4,25.1
283,588,DR Congo (Zaire),Government of DR Congo (Zaire),89,,CNDP,426,,2,,2006,182,54,362,3,"DR Congo (Zaire), Uganda",490,,,,490,"490, 500",4,25.1
283,588,DR Congo (Zaire),Government of DR Congo (Zaire),89,,CNDP,426,,2,,2007,516,516,553,3,DR Congo (Zaire),490,,,,490,490,4,25.1
283,588,DR Congo (Zaire),Government of DR Congo (Zaire),89,,CNDP,426,,2,,2008,486,486,486,3,DR Congo (Zaire),490,,,,490,490,4,25.1
383,"10516, 15065",Turkey,Government of Turkey,115,,"TAK, Yurtta Sulh Konseyi","2034, 6689",,2,,2016,434,434,514,3,Turkey,640,,,,640,640,2,25.1
383,16900,Turkey,Government of Turkey,115,,TKP-ML,8179,,2,,2000,30,30,30,3,Turkey,640,,,,640,640,2,25.1
383,822,Turkey,Government of Turkey,115,,DHKP-C,334,,2,,1991,39,39,39,3,Turkey,640,,,,640,640,2,25.1
383,822,Turkey,Government of Turkey,115,,DHKP-C,334,,2,,1992,71,71,71,3,Turkey,640,,,,640,640,2,25.1
383,822,Turkey,Government of Turkey,115,,DHKP-C,334,,2,,1993,32,32,32,3,Turkey,640,,,,640,640,2,25.1
383,823,Turkey,Government of Turkey,115,,MKP,335,,2,,2005,30,30,30,3,Turkey,640,,,,640,640,2,25.1
13646,10589,Kenya,Government of Kenya,91,,Al-Shabaab,717,,1,Northeastern Province and Coast,2015,42,40,117,3,"Kenya, Somalia",501,,,,501,"501, 520",4,25.1
13646,10589,Kenya,Government of Kenya,91,,Al-Shabaab,717,,1,Northeastern Province and Coast,2016,49,49,83,3,"Kenya, Somalia",501,,,,501,"501, 520",4,25.1
13646,10589,Kenya,Government of Kenya,91,,Al-Shabaab,717,,1,Northeastern Province and Coast,2017,85,83,110,3,Kenya,501,,,,501,501,4,25.1
13646,10589,Kenya,Government of Kenya,91,,Al-Shabaab,717,,1,Northeastern Province and Coast,2018,69,59,147,3,Kenya,501,,,,501,501,4,25.1
13646,10589,Kenya,Government of Kenya,91,Government of United States of America,Al-Shabaab,717,,1,Northeastern Province and Coast,2019,61,60,94,4,Kenya,501,2,,,501,501,4,25.1
13646,10589,Kenya,Government of Kenya,91,Government of United States of America,Al-Shabaab,717,,1,Northeastern Province and Coast,2020,94,94,142,4,Kenya,501,2,,,501,501,4,25.1
13646,10589,Kenya,Government of Kenya,91,Government of United States of America,Al-Shabaab,717,,1,Northeastern Province and Coast,2021,78,78,184,4,"Kenya, Somalia",501,2,,,501,"501, 520",4,25.1
13646,10589,Kenya,Government of Kenya,91,,Al-Shabaab,717,,1,Northeastern Province and Coast,2022,72,71,148,3,Kenya,501,,,,501,501,4,25.1
13646,10589,Kenya,Government of Kenya,91,,Al-Shabaab,717,,1,Northeastern Province and Coast,2023,196,191,212,3,Kenya,501,,,,501,501,4,25.1
13646,10589,Kenya,Government of Kenya,91,,Al-Shabaab,717,,1,Northeastern Province and Coast,2024,52,49,53,3,Kenya,501,,,,501,501,4,25.1
419,"882, 10842",Ivory Coast,Government of Ivory Coast,76,,"FDSI-CI, FRCI","558, 1125",,2,,2011,98,90,179,3,Ivory Coast,437,,,,437,437,4,25.1
419,"879, 880",Ivory Coast,Government of Ivory Coast,76,,"MPCI, MPIGO","556, 557",,2,,2002,661,565,661,3,Ivory Coast,437,,,,437,437,4,25.1
419,"880, 881",Ivory Coast,Government of Ivory Coast,76,,"MJP, MPIGO","555, 557",,2,,2003,140,140,520,3,Ivory Coast,437,,,,437,437,4,25.1
419,882,Ivory Coast,Government of Ivory Coast,76,,FRCI,558,,2,,2004,47,47,48,3,Ivory Coast,437,,,,437,437,4,25.1
230,"459, 10855",Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,"AQAP, Ansarallah","881, 1091",,2,,2014,1826,1793,2213,4,Yemen (North Yemen),678,2,,,678,678,2,25.1
230,"459, 10855, 14595",Yemen (North Yemen),Government of Yemen (North Yemen),123,,"AQAP, Ansarallah, Forces of the Presidential Leadership Council","881, 1091, 6254","Government of Bahrain, Government of Egypt, Government of Eritrea, Government of Jordan, Government of Kuwait, Government of Morocco, Government of Qatar, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2015,7518,6988,8607,4,"Saudi Arabia, Yemen (North Yemen)",678,,,"692, 651, 531, 663, 690, 600, 694, 670, 625, 696",678,"670, 678",2,25.1
230,"459, 14595",Yemen (North Yemen),Government of Yemen (North Yemen),123,,"AQAP, Forces of the Presidential Leadership Council","881, 6254","Government of Bahrain, Government of Egypt, Government of Eritrea, Government of Jordan, Government of Kuwait, Government of Morocco, Government of Qatar, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2016,3133,3046,3260,4,"Saudi Arabia, Yemen (North Yemen)",678,,,"692, 651, 531, 663, 690, 600, 694, 670, 625, 696",678,"670, 678",2,25.1
230,"459, 14595, 15298",Yemen (North Yemen),Government of Yemen (North Yemen),123,,"AQAP, Forces of the Presidential Leadership Council, GPC","881, 6254, 6868","Government of Bahrain, Government of Egypt, Government of Eritrea, Government of Jordan, Government of Morocco, Government of Qatar, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2017,3164,3014,3603,4,"Saudi Arabia, Yemen (North Yemen)",678,,,"692, 651, 531, 663, 600, 694, 670, 625, 696",678,"670, 678",2,25.1
230,"459, 14595",Yemen (North Yemen),Government of Yemen (North Yemen),123,,"AQAP, Forces of the Presidential Leadership Council","881, 6254","Government of Bahrain, Government of Eritrea, Government of Morocco, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2018,4650,4554,6771,4,"Saudi Arabia, Yemen (North Yemen)",678,,,"692, 531, 600, 670, 625, 696",678,"670, 678",2,25.1
230,14595,Yemen (North Yemen),Government of Yemen (North Yemen),123,,Forces of the Presidential Leadership Council,6254,"Government of Bahrain, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2019,2634,2106,3577,4,"Saudi Arabia, Yemen (North Yemen)",678,,,"692, 670, 625, 696",678,"670, 678",2,25.1
230,14595,Yemen (North Yemen),Government of Yemen (North Yemen),123,,Forces of the Presidential Leadership Council,6254,"Government of Bahrain, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2020,6260,3760,16216,4,"Saudi Arabia, Yemen (North Yemen)",678,,,"692, 670, 625, 696",678,"670, 678",2,25.1
230,14595,Yemen (North Yemen),Government of Yemen (North Yemen),123,,Forces of the Presidential Leadership Council,6254,"Government of Bahrain, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2021,23357,22110,33634,4,"Saudi Arabia, Yemen (North Yemen)",678,,,"692, 670, 625, 696",678,"670, 678",2,25.1
230,14595,Yemen (North Yemen),Government of Yemen (North Yemen),123,,Forces of the Presidential Leadership Council,6254,"Government of Bahrain, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2022,2920,2136,3572,4,"United Arab Emirates, Yemen (North Yemen)",678,,,"692, 670, 625, 696",678,"696, 678",2,25.1
230,14595,Yemen (North Yemen),Government of Yemen (North Yemen),123,,Forces of the Presidential Leadership Council,6254,"Government of Bahrain, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",2,,2023,804,735,4615,4,"Saudi Arabia, Yemen (North Yemen)",678,,,"692, 670, 625, 696",678,"670, 678",2,25.1
230,14595,Yemen (North Yemen),Government of Yemen (North Yemen),123,,Forces of the Presidential Leadership Council,6254,"Government of Bahrain, Government of Saudi Arabia, Government of United Arab Emirates",2,,2024,779,397,805,4,Yemen (North Yemen),678,,,"692, 670, 696",678,678,2,25.1
230,459,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2009,94,94,103,4,Yemen (North Yemen),678,2,,,678,678,2,25.1
230,459,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2010,175,149,244,4,Yemen (North Yemen),678,2,,,678,678,2,25.1
230,459,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2011,1143,1116,1204,4,Yemen (North Yemen),678,2,,,678,678,2,25.1
230,459,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2012,2366,2360,2451,4,Yemen (North Yemen),678,2,,,678,678,2,25.1
230,459,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2013,578,572,646,4,Yemen (North Yemen),678,2,,,678,678,2,25.1
343,10882,Tunisia,Government of Tunisia,110,,AQIM,539,,2,,2013,29,29,30,3,Tunisia,616,,,,616,616,4,25.1
343,10882,Tunisia,Government of Tunisia,110,,AQIM,539,,2,,2014,50,50,60,3,Tunisia,616,,,,616,616,4,25.1
343,"10882, 14744",Tunisia,Government of Tunisia,110,,"AQIM, JAK-T","539, 6359",,2,,2015,59,59,61,3,Tunisia,616,,,,616,616,4,25.1
11346,"10885, 11980",Libya,Government of Libya,111,Government of Zimbabwe (Rhodesia),"Forces of Muammar Gaddafi, NTC","1126, 1127",,2,,2011,3762,3722,6285,4,Libya,620,552,,,620,620,4,25.1
11346,"14059, 14249",Libya,Government of Libya,111,,"Forces of the House of Representatives, Zintan Military Council","5802, 5940",,2,,2014,274,274,274,3,Libya,620,,,,620,620,4,25.1
11346,14059,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,,2,,2015,156,156,190,3,Libya,620,,,,620,620,4,25.1
11346,"14059, 15225, 15333",Libya,Government of Libya,111,,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL","5802, 6814, 6893",,2,,2017,308,308,337,3,Libya,620,,,,620,620,4,25.1
11346,14059,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,"Government of Sudan, Government of United Arab Emirates",2,,2019,1588,1381,1664,4,Libya,620,,,"625, 696",620,620,4,25.1
11346,14059,Libya,Government of Libya,111,Government of Turkey,Forces of the House of Representatives,5802,,2,,2020,668,564,784,4,Libya,620,640,,,620,620,4,25.1
11346,15539,Libya,Government of Libya,111,,ASL,7046,,2,,2013,31,17,61,3,Libya,620,,,,620,620,4,25.1
404,"857, 10961, 11336, 14227",Pakistan,Government of Pakistan,142,,"IMU, Jamaat-ul-Ahrar, Lashkar-e-Islam, TTP","356, 359, 399, 5928",,2,,2014,2947,2945,3016,3,Pakistan,770,,,,770,770,3,25.1
404,"857, 11336",Pakistan,Government of Pakistan,142,,"Lashkar-e-Islam, TTP","356, 399",,2,,2009,6303,4774,6721,3,Pakistan,770,,,,770,770,3,25.1
404,"857, 11336",Pakistan,Government of Pakistan,142,,"Lashkar-e-Islam, TTP","356, 399",,2,,2010,5574,5322,6409,3,Pakistan,770,,,,770,770,3,25.1
404,"857, 11336, 11497",Pakistan,Government of Pakistan,142,,"Lashkar-e-Islam, TTP, TTP - TA","356, 399, 1101",,2,,2012,2673,2673,2742,3,Pakistan,770,,,,770,770,3,25.1
404,"857, 11336",Pakistan,Government of Pakistan,142,,"Lashkar-e-Islam, TTP","356, 399",,2,,2013,1729,1729,1758,3,Pakistan,770,,,,770,770,3,25.1
404,"857, 12287, 17628",Pakistan,Government of Pakistan,142,,"HGB, TJP, TTP","356, 4102, 8789",,2,,2023,872,834,879,3,"Afghanistan, Pakistan",770,,,,770,"700, 770",3,25.1
404,"857, 12287",Pakistan,Government of Pakistan,142,,"HGB, TTP","356, 4102",,2,,2024,1304,1284,1380,3,"Afghanistan, Pakistan",770,,,,770,"700, 770",3,25.1
404,855,Pakistan,Government of Pakistan,142,,MQM,354,,2,,1990,70,70,70,3,Pakistan,770,,,,770,770,3,25.1
404,855,Pakistan,Government of Pakistan,142,,MQM,354,,2,,1994,38,38,38,3,Pakistan,770,,,,770,770,3,25.1
404,855,Pakistan,Government of Pakistan,142,,MQM,354,,2,,1995,52,52,55,3,Pakistan,770,,,,770,770,3,25.1
404,855,Pakistan,Government of Pakistan,142,,MQM,354,,2,,1996,42,42,42,3,Pakistan,770,,,,770,770,3,25.1
404,857,Pakistan,Government of Pakistan,142,,TTP,356,,2,,2007,585,585,727,3,Pakistan,770,,,,770,770,3,25.1
404,857,Pakistan,Government of Pakistan,142,,TTP,356,,2,,2008,2998,2980,3699,3,Pakistan,770,,,,770,770,3,25.1
404,857,Pakistan,Government of Pakistan,142,,TTP,356,,2,,2011,2598,2561,2909,3,"Afghanistan, Pakistan",770,,,,770,"700, 770",3,25.1
404,857,Pakistan,Government of Pakistan,142,Government of Afghanistan,TTP,356,,2,,2015,1954,1954,1989,4,"Afghanistan, Pakistan",770,700,,,770,"700, 770",3,25.1
404,857,Pakistan,Government of Pakistan,142,Government of Afghanistan,TTP,356,,2,,2016,526,526,534,4,"Afghanistan, Pakistan",770,700,,,770,"700, 770",3,25.1
404,857,Pakistan,Government of Pakistan,142,Government of Afghanistan,TTP,356,,2,,2017,506,506,507,4,"Afghanistan, Pakistan",770,700,,,770,"700, 770",3,25.1
404,857,Pakistan,Government of Pakistan,142,Government of Afghanistan,TTP,356,,2,,2018,147,147,155,4,"Afghanistan, Pakistan",770,700,,,770,"700, 770",3,25.1
404,857,Pakistan,Government of Pakistan,142,,TTP,356,,2,,2019,148,148,153,3,Pakistan,770,,,,770,770,3,25.1
404,857,Pakistan,Government of Pakistan,142,,TTP,356,,2,,2020,186,186,186,3,Pakistan,770,,,,770,770,3,25.1
404,857,Pakistan,Government of Pakistan,142,,TTP,356,,2,,2021,259,257,273,3,"Afghanistan, Pakistan",770,,,,770,"700, 770",3,25.1
404,857,Pakistan,Government of Pakistan,142,,TTP,356,,2,,2022,494,492,525,3,"Afghanistan, Pakistan",770,,,,770,"700, 770",3,25.1
11350,"10985, 11991",Bangladesh,Government of Bangladesh,143,,"PBCP, PBCP-J","805, 1165",,2,,2005,62,61,68,3,Bangladesh,771,,,,771,771,3,25.1
11350,11991,Bangladesh,Government of Bangladesh,143,,PBCP-J,1165,,2,,2006,57,57,58,3,Bangladesh,771,,,,771,771,3,25.1
222,"10988, 14273, 16759",Myanmar (Burma),Government of Myanmar (Burma),144,,"CNF, NUG, PSLF","2649, 5965, 8060",,2,,2023,1682,1589,6814,3,"India, Myanmar (Burma)",775,,,,775,"750, 775",3,25.1
222,14273,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2013,29,29,30,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,14273,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2014,37,37,203,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,14273,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2015,106,106,181,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,14273,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2017,46,46,46,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,14273,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2018,46,34,77,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,14273,Myanmar (Burma),Government of Myanmar (Burma),144,,PSLF,5965,,2,,2019,49,36,91,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,"14273, 16759",Myanmar (Burma),Government of Myanmar (Burma),144,,"NUG, PSLF","5965, 8060",,2,,2022,1313,1156,6342,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,"14273, 16759, 17806",Myanmar (Burma),Government of Myanmar (Burma),144,,"NUG, PNLO, PSLF","5965, 8060, 8449",,2,,2024,1244,1232,2363,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,16759,Myanmar (Burma),Government of Myanmar (Burma),144,,NUG,8060,,2,,2021,684,595,3291,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,434,Myanmar (Burma),Government of Myanmar (Burma),144,,ABSDF,185,,2,,1990,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,434,Myanmar (Burma),Government of Myanmar (Burma),144,,ABSDF,185,,2,,1991,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,434,Myanmar (Burma),Government of Myanmar (Burma),144,,ABSDF,185,,2,,1992,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,25.1
222,434,Myanmar (Burma),Government of Myanmar (Burma),144,,ABSDF,185,,2,,1994,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,25.1
11475,11018,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,1991,150,150,150,3,Myanmar (Burma),775,,,,775,775,3,25.1
11475,11018,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,1995,33,33,33,3,Myanmar (Burma),775,,,,775,775,3,25.1
11475,11018,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,2000,43,43,43,3,"India, Myanmar (Burma)",775,,,,775,"750, 775",3,25.1
11475,11018,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,2001,62,62,62,3,Myanmar (Burma),775,,,,775,775,3,25.1
11475,11018,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,2005,38,23,38,3,Myanmar (Burma),775,,,,775,775,3,25.1
11475,11018,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,2006,92,92,97,3,Myanmar (Burma),775,,,,775,775,3,25.1
11475,11018,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1,Nagaland,2007,215,215,215,3,Myanmar (Burma),775,,,,775,775,3,25.1
13692,11199,"Afghanistan, United Kingdom, United States of America",Government of Afghanistan,130,,"Government of United Kingdom, Government of United States of America","28, 3",,2,,2001,1397,1388,2075,2,Afghanistan,700,,"200, 2",,"2, 200, 700",700,"1, 3, 5",25.1
308,"658, 11246",Philippines,Government of Philippines,154,,"ASG, BIFM","277, 1146",,1,Mindanao,2012,113,107,138,3,Philippines,840,,,,840,840,3,25.1
308,"658, 659, 11246",Philippines,Government of Philippines,154,,"ASG, BIFM, MNLF - NM","277, 278, 1146",,1,Mindanao,2013,349,349,414,3,Philippines,840,,,,840,840,3,25.1
308,"658, 11246",Philippines,Government of Philippines,154,,"ASG, BIFM","277, 1146",,1,Mindanao,2014,280,276,288,3,Philippines,840,,,,840,840,3,25.1
308,"657, 658, 11246",Philippines,Government of Philippines,154,,"ASG, BIFM, MILF","276, 277, 1146",,1,Mindanao,2015,404,394,565,3,Philippines,840,,,,840,840,3,25.1
308,"658, 11246, 14913, 15474",Philippines,Government of Philippines,154,,"ASG, BIFM, Maute group, al-Harakat al-Islamiyah","277, 1146, 6578, 6998",,1,Mindanao,2016,303,274,349,3,Philippines,840,,,,840,840,3,25.1
