Entity,Code,Year,cephalopods__00002766__production__005511__tonnes,molluscs__other__00002767__production__005511__tonnes,crustaceans__00002765__production__005511__tonnes,marine_fish__other__00002764__production__005511__tonnes,demersal_fish__00002762__production__005511__tonnes,pelagic_fish__00002763__production__005511__tonnes,freshwater_fish__00002761__production__005511__tonnes
Africa,,1985,112070,8440,53360,294950,632450,1533720,1335230
Africa,,1986,123640,8470,68350,381980,605760,1687370,1456170
Africa,,1987,137540,10390,85180,392570,602250,2329880,1515830
Africa,,1988,144960,6740,73750,364910,587000,2355360,1607790
Africa,,1989,146870,7510,78100,347810,618430,1947650,1612160
Africa,,1990,156560,9230,81730,451920,606500,1870190,1731920
Africa,,1991,177650,11910,83770,321380,606530,1819110,1607420
Africa,,1992,150480,11280,83580,347360,705110,2489810,1665260
Africa,,1993,166170,11220,91580,353440,638550,2504310,1678230
Africa,,1994,147880,11790,95190,357110,698950,2397780,1672660
Africa,,1995,161120,15460,115000,339280,776530,2449680,1871310
Africa,,1996,152020,13610,98000,389790,830220,2210850,1811730
Africa,,1997,131110,12680,120170,420700,846130,2465510,1862120
Africa,,1998,163740,18380,124900,368980,947560,2496040,1925370
Africa,,1999,216290,14350,131300,472980,950910,2537270,2005960
Africa,,2000,221090,13810,135970,351260,1026290,2881710,2129620
Africa,,2001,207100,17030,140760,409750,1088400,3119730,2124350
Africa,,2002,150820,17960,155630,410920,1121440,2980780,2180290
Africa,,2003,136870,16620,154860,358690,1209340,3204610,2289020
Africa,,2004,118090,14640,146470,451210,1212600,3236510,2442930
Africa,,2005,143100,16620,155190,493950,1210810,3133140,2605260
Africa,,2006,128100,17020,149040,463630,1270090,2769070,2560320
Africa,,2007,130230,18070,147910,476930,1299690,2740510,2765450
Africa,,2008,129470,22420,126610,435810,1269510,2888930,2903260
Africa,,2009,147970,26240,131370,460800,1264580,2932360,3004220
Africa,,2010,121020,27000,146000,437220,1308080,3293030,3715200
Africa,,2011,134000,24000,149000,495890,1326080,3157030,3926200
Africa,,2012,143000,25000,156000,467000,1373000,3778000,3968000
Africa,,2013,175000,32000,172000,469000,1407000,3537000,4213000
Africa,,2014,156000,30000,178000,493000,1447000,3811000,4330000
Africa,,2015,193000,36000,174000,521000,1485000,3857000,4345000
Africa,,2016,191000,38000,185000,579000,1612000,4166000,4546000
Africa,,2017,193000,42000,240000,646000,1836000,4484000,4624000
Africa,,2018,189000,43000,230000,673000,1810000,4598000,4829000
Africa,,2019,223000,49000,237000,548000,1824000,4404000,5111000
Africa,,2020,237000,46000,236000,546000,1899000,4261000,4938000
Africa,,2021,247000,45000,256000,525000,2003000,4309000,5032000
Africa,,2022,247000,45000,256000,525000,2003000,4309000,5003000
Africa (FAO),,1961,3300,1700,30700,157110,234080,1377400,532120
Africa (FAO),,1962,3000,2100,32800,201070,245820,1446060,570990
Africa (FAO),,1963,3600,3300,29500,180030,269570,1547360,612730
Africa (FAO),,1964,3800,3900,36200,202180,278620,1763690,673400
Africa (FAO),,1965,4700,5100,35100,180430,303360,1788800,690780
Africa (FAO),,1966,4300,5000,34800,220080,349410,1916330,734570
Africa (FAO),,1967,3600,4110,30600,223040,308890,2242150,769180
Africa (FAO),,1968,5400,3920,33500,240590,317780,2599430,827800
Africa (FAO),,1969,9800,2920,29700,228800,304060,2553530,870090
Africa (FAO),,1970,6950,2920,32850,208330,354080,1929490,968140
Africa (FAO),,1971,6310,3320,35570,226800,397950,1923000,991830
Africa (FAO),,1972,6630,3640,40310,276240,435960,2203460,995200
Africa (FAO),,1973,9070,3740,41170,256040.02,493180,2352620,1041130
Africa (FAO),,1974,27850,5250,47940,270350,454840,2308130,1050270
Africa (FAO),,1975,28560,5330,43500,241340,446710,2045960,1097270
Africa (FAO),,1976,31530,5030,46660,174890,492370,1809750,1117910
Africa (FAO),,1977,33480,7180,45310,171030,530070,1642430,1213040
Africa (FAO),,1978,37100,6070,47480,153560,574300,1692400,1160540
Africa (FAO),,1979,22390,9530,46210,160440,594370,1624500,1144160
Africa (FAO),,1980,30360,13700,51650,198310,536090,1495230,1190030
Africa (FAO),,1981,50920,11870,50670,225780,539410,1631980,1165140
Africa (FAO),,1982,68860,8370,52870,218010,558290,1530330,1224880
Africa (FAO),,1983,110110,9740,52950,295690,513020.03,1747980,1245070
Africa (FAO),,1984,112500,7280,55010,298000,564520,1478220,1327160
Africa (FAO),,1985,112070,8420,53380,294930,632460,1533690,1335250
Africa (FAO),,1986,123610,8470,68330,381980,605780,1687370,1456200
Africa (FAO),,1987,137540,10380,85170,392550,602250,2329870,1515850
Africa (FAO),,1988,144950,6730,73730,364890,586960,2355340,1607790
Africa (FAO),,1989,146870,7510,78090,347820,618420,1947630,1612130
Africa (FAO),,1990,156560,9230,81700,451910,606480,1870180,1731910
Africa (FAO),,1991,177630,11890,83760,321370,606520,1819100,1607400
Africa (FAO),,1992,150450,11290,83580,347320,705100,2489780,1665260
Africa (FAO),,1993,166160,11200,91570,353430,638530,2504310,1678240
Africa (FAO),,1994,147880,11770,95190,357100,698940,2397780,1672660
Africa (FAO),,1995,161100,15460,114980,339280,776510,2449670,1871320
Africa (FAO),,1996,152050,13600,98000,389790,830230,2210870,1811720
Africa (FAO),,1997,131130,12660,120160,420670,846110,2465510,1862110
Africa (FAO),,1998,163750,18380,124890,368980,947550,2496010,1925340
Africa (FAO),,1999,216300,14350,131270,472970,950880,2537300,2005960
Africa (FAO),,2000,221100,13810,135960,351270,1026280,2881680,2129620
Africa (FAO),,2001,207080,17030,140740,409740,1088380,3119720,2124340
Africa (FAO),,2002,150790,17970,155630,410920,1121430,2980780,2180270
Africa (FAO),,2003,136880,16620,154850,358680,1209330,3204600,2289000
Africa (FAO),,2004,118080,14650,146430,451200,1212580,3236500,2442900
Africa (FAO),,2005,143090,16630,155160,493950,1210790,3133150,2605230
Africa (FAO),,2006,128110,17020,149030,463610,1270080,2769070,2560290
Africa (FAO),,2007,130229.99,18070,147890,476930,1299690,2740500,2765420
Africa (FAO),,2008,129460.01,22430,126620,435800,1269500,2888910,2903220
Africa (FAO),,2009,147970,26250,131370,460820,1264590,2932340,3004210
Africa (FAO),,2010,121000,27000,144000,430000,1307000,3293000,3649000
Africa (FAO),,2011,135000,26000,150000,491000,1328000,3154000,3863000
Africa (FAO),,2012,143000,26000,154000,467000,1371000,3779000,3968000
Africa (FAO),,2013,174000,32000,171000,467000,1408000,3537000,4212000
Africa (FAO),,2014,155000,33000,178000,497000,1450000,3813000,4326000
Africa (FAO),,2015,192000,35000,177000,521000,1485000,3860000,4345000
Africa (FAO),,2016,191000,39000,186000,578000,1610000,4169000,4545000
Africa (FAO),,2017,193000,42000,241000,647000,1834000,4483000,4622000
Africa (FAO),,2018,188000,43000,230000,671000,1808000,4597000,4829000
Africa (FAO),,2019,222000,50000,236000,550000,1824000,4405000,5110000
Africa (FAO),,2020,237000,47000,235000,546000,1901000,4263000,4937000
Africa (FAO),,2021,245000,46000,256000,525000,2003000,4311000,5031000
Africa (FAO),,2022,245000,46000,256000,525000,2003000,4311000,5002000
Albania,ALB,1961,0,0,0,2100,0,0,1100
Albania,ALB,1962,0,0,0,1800,0,0,1000
Albania,ALB,1963,0,0,0,2000,0,0,1000
Albania,ALB,1964,0,0,0,2000,0,0,1000
Albania,ALB,1965,0,0,0,2600,0,0,1400
Albania,ALB,1966,0,0,0,2600,0,0,1400
Albania,ALB,1967,0,0,0,3300,0,0,1700
Albania,ALB,1968,0,0,0,4000,0,0,2000
Albania,ALB,1969,0,0,0,4600,0,0,2400
Albania,ALB,1970,0,0,0,5300,0,0,2700
Albania,ALB,1971,0,0,0,5300,0,0,2700
Albania,ALB,1972,0,0,0,5300,0,0,2700
Albania,ALB,1973,0,0,0,5300,0,0,2700
Albania,ALB,1974,0,0,0,5500,0,0,3000
Albania,ALB,1975,0,0,0,5500,0,0,3000
Albania,ALB,1976,0,0,0,5500,0,0,3000
Albania,ALB,1977,0,10,0,5490,0,0,3000
Albania,ALB,1978,0,10,0,5990,0,0,3000
Albania,ALB,1979,0,50,0,5950,0,0,3000
Albania,ALB,1980,0,100,0,5900,0,0,3000
Albania,ALB,1981,0,200,0,6140,0,0,3030
Albania,ALB,1982,0,410,0,5720,0,0,3380
Albania,ALB,1983,0,840,0,1260,2140,2500,3060
Albania,ALB,1984,0,910,0,920,1380,2070,2720
Albania,ALB,1985,0,900,0,860,1510,5050,3080
Albania,ALB,1986,0,1750,0,1540,1770,3660,3200
Albania,ALB,1987,0,2520,150,980,2230,4800,2440
Albania,ALB,1988,0,3610,220,1030,2240,4630,2840
Albania,ALB,1989,0,2040,210,2480,1690,2670,2860
Albania,ALB,1990,0,4620,50,710,3580,3880,2170
Albania,ALB,1991,0,710,20,570,1080,510,980
Albania,ALB,1992,0,360,20,50,1600,50,1020
Albania,ALB,1993,0,320,10,250,1280,70,950
Albania,ALB,1994,0,310,10,450,820,120,800
Albania,ALB,1995,110,300,30,110,590,290,290
Albania,ALB,1996,160,250,30,330,940,310,430
Albania,ALB,1997,130,100,20,110,500,60,190
Albania,ALB,1998,240,100,30,370,1200,140,740
Albania,ALB,1999,230,200,20,380,1200,180,850
Albania,ALB,2000,230,200,20,790,1260,190,960
Albania,ALB,2001,110,150,100,310,1280,200,1440
Albania,ALB,2002,240,350,180,320,1700,240,1480
Albania,ALB,2003,230,860,200,0,1200,220,1560
Albania,ALB,2004,280,800,310,720,1870,250,1860
Albania,ALB,2005,190,860,250,940,1780,290,2150
Albania,ALB,2006,270,1360,210,900,2430,390,2130
Albania,ALB,2007,210,1360,220,770,1950,410,2590
Albania,ALB,2008,250,950,220,850,2130,460,2500
Albania,ALB,2009,300,1250,290,980,2130,520,2660
Albania,ALB,2010,0,1000,0,1000,2000,0,2000
Albania,ALB,2011,0,1000,0,1000,2000,0,2000
Albania,ALB,2012,0,1000,2000,0,4000,3000,2000
Albania,ALB,2013,0,1000,2000,0,4000,3000,2000
Albania,ALB,2014,0,1000,2000,1000,4000,3000,2000
Albania,ALB,2015,0,0,2000,0,5000,2000,2000
Albania,ALB,2016,0,1000,2000,0,5000,1000,2000
Albania,ALB,2017,0,0,2000,0,6000,2000,2000
Albania,ALB,2018,0,1000,2000,0,5000,2000,4000
Albania,ALB,2019,0,1000,2000,0,5000,2000,4000
Albania,ALB,2020,0,1000,2000,0,5000,2000,4000
Albania,ALB,2021,0,1000,2000,0,5000,2000,4000
Albania,ALB,2022,0,1000,2000,0,5000,2000,4000
Algeria,DZA,1961,0,0,2000,7000,1300,20100,0
Algeria,DZA,1962,0,0,1700,7000,1500,11300,0
Algeria,DZA,1963,0,0,900,2300,1500,12200,0
Algeria,DZA,1964,0,0,1200,1900,1700,12500,0
Algeria,DZA,1965,0,0,1100,2000,1000,14200,0
Algeria,DZA,1966,0,0,1300,2800,1800,14450,0
Algeria,DZA,1967,0,0,2000,2500,2100,14550,0
Algeria,DZA,1968,0,0,1400,2200,1500,13150,0
Algeria,DZA,1969,0,0,1100,4100,1800,16150,0
Algeria,DZA,1970,0,0,1000,0,3900,19330,0
Algeria,DZA,1971,0,0,940,260,3460,19050,0
Algeria,DZA,1972,0,0,900,0,4470,22950,0
Algeria,DZA,1973,0,0,1330,600,4800,24510,0
Algeria,DZA,1974,0,0,2290,320,5620,27480,50
Algeria,DZA,1975,0,0,1550,290,5150,30710,0
Algeria,DZA,1976,0,0,1440,200,5850,27630,0
Algeria,DZA,1977,0,0,1580,230,6040,35620,0
Algeria,DZA,1978,0,0,1790,280,6470,25600,0
Algeria,DZA,1979,0,0,1740,160,7240,29540,0
Algeria,DZA,1980,0,0,2160,190,8990,36660,0
Algeria,DZA,1981,0,0,2520,220,10490,42770,0
Algeria,DZA,1982,0,0,2900,260,12080,49260,0
Algeria,DZA,1983,0,0,2920,260,12170,49640,0
Algeria,DZA,1984,0,10,2950,260,12290,50020,60
Algeria,DZA,1985,0,10,3000,270,12380,50380,100
Algeria,DZA,1986,0,10,6050,0,3120,56120,200
Algeria,DZA,1987,0,10,7190,0,4730,82220,220
Algeria,DZA,1988,0,0,1960,0,4360,100160,260
Algeria,DZA,1989,760,0,2770,4080,9770,81830,340
Algeria,DZA,1990,650,20,2560,2610,8149.9995,76250,360
Algeria,DZA,1991,550,50,2160,2840,7160,67000,70
Algeria,DZA,1992,650,20,2390,1870,8280,82090,120
Algeria,DZA,1993,750,40,2610,1910,9440,87250,200
Algeria,DZA,1994,900,30,3030,2740,10660,118140,310
Algeria,DZA,1995,830,30,2100,3890,8060.0005,91030,300
Algeria,DZA,1996,810,30,2360,3960,7900,66980,260
Algeria,DZA,1997,940,30,2860,3800,7590,76430,260
Algeria,DZA,1998,1310,20,3650,2350,9770,75270,250
Algeria,DZA,1999,890,10,3290,3400,9300,85560,200
Algeria,DZA,2000,920,20,4250,9320,8830,89890,280
Algeria,DZA,2001,930,30,3150,6010,9350,114250,360
Algeria,DZA,2002,970,30,2950,6750,10450,113270,380
Algeria,DZA,2003,1480,20,2650,8270,12390,116160,390
Algeria,DZA,2004,1340,10,2640,0,9870,99620,570
Algeria,DZA,2005,1900,10,2810,0,10770,110790,350
Algeria,DZA,2006,1360,20,2330,0,9740,132330,260
Algeria,DZA,2007,2320,90,1850,6450,11330,125380,350
Algeria,DZA,2008,1610,20,2200,14420,14550,106120,2720
Algeria,DZA,2009,1300,10,2610,13560,12110,97990,2090
Algeria,DZA,2010,1000,0,2000,14000,11000,66000,2000
Algeria,DZA,2011,1000,0,2000,13000,12000,72000,2000
Algeria,DZA,2012,1000,0,2000,6000,12000,85000,2000
Algeria,DZA,2013,1000,0,2000,9000,10000,80000,2000
Algeria,DZA,2014,1000,0,2000,15000,9000,70000,2000
Algeria,DZA,2015,2000,0,2000,13000,9000,70000,1000
Algeria,DZA,2016,1000,0,2000,17000,9000,70000,2000
Algeria,DZA,2017,1000,0,2000,17000,10000,76000,3000
Algeria,DZA,2018,2000,0,2000,16000,9000,88000,3000
Algeria,DZA,2019,1000,1000,2000,12000,8000,79000,3000
Algeria,DZA,2020,0,0,2000,0,10000,62000,2000
Algeria,DZA,2021,1000,0,2000,0,7000,71000,2000
Algeria,DZA,2022,1000,0,2000,0,7000,71000,2000
Americas (FAO),,1961,18720,654510,392190,188330,1254890,7328630,488470
Americas (FAO),,1962,10700,652790,414700,216480,1411060,9245310,515690
Americas (FAO),,1963,14660,688020,443740,228460,1423330,9135000,488710
Americas (FAO),,1964,24220,702960,449670,247120,1417770,11629600,539120
Americas (FAO),,1965,20170,703610,507120,262650,1529050,9598050,541400
Americas (FAO),,1966,20930,705250,527850,270470,1601010,11434000,585720
Americas (FAO),,1967,25480,706310,551580,328030,1535740,12437640,500580
Americas (FAO),,1968,20850,723920,532530,342420,1591890,13354840,622720
Americas (FAO),,1969,16740,710970,557150,316420,1479950,11862980,516969.97
Americas (FAO),,1970,18100,818060,630290,332300,1551000,15569930,592020
Americas (FAO),,1971,24900,798770,646350,349800,1522960,14105670,529400
Americas (FAO),,1972,19960,788220,670800,376800,1516750,7437640,556510
Americas (FAO),,1973,18300,779070,658450,638500,1787540,4754870,583140
Americas (FAO),,1974,28820,796830,657270,364740,1568640,7257800,597500
Americas (FAO),,1975,28610,843840,637040,375420,1528250,6472040,587790
Americas (FAO),,1976,45470,857590,682410,344580,1691240,8127910,623540
Americas (FAO),,1977,60240,918830,742980,350530,1889510,6344970,672830
Americas (FAO),,1978,130429.99,1022450,786970,471450,2380700,8194389.5,733890
Americas (FAO),,1979,227250,999740,795380,560120,2352430,9312230,726240
Americas (FAO),,1980,94410,1029790.06,776650,575820,2389010,8850520,859650
Americas (FAO),,1981,79510,1253030,780760,741630,2605790,9143820,987660
Americas (FAO),,1982,96040,1124550,756450,467960,2798020,10605060,1024160.06
Americas (FAO),,1983,76410,1102390,769150,553740,2759340,8632920,1063550
Americas (FAO),,1984,72740,1479550,795350,606040,2953870,11297400,1102150
Americas (FAO),,1985,72310,1265150,827380,753520,3354490,12699720,1173570
Americas (FAO),,1986,88690,1144050,896860,794870,3866000,14642500,1200610
Americas (FAO),,1987,107960,1229460,922400,764580,4596260,12681430,1232370
Americas (FAO),,1988,120450,1247520,940010,730020,4900450,14860300,1218680
Americas (FAO),,1989,143180,1245870,951270,632830,4730990,16193700,1323330
Americas (FAO),,1990,138850,1184120,956100,807480,4900680,14351200,1260990
Americas (FAO),,1991,190510,1119250,1077840,867680,4383090,15204680,1314640
Americas (FAO),,1992,205500,1176330,1087750,663890,4581740,15924920,1326570
Americas (FAO),,1993,334400,1174550,1077060,661390,4569970,17185650,1462430
Americas (FAO),,1994,388330,1165800,1037290.06,687230,4422170,22167770,1491050
Americas (FAO),,1995,419730,1139430,1039540.06,644040,4529700,18705120,1708920
Americas (FAO),,1996,587850,1065550,1055860,550570,4771670,18666000,1665870
Americas (FAO),,1997,729990,1039680.06,1148520,576330,4408900,16555650,1641700
Americas (FAO),,1998,422180,1010460,1242340,793170,4493900,9500620,1690860
Americas (FAO),,1999,632230,1086580,1240360,617910,4034240,15643910,1811040
Americas (FAO),,2000,606530,1231080,1139580,615900,3887060,17390750,1904440
Americas (FAO),,2001,544860,1305910,1177780,534480,4267030,14516900,2138360
Americas (FAO),,2002,586010,1324770,1256530,458050,4248500,15709170,2128250
Americas (FAO),,2003,530150,1407000,1374470,411380,4184040,12291370,2226270
Americas (FAO),,2004,744160,1454350,1372610,465540,4443400,16733949,2344890
Americas (FAO),,2005,914800,1279290,1374180,474200,4467240,15756650,2426030
Americas (FAO),,2006,1191870,1386090,1549330,376440,4613880,13101350,2392420
Americas (FAO),,2007,979530,1474850,1505600,356020,3990200,13557950,2426070
Americas (FAO),,2008,1126660,1431510,1532700,295910,3786320,13516180,2394050
Americas (FAO),,2009,770840,1454820,1533300,315980,3561200,13154090,2457540
Americas (FAO),,2010,894000,1527000,1616000,298000,3428000,9499000,2352000
Americas (FAO),,2011,872000,1625000,1717000,293000,4036000,13952000,2517000
Americas (FAO),,2012,940000,1416000,1733000,338000,3842000,9942000,2675000
Americas (FAO),,2013,954000,1401000,1726000,287000,3921000,10097000,2871000
Americas (FAO),,2014,1196000,1383000,1849000,288000,4058000,7844000,3009000
Americas (FAO),,2015,914000,1286000,2009000,237000,3891000,8973000,3087000
Americas (FAO),,2016,691000,1370000,1985000,252000,4195000,7777000,2814000
Americas (FAO),,2017,706000,1441000,2068000,231000,4309000,8495000,3159000
Americas (FAO),,2018,773000,1395000,2258000,257000,4141000,11687000,3077000
Americas (FAO),,2019,810000,1594000,2175000,605000,4051000,8900000,3237000
Americas (FAO),,2020,890000,1605000,2152000,605000,3998000,8905000,3252000
Americas (FAO),,2021,851000,1614000,2207000,605000,4008000,8934000,3264000
Americas (FAO),,2022,851000,1614000,2207000,605000,4008000,8934000,3264000
Angola,AGO,1961,100,,100,25600,22300,193400,5300
Angola,AGO,1962,0,,0,49800,25400,194100,5500
Angola,AGO,1963,0,,0,31600,21300,186900,5500
Angola,AGO,1964,0,,0,32800,18600,305100,5500
Angola,AGO,1965,0,,0,28400,15600,213500,5800
Angola,AGO,1966,0,,0,27900,21900,279700,5800
Angola,AGO,1967,0,,0,29000,15800,248500,6000
Angola,AGO,1968,0,,0,35700,18200,243200,6000
Angola,AGO,1969,0,,0,34100,15400,369700,6000
Angola,AGO,1970,0,,0,31500,22200,314800,6000
Angola,AGO,1971,0,,0,47900,15800,254620,6000
Angola,AGO,1972,100,,100,72700,13700,514060,6000
Angola,AGO,1973,0,,170,70760,9490,391730,6500
Angola,AGO,1974,160,,830,57430,11890,322970,6500
Angola,AGO,1975,560,,260,3290,8860,140630,7000
Angola,AGO,1976,510,,330,2210,15090,56410,7000
Angola,AGO,1977,210,,90,1800,18860,92450,7000
Angola,AGO,1978,100,,250,5000,14090,99200,7000
Angola,AGO,1979,20,,100,4240,12140,89570,7000
Angola,AGO,1980,20,,460,940,8460,67700,7500
Angola,AGO,1981,70,,90,2640,12410,108250,7500
Angola,AGO,1982,90,,60,4010.0002,12440,87390,7500
Angola,AGO,1983,90,,60,46090,3170,53470,7500
Angola,AGO,1984,10,,30,65180,800,21660,7500
Angola,AGO,1985,0,,880,37420,1810,52480,7500
Angola,AGO,1986,0,,80,30330,2870,43380,8000
Angola,AGO,1987,0,,170,71680,240,27410,8000
Angola,AGO,1988,30,,330,38580,420,78690,8000
Angola,AGO,1989,170,,260,45630,2100,81300,8000
Angola,AGO,1990,120,,900,42590,3730,77760,8000
Angola,AGO,1991,410,,600,53130,2340,53630,7000
Angola,AGO,1992,590,,1190,53030,5100,46720,7000
Angola,AGO,1993,260,,1510,52630,8000,56790,7000
Angola,AGO,1994,1130,,1940,63600,9210,49520,7000
Angola,AGO,1995,240,,1220,44800,10590,59930,6000
Angola,AGO,1996,100,,2180,80570,11280,37680,6000
Angola,AGO,1997,0,,1720,74580,6940,57070,6000
Angola,AGO,1998,820,,2780,42610,25080,85860,6000
Angola,AGO,1999,860,,2520,31840,28540,106040,6000
Angola,AGO,2000,1500,,3550,29730,33680,163890,7000
Angola,AGO,2001,3670,,4760,77360,58810,101950,8010
Angola,AGO,2002,4170,,6210,77160,86390,72510,9050
Angola,AGO,2003,2100,,4470,20470,88360,86640,10070
Angola,AGO,2004,1760,,4060,34510,87400,102280,10090
Angola,AGO,2005,1200,,2750,20120,82000,86550,10130
Angola,AGO,2006,1360,,1990,22870,94310,94720,10660
Angola,AGO,2007,720,,2640,38050,116290,124510,24410
Angola,AGO,2008,390,,970,39700,115800,123880,25310
Angola,AGO,2009,1290,,1360,37710,111440,105460,15040
Angola,AGO,2010,2000,0,2000,48000,106000,134000,18000
Angola,AGO,2011,2000,0,3000,61000,102000,153000,21000
Angola,AGO,2012,2000,0,4000,71000,98000,175000,24000
Angola,AGO,2013,2000,0,5000,78000,93000,201000,28000
Angola,AGO,2014,2000,0,6000,47000,98000,260000,29000
Angola,AGO,2015,1000,0,5000,53000,56000,343000,39000
Angola,AGO,2016,1000,0,7000,92000,93000,276000,19000
Angola,AGO,2017,4000,0,6000,43000,139000,316000,25000
Angola,AGO,2018,4000,0,3000,84000,102000,220000,31000
Angola,AGO,2019,3000,0,3000,32000,77000,271000,25000
Angola,AGO,2020,3000,0,3000,32000,77000,271000,25000
Angola,AGO,2021,3000,0,3000,32000,77000,271000,25000
Angola,AGO,2022,3000,0,3000,32000,77000,271000,25000
Antigua and Barbuda,ATG,2010,0,1000,0,0,1000,0,0
Antigua and Barbuda,ATG,2011,0,1000,0,0,1000,0,0
Antigua and Barbuda,ATG,2012,0,4000,0,0,1000,0,0
Antigua and Barbuda,ATG,2013,0,3000,0,0,1000,0,0
Antigua and Barbuda,ATG,2014,0,2000,0,0,1000,0,0
Antigua and Barbuda,ATG,2015,0,2000,0,0,1000,0,0
Antigua and Barbuda,ATG,2016,0,2000,0,0,1000,0,0
Antigua and Barbuda,ATG,2017,0,2000,0,0,1000,0,0
Antigua and Barbuda,ATG,2018,0,2000,0,0,1000,0,0
Antigua and Barbuda,ATG,2019,0,2000,0,0,1000,0,0
Antigua and Barbuda,ATG,2020,0,2000,0,0,1000,0,0
Antigua and Barbuda,ATG,2021,0,2000,0,0,1000,0,0
Antigua and Barbuda,ATG,2022,0,2000,0,0,1000,0,0
