Year ;Country;GRI;SHI;Population Size ;Colour 
2018;Italy ;2.9;2.8;59877425;
2019;Italy ;2.9;1.7;59727932;
2020;Italy ;2.9;2.9;59500579;
2007;Japan;0.2;0.4;128006426;
2008;Japan;0.5;2.5;128077633;
2009;Japan;0.2;0.4;128117042;
2010;Japan;2;3.1;128105431;
2011;Japan;1.9;3;128007257;
2012;Japan;0.7;2.8;127853688;
2013;Japan;1.1;2.4;127678924;
2014;Japan;0.7;1.4;127476735;
2015;Japan;0.8;2.6;127250933;
2016;Japan;0.8;1.9;126993857;
2017;Japan;0.9;0;126662472;
2018;Japan;0.8;0.1;126255866;
2019;Japan;0.8;0.1;125791677;
2020;Japan;0.5;0.1;125244761;
2007;Mexico ;4.7;5.5;108302973;
2008;Mexico ;3.4;3.9;109684489;
2009;Mexico ;4.2;5.1;111049428;
2010;Mexico ;3.5;3.6;112532401;
2011;Mexico ;3.6;3.2;114150481;
2012;Mexico ;3.9;6.7;115755909;
2013;Mexico ;2.9;3.7;117290686;
2014;Mexico ;4.1;4.2;118755887;
2015;Mexico ;3.9;3.7;120149897;
2016;Mexico ;4.4;5.9;121519221;
2017;Mexico ;4.1;5.6;122839258;
2018;Mexico ;4.1;5.5;124013861;
2019;Mexico ;4.1;4.5;125085311;
2020;Mexico ;3.3;5;125998302;
2007;Nigeria;3.7;4.4;148294028;
2008;Nigeria;3.6;7.1;152382506;
2009;Nigeria;4.5;8;156595758;
2010;Nigeria;5.8;7.8;160952853;
2011;Nigeria;5.6;8.3;165463745;
2012;Nigeria;4.5;8.5;170075932;
2013;Nigeria;4.1;8.7;174726123;
2014;Nigeria;4.3;7.4;179379016;
2015;Nigeria;4.2;9.1;183995785;
2016;Nigeria;4.4;8.9;188666931;
2017;Nigeria;4.9;8.1;193495907;
2018;Nigeria;4.9;8.5;198387623;
2019;Nigeria;4.4;8.4;203304492;
2020;Nigeria;4.3;8.5;208327405;
2007;Pakistan ;5.8;8.9;181924521;
2008;Pakistan ;7.2;7.9;185931955;
2009;Pakistan ;7;9.8;190123222;
2010;Pakistan ;6.3;9;194454498;
2011;Pakistan ;7.3;10;198602738;
2012;Pakistan ;7.1;9.8;202205861;
2013;Pakistan ;6.4;8.8;205337562;
2014;Pakistan ;6.5;8.1;208251628;
2015;Pakistan ;6.2;7.2;210969298;
2016;Pakistan ;6.5;6.9;213524840;
2017;Pakistan ;6.6;7.7;216379655;
2018;Pakistan ;6.5;7.5;219731479;
2019;Pakistan ;6.3;8.1;223293280;
2020;Pakistan ;6.4;7.5;227196741;
2007;Philippines ;1.6;3.7;89561377;
2008;Philippines ;1.2;3.4;91252326;
2009;Philippines ;0.8;3;92946951;
2010;Philippines ;1.2;3.9;94636700;
2011;Philippines ;0.9;3.4;96337913;
2012;Philippines ;1;3.2;98032317;
2013;Philippines ;1;3.2;99700107;
2014;Philippines ;0.7;1.5;101325201;
2015;Philippines ;0.8;4.4;103031365;
2016;Philippines ;1.3;4.2;104875266;
2017;Philippines ;1;4;106738501;
2018;Philippines ;1.9;4.2;108568836;
2019;Philippines ;1.4;4.9;110380804;
2020;Philippines ;2.3;4.8;112190977;
2007;Russia ;5.8;3.7;143117693;
2008;Russia ;6.2;4.6;143086549;
2009;Russia ;6.7;5.5;143163643;
2010;Russia ;7.2;7.3;143242599;
2011;Russia ;7;9;143364543;
2012;Russia ;7.7;8.8;143629362;
2013;Russia ;7.4;8.1;143956866;
2014;Russia ;6.7;6.6;144285070;
2015;Russia ;8.2;8;144668389;
2016;Russia ;8.1;7.4;145109157;
2017;Russia ;8.1;6.3;145452536;
2018;Russia ;8.1;5.3;145652293;
2019;Russia ;8.2;4.5;145742286;
2020;Russia ;8.2;3.2;145617329;
2007;South Africa ;0.6;2.2;49996094;
2008;South Africa ;0.9;2.8;50565812;
2009;South Africa ;1;0.7;51170779;
2010;South Africa ;0.7;4.4;51784921;
2011;South Africa ;0.7;3.7;52443325;
2012;South Africa ;0.5;3.3;53145033;
2013;South Africa ;0.7;1;53873616;
2014;South Africa ;0.8;2.4;54729551;
2015;South Africa ;1;4;55876504;
2016;South Africa ;0.8;3.9;56422274;
2017;South Africa ;0.9;2.8;56641209;
2018;South Africa ;1.4;4.1;57339635;
2019;South Africa ;1.6;2.9;58087055;
2020;South Africa ;2.1;4.3;58801927;
2007;Tanzania ;2.1;3.5;41716497;
2008;Tanzania ;3.8;2.4;42870884;
2009;Tanzania ;2.4;0.9;43957933;
2010;Tanzania ;3.9;5.1;45110527;
2011;Tanzania ;3.7;5.4;46416031;
2012;Tanzania ;3.4;6;47786137;
2013;Tanzania ;3.3;7.8;49253643;
2014;Tanzania ;3.1;3.4;50814552;
2015;Tanzania ;3.4;3.2;52542823;
2016;Tanzania ;4.6;2.6;54401802;
2017;Tanzania ;4.7;2.9;56267032;
2018;Tanzania ;5.1;3.3;58090443;
2019;Tanzania ;5.5;2.8;59872579;
2020;Tanzania ;5.1;1.3;61704518;
2007;Thailand ;2.6;2.6;66826754;
2008;Thailand ;4;2.8;67328239;
2009;Thailand ;3.4;4.6;67813654;
2010;Thailand ;3.5;5.5;68270489;
2011;Thailand ;3.4;6.1;68712846;
2012;Thailand ;3.6;7.5;69157023;
2013;Thailand ;4.4;6.2;69578602;
2014;Thailand ;4.4;5.9;69960943;
2015;Thailand ;4.4;5.3;70294397;
2016;Thailand ;5.3;4.9;70607037;
2017;Thailand ;4.6;4.7;70898202;
2018;Thailand ;5.4;4.6;71127802;
2019;Thailand ;5.3;4.2;71307763;
2020;Thailand ;5.1;3.3;71475664;
2007;Turkey ;6.6;4.7;70468869;
2008;Turkey ;6.2;5.1;71320726;
2009;Turkey ;6.4;4.4;72225639;
2010;Turkey ;5.8;4.9;73195345;
2011;Turkey ;5.3;4.2;74173854;
2012;Turkey ;6.4;5.5;75277439;
2013;Turkey ;7.4;4.5;76576117;
2014;Turkey ;8.1;5.1;78112073;
2015;Turkey ;6.8;6.2;79646178;
2016;Turkey ;7;6.5;81019394;
2017;Turkey ;7.1;5.3;82089826;
2018;Turkey ;6.9;3.6;82809304;
2019;Turkey ;7;4.2;83481684;
2020;Turkey ;6.2;4.6;84135428;
2007;United Kingdom ;1.6;1.6;61260676;
2008;United Kingdom ;2.8;3.4;61742151;
2009;United Kingdom ;2.8;3.8;62243378;
2010;United Kingdom ;4.3;6.2;62760039;
2011;United Kingdom ;3;6.3;63286362;
2012;United Kingdom ;3;6;63808727;
2013;United Kingdom ;1.7;5.4;64302297;
2014;United Kingdom ;1.6;4.4;64773504;
2015;United Kingdom ;2.2;6;65224364;
2016;United Kingdom ;2.3;6.6;65655203;
2017;United Kingdom ;2.6;6.8;66064804;
2018;United Kingdom ;2.8;4.6;66432993;
2019;United Kingdom ;3.2;5.2;66778659;
2020;United Kingdom ;2.8;4.4;67059474;
2007;United States ;1.6;1.9;302743399;
2008;United States ;1.6;1.8;305694910;
2009;United States ;1.6;2;308512035;
2010;United States ;2.7;3.4;311182845;
2011;United States ;3;2.4;313876608;
2012;United States ;3.7;1.9;316651321;
2013;United States ;3;3.1;319375166;
2014;United States ;2.7;5.2;322033964;
2015;United States ;3.7;4.2;324607776;
2016;United States ;3.2;3.6;327210198;
2017;United States ;3.3;4.4;329791231;
2018;United States ;3.2;2.6;332140037;
2019;United States ;3.2;1.6;334319671;
2020;United States ;2.7;1.9;335942003;
2007;Vietnam;6.6;1.2;84762269;
2008;Vietnam;6;2.6;85597241;
2009;Vietnam;6.3;5;86482923;
2010;Vietnam;7;4;87411012;
2011;Vietnam;6.6;4.6;88349117;
2012;Vietnam;6.7;5.6;89301326;
2013;Vietnam;6.1;3.6;90267739;
2014;Vietnam;6.1;2.7;91235504;
2015;Vietnam;6.6;2.3;92191398;
2016;Vietnam;6.5;1;93126529;
2017;Vietnam;7.6;1.5;94033048;
2018;Vietnam;7.5;2.1;94914330;
2019;Vietnam;6.4;3;95776716;
2020;Vietnam;6.2;2.8;96648685;
