Case ID,beginning date,end date,exact date unclear,offline / online,website,mode,province,location,participants (offline),posts (online),interactions (online),led-by,issue,group,target,demands,repression type,concession type,link to other event,link to movement,verification tier,documentation,description
1003,2022/11/20,,yes,offline,,group demonstration,Guangdong,Shenzhen,100-999,,,,COVID-19 pandemic policies,urban residents,local government,policy change,"state violence, arrest/detention",,,,Tier 1,,"Residents of the Fukumin community protested the government's plan to convert the neighboring Mount Jiulong Sports Park into a mobile cabin hospital, demanding that the cabin hospital be kept away from the school. According to the poster, the protesters were then suppressed and beaten by the police."
1002,2022/11/14,,yes,offline,,group demonstration,Zhejiang,Jinhua,10-99,,,,property pricing,property buyers,property developer,,,,,,Tier 1,,Owners of a Binjiang Real Estate project in Yongkang held banners in the sales center to protest the developer's price reduction of the property units.
1001,2022/11/22,,yes,offline,,group demonstration,Henan,Xinxiang,2--9,,,,pay and benefits,workers,hotel,payment of arrears,,,,,Tier 1,,Several migrant workers held a banner in front of Habitat & Island Hotel for wage arrears.
1000,2022/11/21,,no,offline,,group demonstration,Sichuan,Mianyang,"1,000+",,,,school bullying,urban residents,public school,publish information,arrest/detention,,999,,Tier 1,,"After the police announced the punishment for the involved students, residents of Santai County gathered in front of the school and demanded that the school provide their personal information. Many protesters were taken away by the police."
999,2022/11/20,,no,offline,,group demonstration,Sichuan,Mianyang,100-999,,,,school bullying,urban residents,local government,,monitoring,,1000,,Tier 1,,Residents of Santai County gathered in front of a police station to demand strict punishment for students who bullied another student and shared the videos on the internet. The students involved were eventually only fined and reprimanded.
998,2022/11/12,,yes,offline,,non-cooperation,Guangdong,Guangzhou,10-99,,,,COVID-19 pandemic policies,urban residents,,,,,,,Tier 1,,"Discontent with the lack of supplies during the lockdown, residents of Xijiao Village in Guangzhou pushed down a fence."
997,2022/09/26,,no,offline,,"group demonstration, collective petitioning",Jiangxi,Nanchang,10-99,,,,pay and benefits,transportation workers,local government,policy change,,,,,Tier 1,,"Taxi drivers in Nanchang were dissatisfied with a large number of online car-hailing cars in the market, which affects business for taxi drivers. They petitioned to reduce the number of online car-hailing cars in the city."
996,2022/09/05,,no,offline,,collective petitioning,Guangdong,Shenzhen,100-999,,,,pay and benefits,transportation workers,taxi company,"fee reduction, rescind contract",,,,,Tier 1,,"Hundreds of taxi drivers in Shenzhen petitioned collectively, demanding taxi companies lower the rent, otherwise they should terminate the contract with drivers unconditionally."
995,2022/09/26,,no,offline,,group demonstration,,Beijing,10-99,,,,pay and benefits,construction workers,property developer,payment of arrears,,,,,Tier 1,,A group of construction workers in Beijing collectively demanded wages from the China Railway First Group Company.
994,2022/09/13,,no,offline,,"one-person demonstration, obstruction",Hunan,Changsha,1,,,male,pay and benefits,construction workers,property developer,payment of arrears,,,,,Tier 1,,"A construction worker in Changsha City was lying at the entrance of a community, obstructing people from entering and leaving, to demand wages from the developer."
993,2022/11/07,,yes,offline,,group demonstration,Guangdong,Foshan,10-99,,,female,fraud,property buyers,property developer,corporate accountability,,,,,Tier 1,,"Homebuyers of the Foshan Jinbo No. 1 protested against developer fraud in front of the sales center. They accused the developer of originally selling the house in the form of residential property, but the land was later registered as commercial property, which prevented the buyers from legally obtaining their houses."
992,2022/11/13,,yes,offline,,group demonstration,Guangdong,Guangzhou,2--9,,,,pay and benefits,construction workers,property developer,payment of arrears,non-state violence,,,,Tier 1,,A Weibo video shows that construction workers of the Guangzhou Country Garden Phoenix City project was chased and beaten by the developer's personnel after they demanded their wages.
991,2022/09/15,,yes,offline,,group demonstration,Jiangsu,Zhenjiang,2--9,,,male,pay and benefits,construction workers,property developer,payment of arrears,,,990,,Tier 1,,The suppliers of the Zhenjiang Greenland Cuiyuan project held up banners in front of the sales center demanding that the developer pay back their money.
990,2022/09/11,,yes,offline,,group demonstration,Jiangsu,Zhenjiang,10-99,,,,"delayed housing project, fraud, building quality",property buyers,property developer,fulfill contract,,,991,,Tier 1,,"Homeowners of the Zhenjiang Greenland Cuiyuan project held up banners in front of the sales center to protest the developer's delay in delivery, false advertisement, shrinking of the yard and other issues, and demanded that the developer fulfill the contract."
989,2022/11/14,,yes,offline,,group demonstration,Henan,Xinyang,10-99,,,female,"fraud, building quality",property owners,property developer,rescind contract,,,,,Tier 1,,Homeowners of the Country Garden Lakeside Mansion project in Xinyang City protested against the tilting and cracking of the house in front of the sales center and demanded the termination of the housing contract.
988,2022/11/12,,yes,offline,,group demonstration,Guizhou,Bijie,10-99,,,,"COVID-19 pandemic policies, school health and safety",urban residents,public school,government accountability,,,,,Tier 1,,Parents of Yucai School in Zhijin County protested against the closed management of the school that caused hundreds of students to be infected with Covid-19 and demanded an explanation from the school leaders.
987,2022/11/10,,yes,offline,,group demonstration,Sichuan,Chengdu,2--9,,,,pay and benefits,construction workers,property developer,payment of arrears,non-state violence,,,,Tier 1,,Construction workers of the Chengdu Qingrong City project went to the construction site to demand wages and were beaten by the developer's personnel.
986,2022/11/11,,no,offline,,collective petitioning,Shaanxi,,100-999,,,,political change,citizens,central government,political change,,,,,Tier 1,,"550 petitioners in Shaanxi sent a letter to Xi Jinping, putting forward ten suggestions for political reform, including reforming the people's congress system, abolishing the petition administration, implementing an annual review system for government officials at all levels, abolishing the reeducation through labor system, and releasing human rights defenders, etc."
985,2022/11/10,,yes,offline,,"group demonstration, sign protest",Henan,Pingdingshan,2--9,,,,delayed housing project,property buyers,local government,government intervention,,,,,Tier 1,,"The Langrun Meichen project in Pingdingshan had an indefinite delay in the delivery of the house, so the owner protested with banners and slogans and asked the government to intervene."
984,2022/11/10,,yes,offline,,"obstruction, sign protest",Henan,Xuchang,1,,,,pay and benefits,,,payment of arrears,,,,,Tier 1,,"A banner asking for wages was hung in front of a construction site in Changge City. In addition, protesters also seemed to block the entrance and exit of the construction site with motorcycles, desks, and other objects."
983,2022/11/06,,yes,offline,,group demonstration,Jiangsu,Wuxi,10-99,,,,delayed housing project,property buyers,property developer,property handover,,,,,Tier 1,,"Homebuyers of a Jinke real estate project in Wuxi protested against unfinished residential project, shouting ""I want to go home, Jinke should hand over the houses""."
982,2022/11/09,,yes,offline,,group demonstration,Hubei,Xiangyang,100-999,,,,delayed housing project,property buyers,local government,corporate accountability,monitoring,,,,Tier 1,,The owners of a project in Xiangyang went to the local government to protest against the developer's embezzlement of regulatory funds. There were many police monitoring during the protest.
981,2022/11/09,,yes,offline,,group demonstration,Fujian,Quanzhou,2--9,,,,fraud,property owners,property developer,,,,,,Tier 1,,"A group of owners of the Quanzhou Zhongjun Funworld project held banners in front of the sales center to protest against the developer selling properties at a low price, resulting in huge losses for the owners who bought the house at a higher price."
980,2022/11/06,,no,offline,,one-person demonstration,Shandong,Binzhou,1,,,,pay and benefits,sanitation workers,sanitation company,payment of arrears,,,,,Tier 1,,An employee of an sanitation company in Binzhou held a sign at the entrance of the company to demand wage arrears.
979,2022/11/15,,yes,offline,,group demonstration,Henan,Xinyang,10-99,,,,fraud,bank customers,bank,corporate accountability,,,,,Tier 1,,"A group of bank customers gathered in front of the Agricultural Bank of China Gushi County Branch, accusing the bank of defrauding them of their money."
978,2022/11/15,,yes,offline,,group demonstration,Henan,Shangqiu,10-99,,,,"delayed housing project, fraud",property buyers,property developer,government intervention,,,,Real-name Complaints Movement,Tier 1,,"Property buyers of ""Xayi Huayi City"" accused the head of the developer of causing the project to fail and evading the responsibility of compensation in various ways, appealing to the government to investigate the case and do them justice."
977,2022/10/28,,yes,offline,,obstruction,Gansu,Jiuquan,2--9,,,,pay and benefits,construction workers,property developer,payment of arrears,,,,,Tier 1,,"Shaanxi Fuhua Shenglian Construction Company owes migrant workers' wages, so they blocked the main gate to demand the payment of arrears."
976,2022/11/02,,no,offline,,group demonstration,Jiangsu,Nanjing,10-99,,,,delayed housing project,property buyers,property developer,corporate accountability,intimidation,,"974, 975",,Tier 3,,Homebuyers of Poly Palace of Light went to the developer's headquarters to protest the poor quality of construction and demanded that the developer make improvements. Police said they would find the leaders and have them educated.
975,2022/09/25,,no,offline,,group demonstration,Jiangsu,Nanjing,10-99,,,,delayed housing project,property buyers,property developer,corporate accountability,,,"974, 976",,Tier 3,,Homebuyers of Poly Palace of Light went to the sales center of Poly Peak View to protest the poor quality of construction and demanded that the developer make improvements.
974,2022/09/04,,no,offline,,group demonstration,Jiangsu,Nanjing,10-99,,,,delayed housing project,property buyers,property developer,corporate accountability,,,"975, 976",,Tier 3,,Homebuyers of Poly Palace of Light went to the sales center of Poly Peak View to protest the poor quality of construction and demanded that the developer make improvements.
973,2022/08/28,,yes,offline,,group demonstration,Sichuan,Chengdu,2--9,,,,delayed housing project,property buyers,property developer,corporate accountability,,,972,,Tier 1,,"Homebuyers of Sunac ""Jiutangfu"" in Chengdu gathered in front of the reception center of another project of the developer, Future Master, to protest the developer's failure to hand over their houses as scheduled."
972,2022/10/31,,yes,offline,,group demonstration,Sichuan,Chengdu,10-99,,,,delayed housing project,property buyers,property developer,corporate accountability,,,973,,Tier 1,,"Homebuyers of Sunac ""Jiutangfu"" in Chengdu gathered in front of the construction site to protest the developer's failure to hand over their houses as scheduled."
971,2022/11/01,,yes,offline,,sign protest,,,1,,,,pay and benefits,construction workers,property developer,payment of arrears,,,,,Tier 1,,"Workers of a Sunac housing project wrote ""Sunac owes workers money"" on the elevator door in protest."
970,2022/11/02,,yes,offline,,group demonstration,Sichuan,Chengdu,10-99,,,,delayed housing project,property buyers,property developer,government intervention,,,,,Tier 1,,Property buyers of Tianfu City in Chengdu Tianfu International Bio-town held banners to protest the developer's failure to resume construction and asked for the government's intervention.
969,2022/10/31,,yes,offline,,group demonstration,Shandong,Heze,10-99,,,,delayed housing project,property buyers,"local government, property developer","government intervention, corporate accountability","obstruction, non-state violence",,,,Tier 1,,Homebuyers of the Shuifa Lingxiufu project in Heze held banners infront of the project building to protest against the developer’s delayed hand over but were blocked by the developer’s personnel who took away the banners.
968,2022/07/30,,yes,offline,,spreading religious belief,,Beijing,2--9,,,,freedom of belief,Christians,,right to practice faith,arrest/detention,,,,Tier 1,,"Pastor Qin Sifeng and fellow Su Minjun of Beijing Dengtai Church printed poetry books for internal use and were then arrested by Shandong police for ""illegal business operations."" According to the Weibo post, they were being held in Zibo Detention Center."
967,2022/11/04,,yes,offline,,"group demonstration, sign protest",Hubei,Huanggang,10-99,,,,"delayed housing project, fraud, building quality",property owners,property developer,"government intervention, rescind contract",monitoring,,,,Tier 1,,"Home owners of the Wuxue Guoding Huafu project protested against the developer’s failure to complete the project, and pointed out that the quality of the building did not meet expectations. They demanded that the government intervene and terminate the housing contract. Photos show that police were on the scene."
966,2022/11/06,,yes,offline,,group demonstration,Guangdong,Shenzhen,10-99,,,female,"fraud, building quality",property owners,property developer,corporate accountability,,,,,Tier 1,,The owners of the Ronghu Central City project in Shenzhen held banners and shouted slogans to protest the developer's false advertisement and the poor quality of the buildings.
965,2022/11/06,,yes,offline,,group demonstration,Guangdong,Shenzhen,10-99,,,,building quality,property owners,property developer,rescind contract,,,,,Tier 1,,"Home owners of the Yuegui Mansion project in Qianhai, Shenzhen raised signs to protest the poor quality of the building and demanded that the housing contract be terminated."
964,2022/09/26,,no,offline,,group demonstration,,Shanghai,10-99,,,,fraud,investors,financial company,corporate accountability,monitoring,Non-state actor received/responded,,,Tier 1,,A group of investors gathered in the lobby of Shanghai Lujiazui branch of Bank of East Asia (BEA) to protest their inability to get their investment back from financial products brokered by the bank. Riot police appeared on the scene to monitor the situation. Bank representatives subsequently took investors to another location to communicate.
963,2022/09/18,,no,online,,popular post,,,,1,"1,000+",male,COVID-19 pandemic policies,netizens,central government,government accountability,,,,,Tier 1,,"A verified ""Big V"" user commented on Covid-19 lockdown measures in Tibet, in essence expressing that because central authorities had failed to punish Shanghai officials months earlier for excessive lockdown measures that angered the public, officials from other parts of China had adopted Shanghai's methods. The comments under this viral post lergely agreed with this viewpoint."
962,2022/09/18,,yes,offline,,group demonstration,Hebei,Handan,,,,,delayed housing project,property buyers,property developer,fulfill contract,,,,,Tier 3,,"According to a Weibo user, homebuyers in the Jiudu Mancheng residential project in Han Dan protested real estate developer Lionfull for the delayed handover of their homes."
961,2022/11/05,,yes,offline,,group demonstration,Shaanxi,Xi'an,10-99,,,,delayed housing project,property buyers,"local government, property developer","government accountability, corporate accountability","minitoring, state violence",,,,Tier 1,,"Homebuyers of Xi'an Shifeng project held banners in front of the sales center to protest against the developer's unfinished project, and demanded government intervention. During the protest, they had physical conflicts with the police."
960,2022/11/22,,yes,offline,,sign protest,Henan,Xinxiang,1,,,,pay and benefits,construction workers,property developer,payment of arrears,,,,,Tier 1,,"In front of the Qixiyu Hotel in Henan, migrant workers hung a banner demanding wages."
959,2022/11/02,,no,offline,,sign protest,Hebei,Shijiazhuang,1,,,,delayed housing project,property buyers,property developer,resume construction,,,,,Tier 1,,"Homebuyers of the Shijiazhuang Sunac Center project hung banners on the building to protest the developer’s suspension of work due to a shortage of funds, demanding the return of regulatory funds and resumption of work."
958,2022/11/01,2022/11/02,no,offline,,group demonstration,Sichuan,Chengdu,10-99,,,,fraud,urban residents,private educational institution,return assets,,Non-state actor received/responded,,,Tier 1,,"A group of parents protested at the Elephant Art Institute that the head of the institute absconded with money and demanded refunds from the institute. According to multiple Weibo posts, the parents protested for a day and a night. Finally, under the warning and coordination of the police station, the head of the institute negotiated with the parents."
957,2022/11/03,,no,offline,,lawsuit,,Beijing,2--9,,,,COVID-19 pandemic policies,legal professionals,local government,government accountability,,,,,Tier 1,,"Five lawyers, including Wang Yu, Bao Longjun, Ren Quanniu, Chen Jinxue and Fang Wenqin, filed a lawsuit to the Beijing Third Intermediate Court, accusing the Beijing Government, the Beijing Health Commission, and the Beijing Big Data Administration of using big data and the Health Kit application to illegally collect citizens' personal information."
956,2022/12/01,,yes,offline,,group demonstration,Sichuan,Chengdu,10-99,,,,building quality,property buyers,property developer,,,,,,Tier 1,,Homebuyers of Vanke Tianfu Splendid in Chengdu held signs to protest the developer's jerry-building and multiple quality issues with the property.
955,2022/10/16,,no,online,WeChat,individual post,,,,1,,male,political change,activist,,,arrest/detention,,,Sitong Bridge Movement,Tier 1,,"Wang Wei, one of the founders of the ""Coalition of Shenzhen Citizens,"" was detained by the Luyi County Public Security Bureau after expressing his support for the Sitong Bridge protester on WeChat."
954,2022/10/14,,no,online,WeChat,individual post,,,,1,,male,political change,activist,,,arrest/detention,,,Sitong Bridge Movement,Tier 1,,The dissident Xu Kun in Kunming expressed his support for the Sitong Bridge protester on WeChat and was taken away for questioning by the police that afternoon.
953,2022/09/21,,yes,offline,,group demonstration,Inner Mongolia,Tongliao,100-999,,,,,urban residents,local government,government intervention,,,,,Tier 1,,"A large number of people gathered in front of the Bureau for Letters and Calls of the Horqin District, Tongliao, demanding that the government arrest Wu Jiamei, who seems to be the head of an investment company, and return money taken away from them."
952,2022/11/12,,yes,offline,,sign protest,Hebei,Baoding,1,,,,delayed housing project,property buyers,property developer,,,,,,Tier 1,,"As the construction of Tulip Garden in Baoding stalled, property buyers hung banners from the unfinished building to accuse the developer of defrauding them."
951,2022/10/12,,no,offline,,lawsuit,,Beijing,1,,,male,COVID-19 pandemic policies,legal professionals,central government,"policy change, government accountability",,,950,,Tier 1,,"Beijing lawyer Cheng Hai was dissatisfied with the central government’s Covid-19 epidemic prevention policy, so he filed a lawsuit against the National Health Commission (NHC), demanding that the central government revoke the illegal decision to normalize PCR testing across the country. In addition, he demanded that Ma Xiaowei, Li Dachuan, and other NHC officials be held accountable for abusing their powers in administrative management of Covid-19 prevention."
950,2022/10/10,,no,offline,,lawsuit,,Beijing,1,,,male,COVID-19 pandemic policies,legal professionals,"central government, railway company","policy change, compensation",,,951,,Tier 1,,"Beijing lawyer Cheng Hai was dissatisfied with the train station’s mandatory requirement for passengers to submit a negative certificate of PCR test 48 hours before boarding the train. He filed a civil lawsuit against the State Railway Group Corporation and the National Health Commission, demanding that the policy be revoked and that he should be compensated for the PCR test and mental anguish."
949,2022/09/26,,yes,offline,,sign protest,Jiangxi,Jiujiang,10-99,,,,delayed housing project,property buyers,property developer,resume construction,,,,,Tier 1,,Homebuyers of the Helen International project in Jiujiang hung banners on the construction site to protest against the suspension of the project due to illegal misappropriation of regulatory funds by the developer and demanded that construction be resumed.
948,2022/10/31,,no,offline,,group demonstration,Guangdong,Huizhou,10-99,,,,"delayed housing project, building quality",property buyers,property developer,corporate accountability,,,,,Tier 1,,"Although there was no shortage of funds, the Huizhou Languang Bohui Residence project was still progressing slowly and the quality of the buildings was poor. Homebuyers protested to demand developer be held accountable."
947,2022/10/30,,yes,offline,,group demonstration,Jiangsu,Changzhou,10-99,,,,"delayed housing project, building quality",property buyers,property developer,return assets,"state violence, arrest/detention",,,,Tier 1,,"A group of protesters, who appeared to be homebuyers of Powerlong Properties, held signs demanding that the developer pay back their money. Some protesters were suppressed and arrested by the police."
946,2022/10/30,,no,offline,,group demonstration,Liaoning,Shenyang,10-99,,,,delayed housing project,property buyers,property developer,property handover,,Non-state actor received/responded,,,Tier 1,,"The developer of the fourth phase of Shenyang Jinke Jimei Tiancheng was unable to deliver the house as scheduled. Since the developer did not give any notice to buyers, homebuyers protested collectively to express their dissatisfaction."
945,2022/10/29,,yes,offline,,sign protest,Jiangsu,Nanjing,1,,,,building quality,property buyers,property developer,fulfill contract,,,,,Tier 1,,Homebuyers of Nanjing Yongjin Yijingfu project hung slogans on their balconies to protest that the quality of the houses did not match what was agreed upon in the contract.
944,2022/10/20,,yes,offline,,group demonstration,Sichuan,Chengdu,2--9,,,,product safety,victim's family/friends,automobile company,corporate accountability,,,,,Tier 1,,"A BYD Tang car in Chengdu exploded while charging, causing serious injuries to the car owner. His relatives and friends held up banners to protest, demanding BYD Tang take responsiblity for the accident."
943,2022/10/29,,yes,offline,,group demonstration,Guangdong,Shenzhen,100-999,,,,building quality,property buyers,property developer,rescind contract,monitoring,,,,Tier 1,,"Homebuyers in Shenzhen Zhonghai Huideli protested that the houses built by developers were dangerous buildings and demanded termination of the contract. In one photo, police can be seen monitoring the scene."
942,2022/10/26,,yes,offline,,group demonstration,Zhejiang,Wenzhou,10-99,,,female,building quality,property buyers,property developer,fulfill contract,,Non-state actor received/responded,,,Tier 1,,Homebuyers of Wenzhou Binjiang No. 1 held up banners to protest that the public construction of the project did not meet the contractual commitments and demanded that the developer fulfill the contract.
941,2022/09/15,,yes,offline,,group demonstration,Guangdong,Shenzhen,10-99,,,,pay and benefits,hospitality workers,hospitality company,payment of arrears,monitoring,,,,Tier 1,,"The poster said that the bar Style Party Center in Shenzhen had been defaulting on its payment of employees' salaries for months, so the employees gathered outside the bar to demand that the employer pay their wages. The video shows police officers monitoring the situation."
940,2022/09/08,,yes,offline,,group demonstration,Jiangsu,Nanjing,2--9,,,,investment dispute,retail and wholesaling workers,"bank, financial company",refund,,,,,Tier 1,,"According to the replies to the post, the retailer Suning was unable to pay out money to its employees because Shenwan Hongyuan Securities and CITIC Bank did not fulfill their agreements with it. Some Suning employees might go to the two institutions to protest with banners saying ""Give me back my hard-earned money."""
939,2022/10/02,,yes,offline,,group demonstration,Hainan,Haikou,10-99,,,,delayed housing project,property buyers,,,,,,,Tier 1,,"Homebuyers of ""Fengming Lanxi"" in Haikou held banners in front of the construction site to protest the stalled construction and the bank's failure to supervise the project."
938,2022/09/16,,no,offline,,conduct election,Shandong,Linyi,2--9,,,male,service and management Issues,property owners,,,arrest/detention,,,,Tier 1,,Some homeowners of a subdistrict in Liuqing Residential District printed ballots on their own to hold an election for the owners committee. The leaders were detained by police for disrupting social order.
937,2022/09/19,,no,offline,,group demonstration,Hubei,Wuhan,100-999,,,,"COVID-19 pandemic policies, utility issues",students,university,school accountability,intimidation,,,,Tier 1,,"Discontent with the school's lockdown measures and the power outage in the dormitory for more than a week that had not been repaired, students of the College of International Business and Economics, Wuhan Textile University gathered and protested in the evening. A teacher allegedly threatened to expel the protesters."
936,2022/11/06,,yes,offline,,one-person demonstration,Shandong,Qingdao,1,,,male,"fraud, school district disputes",property buyers,property developer,refund,,,,,Tier 1,,"A buyer of the Qingdao Shouchuang Xiyue Xuefu housing project, standing in front of what appears to be the project, wrote his dissatisfaction on his back, accusing the developer of fraud, false advertising, failure to fulfill the agreement to build the school, and demanded a refund from the developer."
935,2022/09/30,,yes,offline,,group demonstration,Shandong,Qingdao,2--9,,,,delayed housing project,property buyers,local government,government intervention,,,,,Tier 1,,"Homebuyers of Qingdao Jinsha Yuefu held banners at the gate of the project, protesting against illegal embezzlement of funds by the developer and demanding that the government intervene in the investigation."
934,2022/10/15,,yes,offline,,group demonstration,Hebei,Tangshan,10-99,,,,delayed housing project,property buyers,local government,government intervention,,,,,Tier 1,,The Qingdao Evergrande Yuhai Tianxia project has been suspended for more than a year. Homebuyers protested with banners and demanded that the local government intervene in the investigation of the matter.
933,2022/10/22,,yes,offline,,sign protest,Shandong,Qingdao,10-99,,,,"school district disputes, building quality",property owners,property developer,corporate accountability,,,,,Tier 1,,"The Blue Valley Light project of Qingdao Country Garden failed to provide heating for two consecutive years after the handover. The owners hung banners on the balcony to protest. In addition, the slogan ""not a school district house"" also appeared on the banners, indicating that the owner was protesting a school district disputes at the same time."
932,2022/10/08,,no,offline,,sign protest,Jiangsu,Yangzhou,1,,,,pay and benefits,technology workers,technology company,payment of arrears,,,,,Tier 1,,Employees of Yangzhou Ruifeng Technology hung banners on the side of the road to demand wages.
931,2022/10/07,,yes,offline,,group demonstration,Henan,Anyang,10-99,,,,school health and safety,victim's family/friends,"local government, private educational institution","government intervention, corporate accountability",,,,,Tier 1,,Students of Tongxin Primary School in Anyang City suffered from food poisoning. Parents went to the school to protest.
930,2022/09/30,,no,offline,,one-person demonstration,Jiangsu,Xuzhou,1,,,male,verdict/sanction disputes,victim's family/friends,local government,overturning verdict,,,"263, 929",,Tier 1,,"Wu Jixin, a human rights activist in Pizhou, Jiangsu, raised banners in front of propaganda signs such as ""Always Follow the Party"" and ""Write a New Chapter"", demanding the government to release Shi Xinhong, Yang Yuxing, Li Bencai. They were arrested and sentenced for petitioning."
929,2022/08/25,,no,offline,,one-person demonstration,Jiangsu,Xuzhou,1,,,male,"state violence, verdict/sanction disputes",victim's family/friends,local government,overturning verdict,,,"263, 930",,Tier 1,,"Wu Jixin, a human rights activist in Pizhou, Jiangsu, raised banners in front of propaganda signs such as ""Always Follow the Party"" and ""Write a New Chapter"", to fight for the rights of Anhui petitioner Shi Xinhong. Shi was arrested by the police for petitioning and handed over to the procuratorate for nearly a month. During the interrogation, he was subjected to torture and state violence by the government."
928,2022/09/23,,yes,offline,,one-person demonstration,Hunan,Changsha,1,,,male,,urban residents,public school,government accountability,,,,,Tier 1,,"A man protested at the gate of Yihai Middle School in Changsha City holding a handwritten sign reading ""Cold-blooded school, give me back my child""."
927,2022/09/30,,yes,offline,,group demonstration,Guangxi,Wuzhou,10-99,,,,delayed housing project,property buyers,local government,government intervention,,,,,Tier 1,,"Accusing the developer of the Wuzhou Guihongda Panshanju project of illegally misappropriating the project's supervision funds, homebuyers held up banners in front of the project to protest, demanding an investigation by the government."
926,2022/09/24,,no,offline,,group demonstration,Guangdong,Zhongshan,100-999,,,,property management disputes,property owners,property management,,monitoring,,,,Tier 1,,The property management company of the Zhongshan Jinxiu Yangguang Garden Community intended to charge homeowners a monitoring equipment installation fee. The owners protested because they thought that the cost was too high and unreasonable.
925,2022/10/02,,yes,offline,,group demonstration,Guangdong,Shenzhen,10-99,,,,fraud,property buyers,property developer,rescind contract,,,,,Tier 1,,Homebuyers of Shenzhen Vanke Four Seasons Garden and Vanke Metropolis held up banners and signs to protest the developer’s false advertisement and defrauding them of renovation fees. They demanded that the housing contract be terminated.
924,2022/10/10,,no,offline,,petition,Sichuan,Chengdu,1,,,male,COVID-19 pandemic policies,urban residents,central government,policy change,,,,,Tier 1,,"Professor Chen Jierong from the Law School of Sichuan University submitted the ""Application for Fulfilling Statutory Duties"" to the National Health Commission, requesting that the epidemic prevention and control measures be lifted in accordance with the law."
923,2022/11/06,,yes,offline,,group demonstration,Guangdong,Shenzhen,10-99,,,,fraud,property buyers,property developer,rescind contract,monitoring,,,,Tier 1,,"A group of homebuyers in Shenzhen protested in front of China Merchants Plaza, accusing the developer of fraud and demanding termination of the contract."
922,2022/08/01,,yes,offline,,group demonstration,Jiangxi,Shangrao,2--9,,,,pay and benefits,financial workers,financial company,payment of arrears,,,,,Tier 1,,"The Zhongguang Investment Company in Shangrao City owed its employees social insurance for more than a year, so employees protested with a banner in front of the company building."
921,2022/08/13,,yes,offline,,group demonstration,Hainan,Sanya,10-99,,,,COVID-19 pandemic policies,tourists,local government,policy change,,,,,Tier 1,,"Tourists in Sanya were forced to stay in Hainan due to the Covid lockdown measures; they shouted ""We want to go home"" at the hotel."
