respid,sample,comp,int_date,lang,state,density,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3f_1_other,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,web1j,web1k,sns2a,sns2b,sns2c,sns2d,sns2e,paya,payb,payc,prob,coviddisa,coviddisb,coviddisc,coviddisd,coviddise,device1b,device1c,device1d,books1,books2a,books2b,books2c,gender,age,marital,par,educ2,emplnw,disa,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,income,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
4430,1,1,1/25/2021,1,36,2,R, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2, ,2, ,5,2,2, ,2,1,2,1,1,2,2,1,2,80,1,2,1,2,55,6,2,8,1,2,2,1, , , ,1, ,9,2, ,1, ,1, , ,.4442605, 
4727,1,1,1/29/2021,1,27,1,R, ,1,1,2,2,2,1,2, ,2, , , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , , ,2,2,3,3,1,1,1,3,2,1,2,3,1,2,2,1,80,1,2,8,3,1,2,1, , , ,1, ,6,2, ,2,2,2,1, ,.8467916, 
5161,1,1,1/29/2021,1,12,4,S, ,2,1,1,2,2,1,2, ,1,2, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,4,2,2,2,2,1,1,1,1,1,1,1,2,8,1,2,2,1,68,1,2,8,3,1,2,1, , , ,1, ,6,4,2,2,2,1, , ,.5093838, 
5707,1,1,1/25/2021,1,35,1,U, ,2,1,1,3,2,1,2, ,1,2, , , , , , , , , ,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2, , , , ,4,2,2, ,3,2,2,1,1,2,1,2,2,96,1,2,2,2,79,5,2,8,3,1,2,1, , , ,1, ,4,3,9,1, ,1, , ,.3110796, 
5828,1,1,1/27/2021,1,34,4,S, ,1,1,1,1,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,1,2,2,1,2,2,1,2,1,4,2,2,2,2,3,1,1,1,1,1,1,1,1,25,1,2,1,1,49,1,1,6,1,2,2,1, , , ,1, ,7,2, ,3,3,1, , ,.9176609, 
6126,1,1,2/1/2021,1,29,1,R, ,2,2,2, ,2,2, , ,1,2,2,2,2, ,2,2,1,Just because we're not interested, ,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, , , ,2,2,1,1,1,2,2,2,6,1,2,2,2,77,1,2,3,3,2,2,1, , , ,1, ,3,3,8,2,2,1, , ,1.4518202, 
6205,1,1,2/5/2021,1,34,5,S, ,1,1,1,3,2,1,8, ,1,1,2,8,1,1,2,2,2, ,3,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,5,2, ,2,3,1,3,1,3,1,2,1,2,0, , , ,1,72,1,2,4,3,2,2,1, , , ,1, ,10,1, ,2,2,1, , ,.6193746, 
7038,1,1,1/26/2021,1,17,2,U, ,2,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,4,2,2,2,3,1,1,1,1,1,1,1,2,5,1,2,2,2,75,1,2,8,3,2,2,2, , , ,2, ,9,2, ,1, ,1, , ,.5225334, 
7104,1,1,1/26/2021,1,36,2,R, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,2,2,2,2, , ,1, ,2,2,2,2,4,1,1,3,1,1,2,1,2,3,1,1,1,2,55,4,2,3,2,2,2,1, , , ,1, ,3,3,1,3,3,1, , ,2.2980549, 
7316,1,1,1/26/2021,1,24,4,S, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,1,1,1,1,2,2,3,5,1,1,2,2,2,2,3,3,3,3,2,3,1,1,1,25,1,2,1,2,39,6,1,6,1,2,2,1, , , ,1, ,6,1, ,3,2,1, , ,1.1232398, 
7446,1,1,1/25/2021,1,17,4,S, ,1,1,1,2,2,1,2, ,1,1, , , , , , , , , ,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , ,1,2,1, ,3,2,2,2,1,2,1,1,2,80,1,1,2,1,65,1,2,6,3,1,2,1, , , ,1, ,8,2, ,4,3,1, , ,.4443426, 
7964,1,1,2/1/2021,1,32,2,U, ,2,1,1,4,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,2,1,2,2,2,2,2, , , , , ,2,2,1,4,2,2,1,1,2,1,1,2,0, , , ,2,70,3,2,3,2,2,2,1, , , ,1, ,6,1, ,3,3,1, , ,1.4333793, 
8085,1,1,1/27/2021,1,36,5,U, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,2,2,2,1, , ,4, ,5,2,2,2,3,2,1,1,1,1,1,1,2,20,1,1,1,2,99,1,2,8,3,2,2,1, , , ,1, ,10,9,9,2,2,1, , ,.4779112, 
8202,1,1,1/31/2021,1,9,4,U, ,1,1,2,3,1,1,2, ,1,2, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,3, ,4,2,2,2,3,1,1,1,1,1,2,1,2,0, , , ,1,80,1,2,6,3,2,2,1, , , ,1, ,10,1, ,3,3,1, , ,.4340404, 
8755,1,1,2/3/2021,1,37,3,U, ,1,1,2,2,1,1,2, ,2, , , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,1, , ,2, ,1, ,2,2,3,3,2,2,1,3,2,1,2,6,1,2,2,1,63,1,2,5,3,2,2,1, , , ,1, ,6,1, ,2,2,2,1, ,1.7533617, 
8974,1,1,1/29/2021,1,42,2,S, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,2,2,1,2,2,2,2, , ,1, , ,2,2,2,4,3,3,3,8,3,2,2,2,0, , , ,2,74,1,2,3,3,1,2,1, , , ,1, ,4,2, ,1, ,1, , ,1.0121513, 
9008,1,1,2/3/2021,1,29,4,S, ,1,1,2,3,2,1,2, ,2, , , , , , , , , , ,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2, , , , ,2, ,2, ,2,2,2,1,1,2,2,1,2,25,1,2,2,1,59,6,2,7,4,2,2,1, , , ,1, ,10,2, ,1, ,2, , ,.463732, 
9327,1,1,2/2/2021,1,6,3,U, ,2,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,1,2,2,2,3,1,2,1,1,1,1,1,2,10,1,2,1,2,83,5,2,6,3,1,2,1, , , ,1, ,7,2, ,1, ,1, , ,.3190727, 
9488,1,1,2/1/2021,1,17,1,R, ,1,1,2,1,2,1,2, ,2, , , , , , , , , , ,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2, , , , ,2, ,2, ,3,1,8,2,8,8,2,1,2,12,2,2,1,1,99,9,9,99,99,9,9,9, , , ,9, ,10,9,9,9,9,9,9, ,.3110798, 
9806,1,1,1/25/2021,1,24,4,S, ,2,1,1,1,1,1,2, ,1,1, , , , , , , , , ,2,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1, ,1,1, ,2,2,2, ,4,1,1,1,1,1,1,1,2,40,1,1,2,2,75,5,2,8,3,2,2,1, , , ,1, ,9,2, ,2,2,1, , ,.5093838, 
9937,1,1,2/1/2021,1,40,1,R, ,2,2,2, ,2,2, , ,1,2,2,2,2, ,2,8,1,"age, just don't understand a lot of it", ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2, ,2,2,2,2,2,2,2,2,0, , , ,2,86,5,2,2,3,2,2,1, , , ,1, ,1,2, ,1, ,1, , ,.9867427, 
10067,1,1,1/27/2021,1,36,1,R, ,1,2,2, ,2,2, , ,2, ,2,2,2, ,2,2,2, , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,2, ,2,3,3,8,2,1,2,2,20,1,2,2,1,70,1,2,6,3,2,2,1, , , ,1, ,7,3,2,1, ,1, , ,.3110796, 
10170,1,1,2/2/2021,1,17,5,S, ,2,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,1,2,2,2,1,2,2,2,2,2,1,3, , , ,5,2,2,2,2,1,1,1,1,1,1,1,2,6,1,2,1,2,70,3,2,6,3,2,2,1, , , ,1, ,10,2, ,1, ,1, , ,.3578294, 
10398,1,1,2/2/2021,1,27,5,S, ,2,1,2,2,1,1,2, ,2, , , , , , , , , , ,1, , , , ,2,2,1,2,2,2,2,2,2,2,2, , ,1, , , ,2,2,4,2,2,2,2,3,2,1,2,50,1,2,2,2,83,6,2,6,3,2,2,1, , , ,1, ,2,2, ,1, ,2, , ,.5345498, 
10528,1,1,1/29/2021,1,36,5,S, ,1,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,1,2,2,2,2, , , , ,4,2,2,2,2,3,3,8,3,3,1,1,2,25,2,2,1,1,64,6,2,8,3,1,2,1, , , ,1, ,8,1, ,1, ,1, , ,.3110796, 
10655,1,1,2/1/2021,1,8,5,U, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,2,1,1,2,2,2,2, ,4, ,3,2,2,2,3,1,1,1,1,1,2,1,2,24,1,2,1,2,82,3,2,7,3,2,2,1, , , ,1, ,4,2, ,1, ,1, , ,.3177075, 
10657,1,1,2/2/2021,1,35,3,U, ,1,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,1,2,1,2,2,2,2,2,2,2,2,2, ,1, , ,2,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,66,6,2,6,4,9,9,9, , , ,9, ,10,9,9,9,9,9,9, ,.3110796, 
10774,1,1,1/29/2021,1,13,2,S, ,2,1,2,1,1,1,2, ,1,1, , , , , , , , , ,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2, , ,2, , ,2,2, ,1,2,1,2,1,2,1,1,1,97,1,2,2,2,71,1,2,3,4,2,2,1, , , ,1, ,3,1, ,6,6,1, , ,1.5002364, 
11046,1,1,1/27/2021,1,48,5,S, ,2,2,2, ,2,2, , ,1,2,2,2,2, ,2,2,2, , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2, ,3,3,3,2,3,2,2,2,3,1,2,2,2,79,5,2,3,3,2,2,2, , , ,2, ,3,2, ,1, ,1, , ,1.8572386, 
11093,1,1,2/4/2021,1,48,4,U, ,1,1,1,2,2,1,3, ,1,1, , , , , , , , , ,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2, , , , ,1,2,2, ,4,1,3,1,1,1,1,1,1,2,1,1,1,1,74,1,1,6,3,1,2,3, , , ,3, ,6,9,9,6,4,1, , ,.5964591, 
11960,1,1,2/1/2021,1,27,1,R, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,1,2,2,2,1, ,5,2, ,5,2,2,2,3,2,1,1,1,1,1,1,2,10,2,1,2,2,73,1,2,6,3,2,2,1, , , ,1, ,7,3,1,2,2,1, , ,.4372871, 
12098,1,1,1/26/2021,1,12,3,U, ,1,1,1,1,1,1,8, ,1,1,2,2,2,8,8,2,2, , ,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,3,3, ,1,2, , ,3,2,2,2,8,2,2,1,1,88,2,2,2,1,20,6,2,3,1,2,1,1, , , ,1,1,10,1, ,5,3,1, , ,.7260477, 
12116,1,1,1/26/2021,1,26,3,U, ,1,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,2, ,2,2,2,2,3,2,1,1,1,1,2,1,2,0, , , ,1,87,1,2,8,3,1,2,1, , , ,1, ,5,1, ,2,2,1, , ,.3495444, 
12150,1,1,1/28/2021,1,18,1,R, ,1,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,5,2,2,2,1,1,2,1,1,1,2,2,2,0, , , ,1,68,3,2,99,99,9,9,9, , , ,9, ,10,9,9,9,9,9,9, ,.3110798, 
12153,1,1,2/2/2021,1,25,4,S, ,1,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,2,2,1,2,2, ,5,5, ,3,2,2,2,2,3,1,1,1,2,2,1,2,5,1,2,2,1,70,1,2,4,3,2,1,2, , , ,2,1,8,2, ,3,3,1, , ,1.2908643, 
12918,1,1,1/29/2021,1,35,1,R, ,2,1,1,1,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,3,2,2,2,3,2,2,2,2,1,2,1,2,4,1,2,2,2,69,2,2,8,3,2,2,1, , , ,1, ,3,2, ,2,2,1, , ,.3882559, 
13323,1,1,1/25/2021,1,5,2,S, ,2,2,2, ,2,2, , ,1,2,2,2,2, ,2,2,2, , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2, ,8,9,8,8,3,2,2,8,0, , , ,2,99,5,2,3,4,2,2,1, , , ,1, ,10,4,1,1, ,1, , ,.9629045, 
13441,1,1,1/31/2021,1,12,2,S, ,1,1,1,1,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,3,2,2,2,3,3,3,2,1,2,1,1,2,3,1,2,2,1,55,6,2,6,1,2,2,1, , , ,1, ,8,4,9,1, ,1, , ,.3110796, 
13520,1,1,1/29/2021,1,36,5,S, ,1,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,1,2,2,2,2,2, , , , ,3,2,2,2,3,1,2,1,1,2,2,1,2,3,1,2,2,1,81,3,2,3,3,2,2,1, , , ,1, ,9,3,1,1, ,1, , ,.7429131, 
13868,1,1,1/29/2021,1,6,5,S, ,2,1,1,2,2,1,2, ,1,2, , , , , , , , , ,1, , , , ,2,2,1,2,2,2,2,2,2,2,2, , ,5, , ,2,2,2,1,3,2,8,8,8,1,1,2,40,1,2,2,2,91,5,2,7,4,2,2,9, , , ,9, ,10,3,2,1, ,1, , ,.3177075, 
13929,1,1,1/26/2021,1,25,4,U, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,5,2,2, ,3,2,2,1,1,1,1,1,2,6,1,2,1,2,61,6,2,8,4,1,2,1, , , ,1, ,10,3,2,1, ,1, , ,.5706725, 
13982,1,1,1/29/2021,1,34,5,S, ,1,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,1,2,1,2,1,1, ,2,2, ,3,2,2,2,4,2,2,1,1,2,1,1,2,6,1,1,1,1,75,2,2,7,4,2,2,1, , , ,1, ,9,2, ,2,2,1, , ,.3399793, 
14448,1,1,1/27/2021,1,25,4,S, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,1,2,1,2,2,2,2,2,2,2,2,2, ,1, , ,2,2,2,3,1,1,1,1,1,1,1,1,5,1,2,1,2,99,9,9,99,99,9,9,9, , , ,9, ,10,9,9,9,9,9,9, ,.5354357, 
14787,1,1,2/3/2021,1,6,5,U, ,1,1,1,1,1,1,2, ,1,1, , , , , , , , , ,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2, ,4,2, ,1,2,2, ,3,2,1,1,1,1,1,1,1,52,1,1,1,1,39,1,1,7,1,2,2,3, , , ,3, ,9,2, ,4,2,1, , ,.9435103, 
14940,1,1,1/27/2021,1,40,1,R, ,2,1,1,3,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,3, ,4,2,2,2,2,3,3,2,2,1,1,1,2,2,1,2,2,2,75,1,2,5,3,1,2,1, , , ,1, ,5,1, ,2,2,1, , ,.6809131, 
15135,1,1,2/2/2021,1,48,1,R, ,2,1,1,2,1,1,4, ,1,1,2,2,2,1,1,2,2, ,3,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,3,2, , ,1,1,8,1,2,2,2,1,2,97,1,2,2,2,84,1,2,3,3,2,2,1, , , ,1, ,4,3,2,2,2,1, , ,1.349158, 
15496,1,1,1/29/2021,1,12,2,S, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,1,1,1,2,1,1,2,2,2,1, ,4,3,4, ,2,2,2,3,2,2,2,2,2,1,1,2,10,1,2,2,2,67,5,2,6,1,2,2,1, , , ,1, ,10,1, ,3,3,1, , ,.45187, 
15719,1,1,1/25/2021,1,18,5,U, ,2,1,2,5,2,1,2, ,1,2, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,3,2,2,1,1,2,2,1,2,8,1,2,2,2,73,1,2,3,3,2,2,1, , , ,1, ,6,3,8,2,2,1, , ,1.6243557, 
15747,1,1,2/1/2021,1,42,1,R, ,1,1,1,2,1,1,2, ,2, , , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,1, ,1,2,4,1,1,1,1,1,1,1,2,5,1,1,1,1,65,3,2,6,3,1,2,1, , , ,1, ,4,1, ,1, ,2, , ,.3319994, 
15842,1,1,2/3/2021,1,28,1,R, ,2,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,3,2,2,2,3,2,1,2,8,2,2,1,2,0, , , ,2,99,6,2,6,3,2,9,9, , , ,9, ,10,2, ,1, ,1, , ,.3110796, 
16143,1,1,2/1/2021,1,6,4,U, ,1,1,1,2,2,8, , ,1,1,1,1,2,1,1,1,2, ,4,1, , , , ,2,2,2,1,1,1,2,2,2,2,2, , , ,3,3,1, ,2,3,2,1,2,2,1,2,1,2,6,1,1,2,1,99,9,9,99,99,9,9,9, , , ,9, ,10,9,9,9,9,9,9, ,.3462197, 
16452,1,1,2/3/2021,1,34,2,S, ,1,1,2,2,2,1,2, ,1,2, , , , , , , , , ,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , ,4,2,2, ,3,2,2,1,1,3,2,1,2,12,1,2,2,1,75,1,2,8,3,1,2,1, , , ,1, ,7,2, ,3,3,1, , ,.3378943, 
16506,1,1,2/3/2021,1,31,1,R, ,2,1,1,5,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,2,2,2,2,2,2,2, , ,2, , ,2,2,2,4,2,3,3,2,3,2,2,2,1,1,2,2,2,68,6,2,4,6,1,2,1, , , ,1, ,5,3,2,1, ,1, , ,.5358988, 
16533,1,1,1/25/2021,1,29,1,R, ,1,1,1,3,1,1,2, ,1,2, , , , , , , , , ,1, , , , ,8,2,1,2,1,2,2,2,2,2,2, , ,1, ,3,2,2,2,3,2,2,1,1,1,1,1,2,5,1,2,2,1,66,1,2,3,3,2,2,1, , , ,1, ,5,1, ,2,2,1, , ,.9294293, 
16905,1,1,2/1/2021,1,39,1,R, ,1,1,1,3,1,1,3, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,2,2,1,2,2,2,2, , ,3, , ,2,2,2,3,2,2,1,1,1,2,1,2,15,1,2,1,1,60,1,2,5,1,2,2,1, , , ,1, ,7,1, ,3,3,1, , ,.7029168, 
16973,1,1,1/25/2021,1,29,2,U, ,1,1,2,2,2,1,2, ,1,2, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,4,2,2,2,2,3,2,2,2,3,2,1,2,96,1,2,1,1,73,1,2,8,3,1,2,1, , , ,1, ,10,3,1,2,2,1, , ,.3110796, 
17403,1,1,1/26/2021,1,22,2,U, ,1,1,1,8,2,1,8, ,1,1,1,9,9,9,9,9,9, , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, ,2,1,8,3,1,9,9,1,2,2,3,1,2,2,1,65,1,2,4,3,2,2,1, , , ,1, ,4,3,1,3,3,1, , ,.5856251, 
17637,1,1,1/27/2021,1,29,2,U, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,1,2,2,2,2, ,3,1, ,3,2,2,2,2,3,3,2,1,8,2,1,2,96,1,2,1,2,61,1,2,6,3,2,2,1, , , ,1, ,7,2, ,2,2,1, , ,.6218483, 
17874,1,1,1/26/2021,1,55,2,S, ,1,1,2,3,2,1,8, ,1,2,2,2,2, ,2,2,1, low education, ,1, , , , ,2,2,1,2,2,2,2,2,2,2,2, , ,2, , ,2, ,2,4,3,3,3,3,3,1,1,1,0, , , ,1,86,5,2,3,3,1,2,1, , , ,1, ,8,2, ,1, ,1, , ,.6633408, 
17899,1,1,1/29/2021,1,48,1,R, ,2,1,2,5,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,2,2,2,2, , ,3, ,4,2,2,2,2,2,1,1,1,1,1,1,2,0, , , ,2,81,1,2,3,3,2,2,1, , , ,1, ,10,1, ,2,2,1, , ,1.349158, 
18045,1,1,2/1/2021,1,50,1,R, ,2,2,2, ,2,2, , ,1,2,2,8,1, ,2,2,2, , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2, ,3,2,2,2,1,2,2,2,15,1,2,2,2,70,5,2,3,2,2,2,1, , , ,1, ,4,3,2,1, ,1, , ,1.0372087, 
18080,1,1,1/29/2021,1,1,2,S, ,2,1,1,3,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,1,2,2,2, , ,1, ,4,2,2,2,3,2,2,1,2,2,1,1,2,0, , , ,2,99,5,2,4,3,2,2,1, , , ,1, ,10,1, ,2,2,1, , ,.6644634, 
18399,1,1,1/29/2021,1,6,5,U, ,2,2,2, ,2,2, , ,1,1,1,1,1,2,2,2,2, ,1,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,1, ,3,3,2,8,2,2,2,2,10,1,2,2,2,75,5,2,5,3,2,2,1, , , ,1, ,10,2, ,1, ,1, , ,.5323565, 
18566,1,1,1/25/2021,1,17,3,S, ,1,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,1,1,2,2,2,2,5,2, ,3,2,2,2,2,2,2,1,1,2,1,1,1,12,1,2,2,1,60,1,2,6,3,2,2,1, , , ,1, ,9,3,2,2,2,1, , ,.3804661, 
18588,1,1,2/3/2021,1,48,5,U, ,1,1,1,1,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,2,2,2,2,2,2,2, , ,1, , ,2,2,2,3,2,3,8,8,8,2,1,2,75,1,2,1,1,64,3,2,4,3,1,2,1, , , ,1, ,7,1, ,1, ,1, , ,.4690787, 
18729,1,1,1/25/2021,1,36,1,R, ,2,1,1,2,2,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,1,2,2,2, , , , ,3,2,2,2,1,2,3,1,1,2,1,1,2,75,1,2,1,2,69,1,2,8,1,2,2,1, , , ,1, ,8,1, ,2,2,1, , ,.4271485, 
