"location","start_year","end_year","deaths_thousands","region"
"Indonesia",1954,1961,17.1,"East Asia, South-East Asia & Oceania"
"Yemen (North)",1962,1970,15.9,"Middle East & North Africa"
"Syria",2011,2012,15.9,"Middle East & North Africa"
"Congo",1997,2012,15.3,"Sub-Saharan Africa"
"Myanmar (Shan)",1959,2011,15,"East Asia, South-East Asia & Oceania"
"Congo-Brazzaville",1993,2002,14.2,"Sub-Saharan Africa"
"Laos",1959,1973,14,"East Asia, South-East Asia & Oceania"
"Zimbabwe",1968,1979,13.6,"Sub-Saharan Africa"
"Mozambique",1964,1974,11.7,"Sub-Saharan Africa"
"Sudan (South)",1964,1973,11.7,"Sub-Saharan Africa"
"Bosnia (Serbia)",1992,1995,11.6,"Europe"
"Peru",1982,2010,11.4,"Americas"
"Ethiopia (Ogaden)",1977,1984,10.8,"Sub-Saharan Africa"
"Sierra Leone",1992,2002,10.6,"Sub-Saharan Africa"
"China (Tibet)",1950,1958,10,"East Asia, South-East Asia & Oceania"
"Nepal",1956,2006,9.9,"South & Central Asia"
"Israel (Palestinian Territories)",1948,2012,9.3,"Middle East & North Africa"
"Rwanda",1990,2012,9.2,"Sub-Saharan Africa"
"Soviet Union (Ukraine)",1946,1950,8.9,"Europe"
"Burundi",1991,2008,8.6,"Sub-Saharan Africa"
"India (Punjab/Khalistan)",1983,1993,7.6,"South & Central Asia"
"Guinea-Bissau",1963,1974,7.5,"Sub-Saharan Africa"
"Tajikistan",1996,1998,6.8,"South & Central Asia"
"South Africa (Namibia)",1966,1988,6.7,"Sub-Saharan Africa"
"Kenya",1953,1957,6.5,"Sub-Saharan Africa"
"Morocco (Western Sahara)",1975,1989,6.4,"Middle East & North Africa"
"India",1952,1990,6.3,"South & Central Asia"
"Cameroon",1958,1959,5.9,"Sub-Saharan Africa"
"Yemen (South)",1986,1986,5.7,"Middle East & North Africa"
"Malaysia",1949,1957,5.4,"East Asia, South-East Asia & Oceania"
"Indonesia (West-Papua)",1965,1978,4.8,"East Asia, South-East Asia & Oceania"
"Philippines",1969,2012,4.8,"East Asia, South-East Asia & Oceania"
"India",1983,2012,4.8,"South & Central Asia"
"Azerbaijan",1993,1994,4.6,"South & Central Asia"
"Madagascar",1948,1948,4.6,"Sub-Saharan Africa"
"Pakistan (Balochistan)",1974,1977,4.3,"South & Central Asia"
"Soviet Union (Lithuania)",1946,1948,4.3,"Europe"
"Serbia (Croatia)",1991,1991,3.9,"Europe"
"Syria",1979,1982,3.8,"Middle East & North Africa"
"Iran",1979,2011,3.7,"South & Central Asia"
"Yemen",2009,2012,3.7,"Middle East & North Africa"
"Congo",1964,1967,3.6,"Sub-Saharan Africa"
"Bosnia (Croatia)",1993,1994,3.6,"Europe"
"Myanmar (Arakan)",1949,1993,3.4,"East Asia, South-East Asia & Oceania"
"Iran (Kurdistan)",1979,1997,3.3,"South & Central Asia"
"Hyderabad",1948,1949,3.2,"South & Central Asia"
"Ethiopia (Oromia)",1978,2012,2.8,"Sub-Saharan Africa"
"Liberia",2000,2003,2.6,"Sub-Saharan Africa"
"Serbia (Kosovo)",1998,1999,2.6,"Europe"
"Thailand",1974,1982,2.5,"East Asia, South-East Asia & Oceania"
"Russia (Caucasus Emirate)",2007,2012,2.4,"Europe"
"Indonesia (Aceh)",1990,2005,2.3,"East Asia, South-East Asia & Oceania"
"Libya",2011,2012,2.3,"Middle East & North Africa"
"Argentina",1974,1978,2.3,"Americas"
"India (Nagaland)",1948,1968,2.2,"South & Central Asia"
"Georgia",1992,1993,2.2,"South & Central Asia"
"South Africa",1982,1989,2.2,"Sub-Saharan Africa"
"Yemen (North)",1948,1948,2,"Middle East & North Africa"
"Paraguay",1947,1958,2,"Americas"
"Dominican Republic",1965,1965,2,"Americas"
"Indonesia",1946,1946,1.8,"East Asia, South-East Asia & Oceania"
"United Kingdom (Northern Ireland)",1971,1998,1.5,"Europe"
