Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict type: state-based,Deaths in ongoing conflicts (low estimate) - Conflict type: state-based,Deaths in ongoing conflicts (high estimate) - Conflict type: state-based
Middle East,,2003,8328,8328,14237
Middle East,,2004,4733,4706,7023
Middle East,,2005,3083,3005,4113
Middle East,,2006,5865,5082,6419
Middle East,,2007,3075,2877,3509
Middle East,,2008,3510,3370,4506
Middle East,,2009,2106,1865,2338
Middle East,,2010,1620,1406,1798
Middle East,,2011,4091,3847,4701
Middle East,,2012,54509,52694,59696
Middle East,,2013,74495,70927,79424
Middle East,,2014,83762,81177,88463
Middle East,,2015,70772,68206,75546
Middle East,,2016,59533,57758,61802
Middle East,,2017,39449,37992,44276
Middle East,,2018,20417,19690,23302
Middle East,,2019,11956,10876,13486
Middle East,,2020,12989,9656,23567
Middle East,,2021,26277,24913,37073
Middle East,,2022,5290,4473,6217
Middle East,,2023,29908,29773,34096
Middle East,,2024,29981,29087,31167
World,OWID_WRL,1946,296386,51238,474722
World,OWID_WRL,1947,404784,67207,670181
World,OWID_WRL,1948,475588,77264,765798
World,OWID_WRL,1949,446646,73590,745553
World,OWID_WRL,1950,550676,352168,919791
World,OWID_WRL,1951,396167,253686,617185
World,OWID_WRL,1952,149073,91963,236832
World,OWID_WRL,1953,98934,60899,158938
World,OWID_WRL,1954,69519,28198,131898
World,OWID_WRL,1955,31164,21742,82145
World,OWID_WRL,1956,40580,27370,90996
World,OWID_WRL,1957,32188,20472,88928
World,OWID_WRL,1958,48037,22769,103899
World,OWID_WRL,1959,52460,24892,203098
World,OWID_WRL,1960,64873,50670,286311
World,OWID_WRL,1961,77804,56575,321743
World,OWID_WRL,1962,55938,24500,202767
World,OWID_WRL,1963,69801,50387,227281
World,OWID_WRL,1964,63348,46296,263982
World,OWID_WRL,1965,98568,69004,357463
World,OWID_WRL,1966,96786,71100,326186
World,OWID_WRL,1967,126717,92661,393499
World,OWID_WRL,1968,233327,172772,713401
World,OWID_WRL,1969,198673,143211,589961
World,OWID_WRL,1970,208784,156581,607165
World,OWID_WRL,1971,258085,207357,826935
World,OWID_WRL,1972,299083,228035,878233
World,OWID_WRL,1973,222940,171334,618346
World,OWID_WRL,1974,261646,202658,719301
World,OWID_WRL,1975,135684,84729,240474
World,OWID_WRL,1976,106722,25774,166983
World,OWID_WRL,1977,45550,25944,96763
World,OWID_WRL,1978,102573,49052,178505
World,OWID_WRL,1979,157289,62903,255629
World,OWID_WRL,1980,125492,72308,248887
World,OWID_WRL,1981,197263,100131,384471
World,OWID_WRL,1982,234509,99552,458329
World,OWID_WRL,1983,228286,101526,444351
World,OWID_WRL,1984,249266,88247,438831
World,OWID_WRL,1985,228466,83703,397347
World,OWID_WRL,1986,235400,93448,409293
World,OWID_WRL,1987,194655,70817,344769
World,OWID_WRL,1988,152503,64998,504787
World,OWID_WRL,1989,55184,50685,85215
World,OWID_WRL,1990,80297,77085,97819
World,OWID_WRL,1991,70353,68109,91417
World,OWID_WRL,1992,53406,49964,78166
World,OWID_WRL,1993,44949,43923,67757
World,OWID_WRL,1994,38517,37233,58165
World,OWID_WRL,1995,36742,35683,52199
World,OWID_WRL,1996,28885,28442,35071
World,OWID_WRL,1997,40340,37143,61984
World,OWID_WRL,1998,40218,38126,52215
World,OWID_WRL,1999,81047,79661,103429
World,OWID_WRL,2000,78671,76410,91466
World,OWID_WRL,2001,23592,21216,38988
World,OWID_WRL,2002,21106,19055,29279
World,OWID_WRL,2003,23194,22760,33522
World,OWID_WRL,2004,19646,19131,26589
World,OWID_WRL,2005,12322,11908,15464
World,OWID_WRL,2006,20163,18939,28780
World,OWID_WRL,2007,19214,18231,25320
World,OWID_WRL,2008,28741,27897,37027
World,OWID_WRL,2009,34606,31381,43329
World,OWID_WRL,2010,21088,20118,27870
World,OWID_WRL,2011,25080,24072,33675
World,OWID_WRL,2012,74071,71713,85418
World,OWID_WRL,2013,93488,88942,108339
World,OWID_WRL,2014,115972,110981,131396
World,OWID_WRL,2015,104435,100148,120004
World,OWID_WRL,2016,90624,86024,105943
World,OWID_WRL,2017,72023,69257,81884
World,OWID_WRL,2018,55031,51988,64820
World,OWID_WRL,2019,52610,48577,61679
World,OWID_WRL,2020,73228,66999,90301
World,OWID_WRL,2021,199789,194505,225697
World,OWID_WRL,2022,276893,251922,373007
World,OWID_WRL,2023,131061,113899,213124
World,OWID_WRL,2024,128439,119160,189525
