Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Southeast Drought/Heat Wave (Summer 1986)",Drought,19860601,19860831,5194.5,1803.6,100
"Michigan Flooding (September 1986)",Flooding,19860910,19860912,1144,400,10
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54610.4,20003.8,454
"Southern Derecho and Severe Storms (May 1989)",Severe Storm,19890501,19890506,1406.3,551.5,21
"Tropical Storm Allison (June 1989)",Tropical Cyclone,19890626,19890628,1485.9,585,11
"Hurricane Hugo (September 1989)",Tropical Cyclone,19890921,19890922,22679.7,8999.9,86
"Northern Plains Drought (Summer-Fall 1989)",Drought,19890601,19891130,7838.3,3003.2,0
"Florida Freeze (December 1989)",Freeze,19891223,19891225,5220,2000,10
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1700.4,680,100
"Southern Flooding (May 1990)",Flooding,19900511,19900519,2456.9,1006.9,13
"Colorado Hail Storm (July 1990)",Severe Storm,19900711,19900711,1984.5,820.1,0
"Western Fire Season (Summer 1990)",Wildfire,19900601,19900831,1716,715,17
"California Freeze (December 1990)",Freeze,19901218,19901225,8432,3400,0
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1509.4,645,0
"Hurricane Bob (August 1991)",Tropical Cyclone,19910818,19910820,3471.8,1502.9,18
"U.S. Drought (Spring-Summer 1991)",Drought,19910301,19910831,7039.8,3008.5,0
"Oakland Firestorm (October 1991)",Wildfire,19911001,19911031,7590,3300,25
"Severe Storms (March 1992)",Severe Storm,19920324,19920325,1825.8,804.3,0
"Hail, Tornadoes (April 1992)",Severe Storm,19920428,19920429,2157,954.4,0
"Severe Storms, Hail (June 1992)",Severe Storm,19920619,19920620,1683.1,748,0
"Hurricane Andrew (August 1992)",Tropical Cyclone,19920823,19920827,60480,27000,61
"Hurricane Iniki (September 1992)",Tropical Cyclone,19920911,19920912,6913,3100,7
"Southeast Severe Weather (November 1992)",Severe Storm,19921121,19921123,1458.5,657,26
"Northeast Winter Storm (December 1992)",Winter Storm,19921210,19921213,5512.4,2483,19
"East Coast Blizzard and Severe Weather (March 1993)",Winter Storm,19930311,19930314,12214.8,5527,270
"Northern Plains and Ohio Valley Severe Weather (July 1993)",Severe Storm,19930708,19930710,1410.4,644,1
"Midwest Flooding (Summer 1993)",Flooding,19930627,19930815,46323.6,20960.9,48
"Southeast Drought and Heat Wave (Summer 1993)",Drought,19930601,19930831,2780.2,1258,16
"California Wildfires (Fall 1993)",Wildfire,19930901,19931130,2989.9,1371.5,4
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2246.3,1040,70
"Southeast Ice Storm (February 1994)",Winter Storm,19940208,19940213,6444.9,2997.5,9
"Midwest/Plains Tornadoes (April 1994)",Severe Storm,19940425,19940427,2108.4,985.1,3
"Tropical Storm Alberto (July 1994)",Tropical Cyclone,19940707,19940710,2126.8,998.5,32
"Texas Flooding (October 1994)",Flooding,19941016,19941025,2110,1000,19
"Western Fire Season (Summer-Fall 1994)",Wildfire,19940601,19941130,1544.4,725,0
"California Flooding (January-March 1995)",Flooding,19950101,19950331,5250,2500,27
"Texas Hail Storm (April 1995)",Severe Storm,19950428,19950428,1196,575,0
"South Plains Severe Weather (May 1995)",Severe Storm,19950505,19950507,11357,5486.5,32
"Hurricane Erin (August 1995)",Tropical Cyclone,19950801,19950807,1751,850,6
"Hurricane Marilyn (September 1995)",Tropical Cyclone,19950915,19950917,4326,2100,13
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,19950930,2027,984,872
"Hurricane Opal (October 1995)",Tropical Cyclone,19951004,19951006,9612.5,4689,27
"Blizzard/Floods (January 1996)",Winter Storm,19960101,19960131,6126.2,3003,187
"Pacific Northwest Severe Flooding (February 1996)",Flooding,19960207,19960212,2056.9,1008.3,9
"Southern Plains Drought (Spring-Summer 1996)",Drought,19960301,19960831,3654.5,1791.5,0
"Hurricane Fran (September 1996)",Tropical Cyclone,19960905,19960908,10014,5007,37
"New England Flooding (October 1996)",Flooding,19961019,19961022,1352,676,1
"West Coast Flooding (December 1996-January 1997)",Flooding,19970101,19970111,5973.6,3017,36
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)",Severe Storm,19970228,19970305,1935.5,977.5,67
"Northern Plains Flooding (Spring 1997)",Flooding,19970203,19970524,7279.5,3676.5,11
"Northeast Ice Storm (January 1998)",Winter Storm,19980105,19980109,2733.5,1401.8,16
"Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)",Severe Storm,19971201,19980228,1968.7,1004.5,132
"Minnesota Severe Storms/Hail (May 1998)",Severe Storm,19980515,19980515,3164.6,1631.3,1
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2208.3,1138.4,20
"Central and Eastern Severe Storms and Flooding (June 1998)",Severe Storm,19980620,19980624,1734.5,894,12
"Tropical Storm Frances (September 1998)",Tropical Cyclone,19980808,19980813,1351,700,2
"Hurricane Bonnie (August 1998)",Tropical Cyclone,19980827,19980829,1891.4,980,3
"Southern Drought and Heat Wave (Summer 1998)",Drought,19980601,19980831,6879.7,3528,200
"Hurricane Georges (September 1998)",Tropical Cyclone,19980920,19980929,11550.1,5984.5,16
"Texas Flooding (October 1998)",Flooding,19981016,19981024,1808.8,942.1,31
"California Freeze (December 1998)",Freeze,19981220,19981228,4875,2500,0
"Central and Eastern Winter Storm (January 1999)",Winter Storm,19990101,19990104,1982.3,1032.5,25
"Central and Eastern Winter Storm (Mid-January 1999)",Winter Storm,19990113,19990116,1693.4,882,0
"Oklahoma and Kansas Tornadoes (May 1999)",Severe Storm,19990503,19990506,3823.3,2012.1,55
"Eastern Drought/Heat Wave (Summer 1999)",Drought,19990601,19990831,4797.8,2498.9,502
"Hurricane Floyd (September 1999)",Tropical Cyclone,19990914,19990916,12203.2,6491,77
"Southeast Winter Storm (January 2000)",Winter Storm,20000121,20000124,1320.3,706,4
"Southern Severe Weather (March 2000)",Severe Storm,20000328,20000329,1269.6,690,0
"Western Fire Season (Spring-Summer 2000)",Wildfire,20000301,20000831,1978,1075,0
"South Florida Flooding (October 2000)",Flooding,20001003,20001004,1629,900,3
"Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000)",Drought,20000301,20001130,9344.8,4997.2,140
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)",Severe Storm,20010406,20010411,5508.7,3094.8,3
"North Central Severe Weather (May 2001)",Severe Storm,20010430,20010501,1194.3,671,0
"Tropical Storm Allison (June 2001)",Tropical Cyclone,20010605,20010617,15084,8522,43
"Severe Storms and Tornadoes (April 2002)",Severe Storm,20020427,20020428,3685,2093.8,7
"Hurricane Lili (October 2002)",Tropical Cyclone,20020801,20020805,1932.9,1104.5,2
"Tropical Storm Isidore (September 2002)",Tropical Cyclone,20020925,20020927,2001,1150,5
"Eastern Tornadoes and Severe Storms (November 2002)",Severe Storm,20021109,20021111,1252.8,720,28
"Western Fire Season (Fall 2002)",Wildfire,20020901,20021130,2301.8,1322.8,21
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Severe Storms/Hail (April 2003)",Severe Storm,20030404,20030407,3451,2006.3,3
"Severe Storms/Tornadoes (May 2003)",Severe Storm,20030503,20030510,7100.9,4128.4,51
"Midwest/Plains Severe Weather (July 2003)",Severe Storm,20030704,20030709,1476,858.1,7
"Southern Derecho and Eastern Severe Weather (July 2003)",Severe Storm,20030721,20030723,1734.2,1008.2,7
"Hurricane Isabel (September 2003)",Tropical Cyclone,20030918,20030919,9322.9,5484,55
"California Wildfires (Fall 2003)",Wildfire,20030901,20031130,6613.7,3890.4,22
"Western/Central Drought/Heat Wave (Spring-Fall 2003)",Drought,20030301,20031130,8731.1,5017.7,35
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1693.3,1013.9,4
"Colorado Hail Storms (June 2004)",Severe Storm,20040608,20040609,1153.7,695,0
"Hurricane Charley (August 2004)",Tropical Cyclone,20040813,20040814,26719.2,15999.5,35
"Hurricane Frances (September 2004)",Tropical Cyclone,20040903,20040909,16268,9800,48
"Hurricane Ivan (September 2004)",Tropical Cyclone,20040912,20040921,34031,20500.5,57
"Hurricane Jeanne (September 2004)",Tropical Cyclone,20040915,20040929,12444.5,7496.5,28
"Southeast Severe Weather (March 2005)",Severe Storm,20050324,20050327,1410,865,0
"Hurricane Dennis (July 2005)",Tropical Cyclone,20050709,20050711,4041.9,2495,15
"Hurricane Katrina (August 2005)",Tropical Cyclone,20050825,20050830,201297.5,125029.5,1833
"Midwest Drought (Spring-Summer 2005)",Drought,20050301,20050831,2433.6,1474.8,0
"Hurricane Rita (September 2005)",Tropical Cyclone,20050920,20050924,29415.2,18500.1,119
"Hurricane Wilma (October 2005)",Tropical Cyclone,20051024,20051024,30020,19000,35
"Severe Storms and Tornadoes (March 2006)",Severe Storm,20060308,20060313,2113.3,1337.5,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,20060406,20060408,2518.2,1603.8,10
"Midwest Tornadoes (April 2006)",Severe Storm,20060413,20060416,3804.9,2423.5,27
"Northeast Flooding (June 2006)",Flooding,20060625,20060628,2373.7,1521.6,20
"North Central Severe Weather and Tornadoes (August 2006)",Severe Storm,20060823,20060824,1176.6,759,1
"Midwest/Plains/Southeast Drought (Spring-Summer 2006)",Drought,20060301,20060831,9536.7,5997.9,0
"Central Severe Weather (October 2006)",Severe Storm,20061002,20061005,1371.3,879,1
"Numerous Wildfires (2006)",Wildfire,20060101,20061231,2332.8,1467.1,28
"California Freeze (January 2007)",Freeze,20070111,20070117,2184,1400,1
"Spring Freeze (April 2007)",Freeze,20070404,20070410,3188.5,2044,0
"East/South Severe Weather and Flooding (April 2007)",Severe Storm,20070413,20070417,3836.9,2507.8,9
"Western Wildfires (Summer 2007)",Wildfire,20070601,20070831,4139.4,2741.3,12
"Western/Eastern Drought/Heat Wave (Summer-Fall 2007)",Drought,20070601,20071130,5519.7,3538.3,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1473,982,12
"Southeast Tornadoes and Severe Weather (February 2008)",Severe Storm,20080205,20080206,1805.3,1211.6,57
"Southeast Tornadoes (March 2008)",Severe Storm,20080314,20080315,1673.9,1131,5
"Southern Severe Weather (April 2008)",Severe Storm,20080409,20080411,1528.3,1039.6,2
"Midwest Tornadoes and Severe Weather (May 2008)",Severe Storm,20080522,20080527,4423.1,3029.5,13
"Midwest/Mid-Atlantic Severe Weather (June 2008)",Severe Storm,20080606,20080612,2355.7,1635.9,18
"Midwest Flooding (Summer 2008)",Flooding,20080401,20080630,14937.8,9958.4,24
"Hurricane Dolly (July 2008)",Tropical Cyclone,20080723,20080725,1812.2,1267.3,3
"Hurricane Gustav (September 2008)",Tropical Cyclone,20080831,20080903,8635.7,5997,53
"Hurricane Ike (September 2008)",Tropical Cyclone,20080912,20080914,43198.4,29998.8,112
"U.S. Wildfires (Fall 2008)",Wildfire,20080901,20081130,1777,1234,16
"U.S. Drought (2008)",Drought,20080101,20081231,10514.8,7009.8,0
"Southeast/Ohio Valley Severe Weather (February 2009)",Severe Storm,20090210,20090211,2592.9,1740.2,10
"Midwest/Southeast Tornadoes (March 2009)",Severe Storm,20090325,20090328,2427.9,1640.5,0
"South/Southeast Severe Weather and Tornadoes (April 2009)",Severe Storm,20090409,20090410,2116.4,1430.1,6
"Central Derecho and Tornadoes (May 2009)",Severe Storm,20090507,20090509,1274.2,861,7
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,20090609,20090612,1939,1328.1,0
"Colorado Hail Storm (July 2009)",Severe Storm,20090720,20090720,1470,1000,0
"Georgia Flooding (September 2009)",Flooding,20090919,20090922,1311.8,898.5,10
"Western Wildfires (Summer-Fall 2009)",Wildfire,20090601,20091130,1477.4,1011.9,10
"Southwest/Great Plains Drought (2009)",Drought,20090101,20091231,5203.2,3492,0
"Northeast Winter Storm (February 2010)",Winter Storm,20100209,20100211,1192.8,817,3
"Northeast Flooding (March 2010)",Flooding,20100301,20100331,2692.6,1844.2,11
"East/South Flooding and Severe Weather (May 2010)",Flooding,20100430,20100502,3308.8,2266.3,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,20100510,20100512,4834,3333.8,3
"Rockies/Central/East Severe Weather (June 2010)",Severe Storm,20100610,20100615,1306.7,901,2
"Midwest/Northeast Severe Storms and Flooding (July 2010)",Severe Storm,20100720,20100723,1375.1,948.3,0
"Arizona Severe Weather (October 2010)",Severe Storm,20101005,20101006,5472,3800,0
"Groundhog Day Blizzard (February 2011)",Winter Storm,20110201,20110203,2565.7,1794.2,36
"Midwest/Southeast Tornadoes and Derecho (April 2011)",Severe Storm,20110404,20110405,3885.3,2775.2,9
"Southeast/Midwest Tornadoes (April 2011)",Severe Storm,20110408,20110411,3051,2179.3,0
"Midwest/Southeast Tornadoes (April 2011)",Severe Storm,20110414,20110416,2882.9,2059.2,38
"Ohio Valley Derecho and Southern Tornadoes (April 2011)",Severe Storm,20110419,20110420,1452.8,1037.5,0
"Southeast/Ohio Valley/Midwest Tornadoes (April 2011)",Severe Storm,20110425,20110428,14310.7,10222,321
"Midwest/Southeast Tornadoes (May 2011)",Severe Storm,20110522,20110527,12735.6,9096.8,177
"Mississippi River flooding (April-May 2011)",Flooding,20110401,20110531,4270.1,2986,7
"Midwest/Southeast Tornadoes and Severe Weather (June 2011)",Severe Storm,20110618,20110622,2152.3,1537.3,3
"Missouri River flooding (May-June 2011)",Flooding,20110501,20110630,2863.3,2002.3,5
"North Central Severe Weather (July 1, 2011)",Severe Storm,20110701,20110701,1243.2,888,0
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,20110710,20110711,1729.1,1235,2
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,20110817,20110818,1600.4,1151.4,0
"Hurricane Irene (August 2011)",Tropical Cyclone,20110826,20110828,18756.7,13494,45
"Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011)",Drought,20110301,20110831,17109.5,11964.8,95
"Tropical Storm Lee (September 2011)",Tropical Cyclone,20110901,20110905,3492.4,2512.5,21
"Northeastern Winter Storm (October 2011)",Winter Storm,20111029,20111030,1285.8,925,1
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,20110601,20111130,2549.1,1820.8,5
"Southeast/Ohio Valley Tornadoes (March 2012)",Severe Storm,20120302,20120303,4317.9,3128.8,42
"Texas Tornadoes (April 2012)",Severe Storm,20120402,20120403,1390.9,1015.3,0
"Midwest Tornadoes (April 2012)",Severe Storm,20120413,20120414,1539.4,1123.6,6
"Midwest/Ohio Valley Severe Weather (April-May 2012)",Severe Storm,20120428,20120501,4488.6,3276.3,1
"Southern Plains/Midwest/Northeast Severe Weather (May 2012)",Severe Storm,20120525,20120530,3156.1,2303.7,1
"Rockies/Southwest Severe Weather (June 2012)",Severe Storm,20120606,20120612,3585,2597.8,0
"Plains/East/Northeast Derecho (June-July 2012)",Severe Storm,20120629,20120702,3986,2888.4,28
"Hurricane Isaac (August 2012)",Tropical Cyclone,20120826,20120831,3786.1,2763.5,9
"Hurricane Sandy (October 2012)",Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
"Western Wildfires (Summer-Fall 2012)",Wildfire,20120601,20121130,2399.2,1738.5,8
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
"Southern Severe Weather (February 2013)",Severe Storm,20130224,20130225,1253.9,922,1
"Southeast Severe Weather (March 2013)",Severe Storm,20130318,20130318,2747.2,2020,1
"Midwest/Plains Severe Weather (April 2013)",Severe Storm,20130407,20130411,1963.8,1444,1
"Illinois Flooding and Severe Weather (April 2013)",Flooding,20130416,20130419,1464.7,1077,4
"Midwest/Plains/East Tornadoes (May 2013)",Severe Storm,20130518,20130522,3240.5,2400.3,27
"Midwest/Plains/Northeast Tornadoes (May 2013)",Severe Storm,20130527,20130531,2448.4,1813.5,10
"Midwest Severe Weather (August 2013)",Severe Storm,20130806,20130807,1406.7,1041.9,0
"Colorado Flooding (September 2013)",Flooding,20130910,20130916,2036.5,1508.5,9
"Ohio Valley Tornadoes (November 2013)",Severe Storm,20131117,20131117,1472.2,1090.6,8
"Western/Plains Drought/Heat Wave (Spring-Fall 2013)",Drought,20130301,20131130,14283.6,10425.9,53
"Midwest/Southeast/Northeast Winter Storm (January 2014)",Winter Storm,20140105,20140108,2933.4,2172.7,16
"Plains Severe Weather (April 2014)",Severe Storm,20140402,20140403,1908.1,1424,0
"Central Severe Weather (April 2014)",Severe Storm,20140412,20140413,1221.1,918,0
"Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)",Severe Storm,20140427,20140501,2309.2,1736.1,33
"Center Severe Weather (May 2014)",Severe Storm,20140510,20140514,1134.5,853,0
"Rockies/Midwest/Eastern Severe Weather (May 2014)",Severe Storm,20140518,20140523,4938.6,3713.2,0
"Rockies/Central Plains Severe Weather (June 2014)",Severe Storm,20140603,20140605,2533.4,1919.2,2
"Michigan and Northeast Flooding (August 2014)",Flooding,20140811,20140813,1361.9,1031.7,2
"Rockies/Plains Severe Weather (September 2014)",Severe Storm,20140929,20141002,1862.6,1400.4,0
"Western Drought (2014)",Drought,20140101,20141231,5334.8,3951.7,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3969.3,2962.1,30
"Midwest/Ohio Valley Severe Weather (April 2015)",Severe Storm,20150407,20150409,2069,1555.6,2
"South/Southeast Severe Weather (April 2015)",Severe Storm,20150418,20150420,1707.6,1283.9,0
"South and Southeast Severe Weather (April 2015)",Severe Storm,20150424,20150425,1255.8,944,3
"Southern Plains Tornadoes (May 2015)",Severe Storm,20150506,20150510,1691.9,1272.1,4
"Texas and Oklahoma Flooding and Severe Weather (May 2015)",Flooding,20150523,20150526,3375.6,2500.4,31
"Central and Northeast Severe Weather (June 2015)",Severe Storm,20150621,20150625,1547.1,1172,1
"South Carolina and East Coast Flooding (October 2015)",Flooding,20151001,20151005,2657.6,1998.2,25
"Western and Alaskan Wildfires (Summer-Fall 2015)",Wildfire,20150601,20151130,3996.9,3028,12
"Texas Tornadoes and Midwest Flooding (December 2015)",Severe Storm,20151226,20151229,2609.3,1961.9,50
"Western Drought (2015)",Drought,20150101,20151231,6029.3,4466,0
"Southeast and Eastern Tornadoes (February 2016)",Severe Storm,20160222,20160224,1383.5,1040,10
"Texas and Louisiana Flooding (March 2016)",Flooding,20160308,20160312,3052.1,2294.8,5
"Southern Severe Weather (March 2016)",Severe Storm,20160317,20160318,1609.8,1210.3,1
"North Texas Hail Storm (March 2016)",Severe Storm,20160323,20160324,2746.1,2064.8,0
"North/Central Texas Hail Storm (April 2016)",Severe Storm,20160410,20160412,4618.1,3498.6,0
"Houston Flooding (April 2016)",Flooding,20160417,20160418,3559.1,2676,8
"South/Southeast Tornadoes (April 2016)",Severe Storm,20160426,20160502,3160.8,2394.5,6
"Plains Tornadoes and Central Severe Weather (May 2016)",Severe Storm,20160508,20160511,2252.9,1719.6,2
"Rockies/Central Tornadoes and Severe Weather (May 2016)",Severe Storm,20160521,20160526,1501.5,1146.3,0
"West Virginia Flooding and Ohio Valley Tornadoes (June 2016)",Flooding,20160622,20160624,1288.5,968.8,23
"Rockies and Northeast Severe Weather (July 2016)",Severe Storm,20160728,20160730,1920,1465.6,0
"Louisiana Flooding (August 2016)",Flooding,20160812,20160815,13300,10000,13
"Hurricane Matthew (October 2016)",Tropical Cyclone,20161008,20161012,13100,10000,49
"Western/Southeast Wildfires (Summer-Fall 2016)",Wildfire,20160601,20161231,3137.5,2395,21
"West/Northeast/Southeast Drought (2016)",Drought,20160101,20161231,4580,3443.5,0
"Southern Tornado Outbreak and Western Storms (January 2017)",Severe Storm,20170120,20170122,1436.5,1105,24
"California Flooding (February 2017)",Flooding,20170208,20170222,1950,1500,5
"Central/Southeast Tornado Outbreak (March 2017)",Severe Storm,20170228,20170301,2347.8,1806,6
"Midwest Tornado Outbreak (March 2017)",Severe Storm,20170306,20170308,2828.8,2176,2
"Southeast Freeze (March 2017)",Freeze,20170314,20170316,1300,1000,0
"South/Southeast Severe Weather (March 2017)",Severe Storm,20170326,20170328,3476.6,2695,0
"Southeast Severe Weather and Tornadoes (April 2017)",Severe Storm,20170404,20170406,1259.2,976,1
"South and Southeast Severe Weather (April 2017)",Severe Storm,20170420,20170422,1152,893,0
"Missouri and Arkansas Flooding and Central Severe Weather (May 2017)",Flooding,20170425,20170507,2156.7,1659,20
"Colorado Hail Storm and Central Severe Weather (May 2017)",Severe Storm,20170508,20170511,4321.5,3350,0
"North Central Severe Weather and Tornadoes (May 2017)",Severe Storm,20170515,20170518,1214.1,941,1
"Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017)",Severe Storm,20170609,20170611,3031.5,2350,0
"Midwest Severe Weather (June 2017)",Severe Storm,20170612,20170616,1946.7,1509,0
"Midwest Severe Weather (June 2017)",Severe Storm,20170627,20170629,1838.3,1425,0
"Hurricane Harvey (August 2017)",Tropical Cyclone,20170825,20170831,160000,125000,89
"Hurricane Irma (September 2017)",Tropical Cyclone,20170906,20170912,64000,50000,97
"Hurricane Maria (September 2017)",Tropical Cyclone,20170919,20170921,115200,90000,2981
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20170601,20171231,23226.5,18005,54
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,20171231,3250,2500,0
"Central and Eastern Winter Storm (January 2018)",Winter Storm,20180103,20180105,1324.6,1043,22
"Northeast Winter Storm (March 2018)",Winter Storm,20180301,20180303,2786.4,2194,9
"Southeastern Tornadoes and Severe Weather (March 2018)",Severe Storm,20180318,20180321,1844.1,1452,0
"Southern and Eastern Tornadoes and Severe Weather (April 2018)",Severe Storm,20180413,20180416,1660.7,1318,3
"Central and Northeast Severe Weather (May 2018)",Severe Storm,20180501,20180504,1751.3,1390,0
"Central and Eastern Severe Weather (May 2018)",Severe Storm,20180513,20180515,1726.2,1370,5
"Texas Hail Storm (June 2018)",Severe Storm,20180606,20180606,1625,1300,0
"Colorado Hail Storm (June 2018)",Severe Storm,20180613,20180613,1193.8,955,0
"Colorado Hail Storm (June 2018)",Severe Storm,20180618,20180619,2778.8,2223,0
"Central and Eastern Tornadoes and Severe Weather (July 2018)",Severe Storm,20180719,20180722,1981.6,1585,0
"Mountain West Severe Weather (July 2018)",Severe Storm,20180726,20180729,1063.8,851,0
"Rockies and Plains Hail Storms (August 2018)",Severe Storm,20180806,20180807,1281.4,1025,0
"Hurricane Florence (September 2018)",Tropical Cyclone,20180913,20180916,30000,24000,53
"Hurricane Michael (October 2018)",Tropical Cyclone,20181010,20181011,31218.8,24975,49
"Southwest/Southern Plains Drought (Summer-Fall 2018)",Drought,20180601,20181230,3797.4,2990,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,20180601,20181231,30000,24000,106
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,20190223,20190225,1547.2,1237.5,2
"Texas Hail Storm (March 2019)",Severe Storm,20190322,20190324,1903.4,1535,0
"Missouri River and North Central Flooding (March 2019)",Flooding,20190314,20190331,13408.9,10727,3
"Southern and Eastern Tornadoes and Severe Weather (April 2019)",Severe Storm,20190413,20190414,1552.5,1252,7
"South and Southeast Severe Weather (May 2019)",Severe Storm,20190507,20190513,1862.4,1514,0
"Central Severe Weather (May 2019)",Severe Storm,20190516,20190518,1196.9,973,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,20190526,20190529,5655.6,4598,3
"Arkansas River Flooding (June 2019)",Flooding,20190520,20190614,3720.8,3025,5
"Colorado Hail Storms (July 2019)",Severe Storm,20190704,20190705,1239.8,1008,0
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,20190315,20190731,7649.6,6169,4
"Hurricane Dorian (September 2019)",Tropical Cyclone,20190828,20190906,1980.3,1610,10
"Tropical Storm Imelda (September 2019)",Tropical Cyclone,20190917,20190921,6150,5000,5
"Texas Tornadoes and Central Severe Weather (October 2019)",Severe Storm,20191020,20191020,2113.1,1718,2
"California and Alaska Wildfires (Summer-Fall 2019)",Wildfire,20190601,20191130,5535,4500,3
"Southeast Tornadoes and Northern Storms and Flooding (January 2020)",Severe Storm,20200110,20200112,1401.8,1149,10
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,20200205,20200207,1532.2,1256,3
"Tennessee Tornadoes and Southeast Severe Weather (March 2020)",Severe Storm,20200302,20200304,2850,2336,25
"Midwest and Ohio Valley Severe Weather (March 2020)",Severe Storm,20200327,20200328,3120.9,2558,0
"North Central and Ohio Valley Hail Storms and Severe Weather (April 2020)",Severe Storm,20200407,20200408,3543.9,2881,0
"Southeast and Eastern Tornado Outbreak (April 2020)",Severe Storm,20200412,20200413,4236.2,3444,35
"Southern Severe Weather (April 2020)",Severe Storm,20200421,20200423,1660.6,1350,3
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,20200427,20200430,1263.3,1027,1
"Central and Eastern Severe Weather (May 2020)",Severe Storm,20200503,20200505,2598.9,2113,2
