Country;Subject Descriptor;Units;Scale;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;General government total expenditure;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6.943;11.927;15.069;15.651;18.262;21.448;20.899;21.151;20.789;21.937;25.028;24.977;25.402;25.947;28.029;27.732;28.936;27.999;27.937;17.934;16.116;16.967
Afghanistan;General government net lending/borrowing;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.176;-4.624;-5.891;-2.797;2.364;-10.524;-19.994;-10.691;6.643;-5.618;1.882;-7.047;-20.334;-16.898;1.556;-8.653;21.697;-15.550;-34.703;-6.067;-12.800;-18.436
Afghanistan;General government net lending/borrowing;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.098;-2.102;-2.393;-0.917;0.684;-2.462;-3.864;-1.761;0.933;-0.672;0.182;-0.631;-1.719;-1.378;0.127;-0.673;1.634;-1.058;-2.243;-0.485;-0.997;-1.365
Afghanistan;General government structural balance;National currency;Billions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;General government structural balance;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;General government primary net lending/borrowing;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-2.652;2.504;-10.393;-19.899;-10.578;6.726;-4.794;2.660;-6.075;-19.935;-16.270;2.350;-7.767;22.486;-14.971;-34.131;-5.786;-12.692;-16.132
Afghanistan;General government primary net lending/borrowing;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.870;0.724;-2.431;-3.845;-1.742;0.945;-0.573;0.257;-0.544;-1.685;-1.326;0.192;-0.604;1.694;-1.019;-2.206;-0.462;-0.989;-1.194
Afghanistan;General government net debt;National currency;Billions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;General government net debt;Percent of GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;General government gross debt;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;618.456;595.360;603.134;629.234;79.485;86.083;98.622;98.658;54.784;62.726;69.865;77.111;102.928;112.281;103.181;102.807;98.042;90.180;113.434;139.327;136.593;111.511
Afghanistan;General government gross debt;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;345.977;270.602;244.967;206.356;22.985;20.137;19.057;16.247;7.697;7.501;6.759;6.904;8.700;9.154;8.437;7.998;7.384;6.136;7.331;11.136;10.643;8.255
Afghanistan;Gross domestic product corresponding to fiscal year, current prices;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;178.756;220.013;246.210;304.926;345.817;427.495;517.509;607.227;711.759;836.222;1,033.591;1,116.827;1,183.039;1,226.570;1,222.917;1,285.460;1,327.690;1,469.596;1,547.289;1,251.172;1,283.442;1,350.910
Afghanistan;Current account balance;U.S. dollars;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.481;1.348;1.915;1.864;1.444;5.424;3.477;5.018;4.510;4.754;2.205;0.291;1.350;0.744;1.627;1.431;2.227;2.209;2.814;-0.008;-2.687;-3.502
Afghanistan;Current account balance;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;33.908;29.616;37.216;30.226;20.844;63.390;33.769;41.587;29.430;26.574;10.864;1.444;6.549;3.709;9.029;7.576;12.143;11.705;13.974;-0.056;-18.532;-20.306
Albania;Gross domestic product, constant prices;National currency;Billions;718.143;517.063;479.834;525.898;575.333;626.537;683.552;608.880;662.640;748.059;800.021;866.369;905.672;955.744;1,008.451;1,064.183;1,126.997;1,194.428;1,284.011;1,327.081;1,376.274;1,411.306;1,431.311;1,445.653;1,471.306;1,503.952;1,553.808;1,612.887;1,677.714;1,712.740;1,655.984;1,804.519;1,891.618;1,966.083
Albania;Gross domestic product, constant prices;Percent change;Units;-10.000;-28.000;-7.200;9.600;9.400;8.900;9.100;-10.924;8.829;12.891;6.946;8.293;4.537;5.529;5.515;5.526;5.903;5.983;7.500;3.354;3.707;2.545;1.418;1.002;1.774;2.219;3.315;3.802;4.019;2.088;-3.314;8.970;4.827;3.937
Albania;Gross domestic product, current prices;National currency;Billions;20.244;19.751;64.094;150.917;226.232;270.606;338.338;335.267;389.428;448.873;507.163;570.154;617.759;685.803;746.434;813.733;883.121;977.018;1,093.536;1,157.550;1,254.397;1,316.102;1,348.672;1,366.119;1,411.909;1,451.375;1,490.002;1,569.099;1,656.207;1,712.037;1,655.984;1,866.674;2,149.741;2,369.906
Albania;Gross domestic product, current prices;U.S. dollars;Billions;2.247;1.349;0.853;1.478;2.389;2.916;3.238;2.251;2.585;3.264;3.529;3.974;4.408;5.628;7.263;8.148;9.002;10.804;13.035;12.187;12.079;13.052;12.470;12.936;13.404;11.525;12.003;13.209;15.337;15.582;15.271;18.086;19.185;23.388
Albania;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;9.805;7.299;6.927;7.772;8.685;9.656;10.727;9.720;10.697;12.247;13.395;14.832;15.746;16.945;18.360;19.982;21.814;23.746;26.018;27.057;28.401;29.725;30.707;31.543;32.662;33.696;35.144;37.134;39.151;42.220;41.183;45.984;51.640;55.604
Albania;Gross domestic product, deflator;Index;Units;2.819;3.820;13.358;28.697;39.322;43.191;49.497;55.063;58.769;60.005;63.394;65.810;68.210;71.756;74.018;76.466;78.361;81.798;85.166;87.225;91.144;93.254;94.226;94.498;95.963;96.504;95.894;97.285;98.718;99.959;100.000;103.444;113.646;120.539
Albania;Gross domestic product per capita, constant prices;National currency;Units;218,510.098;158,278.519;147,775.918;162,953.662;179,369.045;196,543.203;215,765.483;193,400.638;211,805.434;240,627.869;258,988.003;283,111.119;296,843.480;314,429.093;333,158.701;353,374.540;376,601.309;402,162.047;435,654.734;453,312.383;472,455.956;485,786.968;493,487.450;499,346.157;509,260.305;522,078.147;540,248.061;561,305.364;585,308.538;600,079.036;583,534.975;641,797.036;681,004.083;714,962.227
Albania;Gross domestic product per capita, constant prices;"Purchasing power parity; 2021 international dollar";Units;5,568.188;4,033.336;3,765.703;4,152.470;4,570.775;5,008.416;5,498.248;4,928.336;5,397.336;6,131.805;6,599.667;7,214.385;7,564.320;8,012.446;8,489.724;9,004.874;9,596.751;10,248.103;11,101.581;11,551.542;12,039.369;12,379.077;12,575.304;12,724.599;12,977.236;13,303.867;13,766.882;14,303.476;14,915.137;15,291.527;14,869.942;16,354.606;17,353.701;18,219.040
Albania;Gross domestic product per capita, current prices;National currency;Units;6,159.617;6,046.112;19,739.354;46,762.718;70,531.332;84,888.488;106,797.523;106,492.109;124,476.414;144,388.732;164,182.243;186,314.299;202,476.984;225,621.513;246,596.917;270,209.682;295,106.762;328,960.329;371,028.072;395,402.924;430,617.098;453,016.688;464,994.929;471,873.980;488,701.371;503,826.704;518,063.163;546,066.473;577,805.243;599,832.840;583,534.975;663,903.036;773,931.486;861,811.534
Albania;Gross domestic product per capita, current prices;U.S. dollars;Units;683.777;412.878;262.841;458.009;744.787;914.747;1,021.986;715.032;826.340;1,049.947;1,142.468;1,298.508;1,444.665;1,851.405;2,399.347;2,705.592;3,008.122;3,637.835;4,422.573;4,163.049;4,146.598;4,492.726;4,299.472;4,468.147;4,639.481;4,000.659;4,173.486;4,596.819;5,350.646;5,459.304;5,381.096;6,432.353;6,906.842;8,504.966
Albania;Gross domestic product per capita, current prices;"Purchasing power parity; international dollars";Units;2,983.460;2,234.176;2,133.464;2,408.345;2,707.564;3,029.003;3,386.127;3,087.481;3,419.304;3,939.570;4,336.211;4,846.832;5,160.903;5,574.569;6,065.452;6,635.242;7,289.439;7,995.083;8,827.772;9,242.224;9,749.598;10,231.531;10,587.241;10,895.268;11,305.117;11,697.220;12,219.337;12,922.976;13,658.785;14,792.265;14,512.054;16,354.606;18,590.915;20,220.324
Albania;Output gap in percent of potential GDP;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Gross domestic product based on purchasing-power-parity (PPP) share of world total;Percent;Units;0.036;0.025;0.021;0.023;0.024;0.025;0.027;0.023;0.024;0.026;0.027;0.028;0.029;0.029;0.029;0.030;0.030;0.030;0.031;0.033;0.032;0.032;0.031;0.031;0.030;0.030;0.030;0.030;0.030;0.030;0.030;0.029;0.030;0.030
Albania;Implied PPP conversion rate;National currency per current international dollar;Units;2.065;2.706;9.252;19.417;26.050;28.025;31.540;34.492;36.404;36.651;37.863;38.440;39.233;40.473;40.656;40.723;40.484;41.145;42.030;42.782;44.168;44.277;43.920;43.310;43.228;43.072;42.397;42.255;42.303;40.550;40.210;40.594;41.630;42.621
Albania;Total investment;Percent of GDP;Units;54.959;10.486;8.202;20.820;28.233;28.391;20.346;18.766;21.970;22.197;34.086;38.781;38.976;37.607;38.121;40.776;39.635;38.221;36.868;36.001;34.203;36.430;32.505;30.152;29.732;28.723;27.960;27.194;26.566;26.111;27.080;29.697;27.740;23.688
Albania;Gross national savings;Percent of GDP;Units;40.533;-7.932;9.315;23.113;21.576;21.228;15.881;10.080;16.044;17.594;23.488;28.365;24.762;25.848;28.025;27.457;29.242;23.557;17.363;16.458;19.788;20.016;19.443;16.629;13.204;15.619;16.599;16.884;16.908;17.123;16.583;19.561;19.838;22.853
Albania;Inflation, average consumer prices;Index;Units;3.385;4.594;14.976;27.706;33.958;36.605;41.266;54.953;66.298;66.556;66.582;68.660;72.231;73.938;76.058;77.855;79.700;82.059;84.775;86.667;89.800;92.892;94.783;96.608;98.167;100.000;101.287;103.297;105.393;106.880;108.613;110.831;118.286;123.927
Albania;Inflation, average consumer prices;Percent change;Units;-0.180;35.717;225.996;85.005;22.565;7.794;12.734;33.167;20.646;0.389;0.039;3.120;5.202;2.363;2.867;2.363;2.370;2.960;3.310;2.231;3.615;3.443;2.036;1.925;1.613;1.868;1.287;1.985;2.029;1.411;1.621;2.043;6.726;4.769
Albania;Inflation, end of period consumer prices;Index;Units;3.391;6.919;23.289;30.495;35.318;37.443;43.959;62.453;67.878;67.179;70.004;72.474;73.692;76.123;77.800;79.385;81.380;83.843;85.700;88.700;91.800;93.400;95.700;97.400;98.100;100.000;102.165;104.011;105.882;107.100;108.225;112.229;120.563;125.325
Albania;Inflation, end of period consumer prices;Percent change;Units;0.000;104.047;236.580;30.941;15.818;6.015;17.402;42.073;8.686;-1.029;4.205;3.527;1.681;3.298;2.204;2.038;2.513;3.027;2.215;3.501;3.495;1.743;2.463;1.776;0.719;1.937;2.165;1.808;1.799;1.150;1.051;3.700;7.425;3.950
Albania;Volume of imports of goods and services;Percent change;Units;0.000;0.000;0.000;0.000;0.000;0.000;--;-9.901;28.907;38.743;-3.432;23.272;11.868;8.409;10.704;8.434;5.360;18.950;3.567;-2.225;-9.360;3.639;-7.604;-0.612;5.418;0.070;8.264;6.032;5.766;4.719;-19.547;23.655;11.680;10.622
Albania;Volume of Imports of goods;Percent change;Units;0.000;0.000;--;0.000;0.000;0.000;--;-10.186;31.411;30.279;-14.300;33.181;6.066;7.733;21.067;9.912;7.134;21.240;-0.650;-2.590;-11.014;3.808;-5.195;-1.306;6.113;2.159;9.381;4.390;4.234;3.459;-5.092;18.143;4.052;2.486
Albania;Volume of exports of goods and services;Percent change;Units;0.000;0.000;0.000;0.000;0.000;0.000;--;-19.051;24.363;88.951;16.254;23.900;3.878;9.510;20.630;6.026;12.578;17.000;-7.623;3.321;10.451;1.013;-0.407;8.288;3.199;5.908;10.388;10.113;3.523;1.651;-27.441;41.449;25.262;24.085
Albania;Volume of exports of goods;Percent change;Units;0.000;0.000;0.000;0.000;0.000;0.000;--;-13.472;33.237;25.413;-7.088;23.048;8.253;25.150;24.013;2.948;5.279;19.999;-54.982;-15.604;60.692;12.221;23.237;26.686;-6.564;6.572;-0.129;-1.377;14.145;-8.415;-1.946;18.816;20.158;2.821
Albania;Unemployment rate;Percent of total labor force;Units;8.457;8.900;26.500;22.300;18.400;12.900;12.300;14.900;17.700;18.400;16.800;16.440;15.751;15.000;14.400;14.100;13.800;13.400;13.100;13.800;14.000;14.000;13.400;15.900;17.500;17.100;15.200;13.700;12.300;11.470;11.675;11.500;10.800;9.500
Albania;Employment;Persons;Millions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Population;Persons;Millions;3.287;3.267;3.247;3.227;3.208;3.188;3.168;3.148;3.129;3.109;3.089;3.060;3.051;3.040;3.027;3.011;2.993;2.970;2.947;2.928;2.913;2.905;2.900;2.895;2.889;2.881;2.876;2.873;2.866;2.854;2.838;2.812;2.778;2.750
Albania;General government revenue;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;60.956;103.238;125.387;130.642;145.639;154.595;167.224;184.355;204.533;226.283;252.291;290.078;298.487;320.653;330.449;330.384;323.709;366.569;379.231;407.021;430.397;449.389;460.349;425.906;510.951;572.790;643.678
Albania;General government revenue;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;18.181;26.510;27.934;25.759;25.544;25.025;24.384;24.698;25.135;25.623;25.823;26.527;25.786;25.562;25.108;24.497;23.696;25.963;26.129;27.317;27.430;27.134;26.889;25.719;27.372;26.645;27.160
Albania;General government total expenditure;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;100.391;141.437;164.607;169.596;184.163;192.517;201.152;222.439;232.339;254.762;282.987;342.860;373.832;364.290;376.183;376.241;394.117;442.718;441.161;429.073;452.193;475.910;493.241;536.280;596.279;651.015;674.857
Albania;General government total expenditure;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;29.944;36.319;36.671;33.440;32.301;31.164;29.331;29.800;28.552;28.848;28.964;31.353;32.295;29.041;28.583;27.897;28.849;31.356;30.396;28.797;28.819;28.735;28.810;32.384;31.943;30.283;28.476
Albania;General government net lending/borrowing;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-39.434;-38.198;-39.220;-38.954;-38.524;-37.922;-33.928;-38.083;-27.806;-28.479;-30.695;-52.782;-75.345;-43.637;-45.734;-45.857;-70.408;-76.149;-61.931;-22.052;-21.795;-26.521;-32.892;-110.374;-85.328;-78.226;-31.180
Albania;General government net lending/borrowing;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-11.762;-9.809;-8.737;-7.681;-6.757;-6.139;-4.947;-5.102;-3.417;-3.225;-3.142;-4.827;-6.509;-3.479;-3.475;-3.400;-5.154;-5.393;-4.267;-1.480;-1.389;-1.601;-1.921;-6.665;-4.571;-3.639;-1.316
Albania;General government structural balance;National currency;Billions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;General government structural balance;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;General government primary net lending/borrowing;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-21.284;-3.320;-5.006;-9.381;-14.904;-13.159;-4.105;-9.660;-1.777;-3.474;-5.166;-21.476;-39.044;-2.033;-4.611;-4.359;-27.073;-36.074;-23.288;14.207;10.109;9.993;2.251;-75.980;-49.507;-38.602;16.411
Albania;General government primary net lending/borrowing;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-6.348;-0.853;-1.115;-1.850;-2.614;-2.130;-0.599;-1.294;-0.218;-0.393;-0.529;-1.964;-3.373;-0.162;-0.350;-0.323;-1.982;-2.555;-1.605;0.954;0.644;0.603;0.131;-4.588;-2.652;-1.796;0.692
Albania;General government net debt;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;756.420;807.380;921.361;914.430;986.827;1,028.471;1,015.754;1,005.074;1,022.488;1,148.522;1,230.747;1,263.559;1,205.782
Albania;General government net debt;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;57.474;59.865;67.444;64.766;67.993;69.025;64.735;60.685;59.723;69.356;65.933;58.777;50.879
Albania;General government gross debt;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;239.197;273.949;302.454;319.608;341.522;391.308;408.300;423.962;468.050;494.737;517.043;595.883;682.547;715.517;772.735;828.268;950.316;1,004.512;1,057.318;1,079.687;1,114.833;1,137.070;1,139.796;1,248.296;1,396.171;1,401.586;1,383.190
Albania;General government gross debt;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;71.345;70.347;67.381;63.019;59.900;63.343;59.536;56.798;57.519;56.021;52.921;54.491;58.965;57.041;58.714;61.414;69.563;71.146;72.849;72.462;71.049;68.655;66.575;75.381;74.795;65.198;58.365
