"country","spending","spending_text","text","lat","lng","continent","graph_group","color_graph","country_id","graph_text"
"Kazakhstan",4e+09,"4 Billion","Country: Kazakhstan
Military Sepnding: 4 Billion",48,68,"Asia","Rest of The World","#bebebe",52,""
"Bangladesh",3.8e+09,"3.8 Billion","Country: Bangladesh
Military Sepnding: 3.8 Billion",24,90,"Asia","Rest of The World","#bebebe",53,""
"Finland",3.57e+09,"3.57 Billion","Country: Finland
Military Sepnding: 3.57 Billion",64,26,"Europe","Rest of The World","#bebebe",54,""
"Philippines",3.47e+09,"3.47 Billion","Country: Philippines
Military Sepnding: 3.47 Billion",13,122,"Asia","Rest of The World","#bebebe",55,""
"Austria",3.38e+09,"3.38 Billion","Country: Austria
Military Sepnding: 3.38 Billion",47.33,13.33,"Europe","Rest of The World","#bebebe",56,""
"Portugal",3.358e+09,"3.358 Billion","Country: Portugal
Military Sepnding: 3.358 Billion",39.5,-8,"Europe","Rest of The World","#bebebe",57,""
"Libya",3e+09,"3 Billion","Country: Libya
Military Sepnding: 3 Billion",25,17,"Africa","Rest of The World","#bebebe",58,""
"Czech Republic",2.969e+09,"2.969 Billion","Country: Czech Republic
Military Sepnding: 2.969 Billion",49.75,15.5,"Europe","Rest of The World","#bebebe",59,""
"Azerbaijan",2.805e+09,"2.805 Billion","Country: Azerbaijan
Military Sepnding: 2.805 Billion",40.5,47.5,"Europe","Rest of The World","#bebebe",60,""
"Jordan",2.6e+09,"2.6 Billion","Country: Jordan
Military Sepnding: 2.6 Billion",31,36,"Asia","Rest of The World","#bebebe",62,""
"Peru",2.56e+09,"2.56 Billion","Country: Peru
Military Sepnding: 2.56 Billion",-10,-76,"South America","Rest of The World","#bebebe",63,""
"Sri Lanka",2.5e+09,"2.5 Billion","Country: Sri Lanka
Military Sepnding: 2.5 Billion",7,81,"Asia","Rest of The World","#bebebe",64,""
"Ecuador",2.5e+09,"2.5 Billion","Country: Ecuador
Military Sepnding: 2.5 Billion",-2,-77.5,"South America","Rest of The World","#bebebe",65,""
"Lebanon",2.5e+09,"2.5 Billion","Country: Lebanon
Military Sepnding: 2.5 Billion",33.83,35.83,"Asia","Rest of The World","#bebebe",66,""
"Sudan",2.47e+09,"2.47 Billion","Country: Sudan
Military Sepnding: 2.47 Billion",15,30,"Africa","Rest of The World","#bebebe",67,""
"Nigeria",2.155e+09,"2.155 Billion","Country: Nigeria
Military Sepnding: 2.155 Billion",10,8,"Africa","Rest of The World","#bebebe",68,""
"Slovakia",2.122e+09,"2.122 Billion","Country: Slovakia
Military Sepnding: 2.122 Billion",48.67,19.5,"Europe","Rest of The World","#bebebe",69,""
"Hungary",2.08e+09,"2.08 Billion","Country: Hungary
Military Sepnding: 2.08 Billion",47,20,"Europe","Rest of The World","#bebebe",70,""
"Iraq",1.73e+09,"1.73 Billion","Country: Iraq
Military Sepnding: 1.73 Billion",33,44,"Asia","Rest of The World","#bebebe",72,""
"Tajikistan",1.6e+09,"1.6 Billion","Country: Tajikistan
Military Sepnding: 1.6 Billion",39,71,"Asia","Rest of The World","#bebebe",74,""
"Bahrain",1.415e+09,"1.415 Billion","Country: Bahrain
Military Sepnding: 1.415 Billion",26,50.55,"Asia","Rest of The World","#bebebe",75,""
"Yemen",1.4e+09,"1.4 Billion","Country: Yemen
Military Sepnding: 1.4 Billion",15,48,"Asia","Rest of The World","#bebebe",76,""
"Armenia",1.385e+09,"1.385 Billion","Country: Armenia
Military Sepnding: 1.385 Billion",40,45,"Europe","Rest of The World","#bebebe",77,""
"Lithuania",1.107e+09,"1.107 Billion","Country: Lithuania
Military Sepnding: 1.107 Billion",56,24,"Europe","Rest of The World","#bebebe",78,""
"Bulgaria",1.079e+09,"1.079 Billion","Country: Bulgaria
Military Sepnding: 1.079 Billion",43,25,"Europe","Rest of The World","#bebebe",79,""
"Uzbekistan",9.75e+08,"0.975 Billion","Country: Uzbekistan
Military Sepnding: 0.975 Billion",41,64,"Asia","Rest of The World","#bebebe",80,""
"Uganda",9.35e+08,"0.935 Billion","Country: Uganda
Military Sepnding: 0.935 Billion",1,32,"Africa","Rest of The World","#bebebe",81,""
"Serbia",9.07e+08,"0.907 Billion","Country: Serbia
Military Sepnding: 0.907 Billion",44,21,"Europe","Rest of The World","#bebebe",82,""
"Ireland",8.7e+08,"0.87 Billion","Country: Ireland
Military Sepnding: 0.87 Billion",53,-8,"Europe","Rest of The World","#bebebe",83,""
"Croatia",8e+08,"0.8 Billion","Country: Croatia
Military Sepnding: 0.8 Billion",45.17,15.5,"Europe","Rest of The World","#bebebe",84,""
"Dominican Republic",7.6e+08,"0.76 Billion","Country: Dominican Republic
Military Sepnding: 0.76 Billion",19,-70.67,"North America","Rest of The World","#bebebe",85,""
"Venezuela",7.45e+08,"0.745 Billion","Country: Venezuela
Military Sepnding: 0.745 Billion",8,-66,"South America","Rest of The World","#bebebe",86,""
"Latvia",7.24e+08,"0.724 Billion","Country: Latvia
Military Sepnding: 0.724 Billion",57,25,"Europe","Rest of The World","#bebebe",87,""
"Republic of the Congo",7.15e+08,"0.715 Billion","Country: Republic of the Congo
Military Sepnding: 0.715 Billion",0,25,"Africa","Rest of The World","#bebebe",88,""
"Ghana",7.1e+08,"0.71 Billion","Country: Ghana
Military Sepnding: 0.71 Billion",8,-2,"Africa","Rest of The World","#bebebe",89,""
"Estonia",6.85e+08,"0.685 Billion","Country: Estonia
Military Sepnding: 0.685 Billion",59,26,"Europe","Rest of The World","#bebebe",90,""
"Bolivia",6.6e+08,"0.66 Billion","Country: Bolivia
Military Sepnding: 0.66 Billion",-17,-65,"South America","Rest of The World","#bebebe",91,""
"Cambodia",6.04e+08,"0.604 Billion","Country: Cambodia
Military Sepnding: 0.604 Billion",13,105,"Asia","Rest of The World","#bebebe",92,""
"Slovenia",5.81e+08,"0.581 Billion","Country: Slovenia
Military Sepnding: 0.581 Billion",46,15,"Europe","Rest of The World","#bebebe",93,""
"Tunisia",5.5e+08,"0.55 Billion","Country: Tunisia
Military Sepnding: 0.55 Billion",34,9,"Africa","Rest of The World","#bebebe",95,""
"Namibia",5.05e+08,"0.505 Billion","Country: Namibia
Military Sepnding: 0.505 Billion",-22,17,"Africa","Rest of The World","#bebebe",96,""
"Cuba",5e+08,"0.5 Billion","Country: Cuba
Military Sepnding: 0.5 Billion",21.5,-80,"North America","Rest of The World","#bebebe",97,""
"Panama",5e+08,"0.5 Billion","Country: Panama
Military Sepnding: 0.5 Billion",9,-80,"North America","Rest of The World","#bebebe",98,""
"Botswana",4.5e+08,"0.45 Billion","Country: Botswana
Military Sepnding: 0.45 Billion",-22,24,"Africa","Rest of The World","#bebebe",99,""
"Ethiopia",3.5e+08,"0.35 Billion","Country: Ethiopia
Military Sepnding: 0.35 Billion",8,38,"Africa","Rest of The World","#bebebe",100,""
"Cameroon",3.47e+08,"0.347 Billion","Country: Cameroon
Military Sepnding: 0.347 Billion",6,12,"Africa","Rest of The World","#bebebe",101,""
"Georgia",3.27e+08,"0.327 Billion","Country: Georgia
Military Sepnding: 0.327 Billion",42,43.5,"Europe","Rest of The World","#bebebe",102,""
"Paraguay",2.5e+08,"0.25 Billion","Country: Paraguay
Military Sepnding: 0.25 Billion",-23,-58,"South America","Rest of The World","#bebebe",103,""
"Albania",2.5e+08,"0.25 Billion","Country: Albania
Military Sepnding: 0.25 Billion",41,20,"Europe","Rest of The World","#bebebe",104,""
"Mozambique",2.45e+08,"0.245 Billion","Country: Mozambique
Military Sepnding: 0.245 Billion",-18.25,35,"Africa","Rest of The World","#bebebe",105,""
"Guatemala",2.4e+08,"0.24 Billion","Country: Guatemala
Military Sepnding: 0.24 Billion",15.5,-90.25,"North America","Rest of The World","#bebebe",106,""
"Nepal",2.13e+08,"0.213 Billion","Country: Nepal
Military Sepnding: 0.213 Billion",28,84,"Asia","Rest of The World","#bebebe",108,""
"Honduras",2.05e+08,"0.205 Billion","Country: Honduras
Military Sepnding: 0.205 Billion",15,-86.5,"North America","Rest of The World","#bebebe",109,""
"Chad",2e+08,"0.2 Billion","Country: Chad
Military Sepnding: 0.2 Billion",15,19,"Africa","Rest of The World","#bebebe",110,""
"Turkmenistan",2e+08,"0.2 Billion","Country: Turkmenistan
Military Sepnding: 0.2 Billion",40,60,"Asia","Rest of The World","#bebebe",111,""
"El Salvador",1.67e+08,"0.167 Billion","Country: El Salvador
Military Sepnding: 0.167 Billion",13.83,-88.92,"North America","Rest of The World","#bebebe",112,""
"Bosnia and Herzegovina",1.65e+08,"0.165 Billion","Country: Bosnia and Herzegovina
Military Sepnding: 0.165 Billion",44,18,"Europe","Rest of The World","#bebebe",113,""
"Mongolia",1.55e+08,"0.155 Billion","Country: Mongolia
Military Sepnding: 0.155 Billion",46,105,"Asia","Rest of The World","#bebebe",114,""
"Nicaragua",1.4e+08,"0.14 Billion","Country: Nicaragua
Military Sepnding: 0.14 Billion",13,-85,"North America","Rest of The World","#bebebe",115,""
"Kenya",1.21e+08,"0.121 Billion","Country: Kenya
Military Sepnding: 0.121 Billion",1,38,"Africa","Rest of The World","#bebebe",117,""
"Madagascar",1.15e+08,"0.115 Billion","Country: Madagascar
Military Sepnding: 0.115 Billion",-20,47,"Africa","Rest of The World","#bebebe",118,""
"Zimbabwe",1e+08,"0.1 Billion","Country: Zimbabwe
Military Sepnding: 0.1 Billion",-20,30,"Africa","Rest of The World","#bebebe",121,""
"Gabon",8.3e+07,"0.083 Billion","Country: Gabon
Military Sepnding: 0.083 Billion",-1,11.75,"Africa","Rest of The World","#bebebe",122,""
"Sierra Leone",75500000,"0.0755 Billion","Country: Sierra Leone
Military Sepnding: 0.0755 Billion",8.5,-11.5,"Africa","Rest of The World","#bebebe",124,""
"Mali",7e+07,"0.07 Billion","Country: Mali
Military Sepnding: 0.07 Billion",17,-4,"Africa","Rest of The World","#bebebe",125,""
"Montenegro",6.5e+07,"0.065 Billion","Country: Montenegro
Military Sepnding: 0.065 Billion",42,19,"Europe","Rest of The World","#bebebe",126,""
"Suriname",6.3e+07,"0.063 Billion","Country: Suriname
Military Sepnding: 0.063 Billion",4,-56,"South America","Rest of The World","#bebebe",127,""
"Somalia",62200000,"0.0622 Billion","Country: Somalia
Military Sepnding: 0.0622 Billion",10,49,"Africa","Rest of The World","#bebebe",128,""
"Mauritania",50250000,"0.05025 Billion","Country: Mauritania
Military Sepnding: 0.05025 Billion",20,-12,"Africa","Rest of The World","#bebebe",129,""
"Zambia",4e+07,"0.04 Billion","Country: Zambia
Military Sepnding: 0.04 Billion",-15,30,"Africa","Rest of The World","#bebebe",130,""
"Bhutan",25120000,"0.02512 Billion","Country: Bhutan
Military Sepnding: 0.02512 Billion",27.5,90.5,"Asia","Rest of The World","#bebebe",132,""
"Kyrgyzstan",2e+07,"0.02 Billion","Country: Kyrgyzstan
Military Sepnding: 0.02 Billion",41,75,"Asia","Rest of The World","#bebebe",133,""
"Central African Republic",2e+07,"0.02 Billion","Country: Central African Republic
Military Sepnding: 0.02 Billion",7,21,"Africa","Rest of The World","#bebebe",134,""
"Liberia",1.3e+07,"0.013 Billion","Country: Liberia
Military Sepnding: 0.013 Billion",6.5,-9.5,"Africa","Rest of The World","#bebebe",136,""
"Belarus",623.7,"6.237e-07 Billion","Country: Belarus
Military Sepnding: 6.237e-07 Billion",53,28,"Europe","Rest of The World","#bebebe",137,""
