Entity,Code,Year,age-standardized_death_rate_per_100k_male,age-standardized_death_rate_per_100k_female
Australia,AUS,1985,53.78,12.65
Australia,AUS,1986,51.02,13.17
Australia,AUS,1987,51.36,12.54
Australia,AUS,1988,51.19,14.1
Australia,AUS,1989,51.27,14.49
Australia,AUS,1990,47.27,14.06
Australia,AUS,1991,46.67,15.03
Australia,AUS,1992,46.68,14.37
Australia,AUS,1993,44.42,14.97
Australia,AUS,1994,46.23,15.3
Australia,AUS,1995,43.14,15.36
Australia,AUS,1996,42.99,15.54
Australia,AUS,1997,40.69,15.43
Australia,AUS,1998,40.3,14.88
Australia,AUS,1999,38.52,14.9
Australia,AUS,2000,36.98,15.79
Australia,AUS,2001,36.33,15.88
Australia,AUS,2002,35.51,16.34
Australia,AUS,2003,33,15.52
Australia,AUS,2004,33.92,15.49
Australia,AUS,2006,32.46,16.22
Australia,AUS,2007,30.96,16.6
Australia,AUS,2008,31.88,16.12
Australia,AUS,2009,29.32,16.36
Australia,AUS,2010,29.39,16.61
Australia,AUS,2011,28.99,16.36
Australia,AUS,2012,27.54,16.27
Australia,AUS,2013,27.29,15.64
Australia,AUS,2014,26.27,15.72
Australia,AUS,2015,25.8,16.26
Australia,AUS,2016,25.02,15.31
Australia,AUS,2017,23.71,14.56
Australia,AUS,2018,23.6,15.24
Australia,AUS,2019,23.59,14.89
Australia,AUS,2020,20.89,14.51
Austria,AUT,1955,46.24,5.64
Austria,AUT,1956,49.07,6.92
Austria,AUT,1957,50.89,6.96
Austria,AUT,1958,51.36,7.22
Austria,AUT,1959,51.19,7.06
Austria,AUT,1960,53.61,5.97
Austria,AUT,1961,55.34,6.39
Austria,AUT,1962,53.28,6.9
Austria,AUT,1963,56.35,6.75
Austria,AUT,1964,53.35,6.49
Austria,AUT,1965,57.35,6.58
Austria,AUT,1966,56.58,7
Austria,AUT,1967,56.44,6.92
Austria,AUT,1968,58.89,7.27
Austria,AUT,1969,57.28,7.12
Austria,AUT,1970,56.04,6.51
Austria,AUT,1971,56.14,7.42
Austria,AUT,1972,57.6,7.17
Austria,AUT,1973,58.76,7.41
Austria,AUT,1974,57.33,7.93
Austria,AUT,1975,57.71,7.65
Austria,AUT,1976,57.28,7.43
Austria,AUT,1977,57.9,7.67
Austria,AUT,1978,56.27,8.01
Austria,AUT,1979,58.39,8.08
Austria,AUT,1980,57.32,8.35
Austria,AUT,1981,55.77,8.42
Austria,AUT,1982,54.28,9.3
Austria,AUT,1983,55.5,8.97
Austria,AUT,1984,57.49,10.1
Austria,AUT,1985,54.35,9.18
Austria,AUT,1986,53.53,9.14
Austria,AUT,1987,53.12,10.23
Austria,AUT,1988,52.29,10.71
Austria,AUT,1989,52.14,9.75
Austria,AUT,1990,51.95,9.98
Austria,AUT,1991,52.22,10.97
Austria,AUT,1992,49.73,10.62
Austria,AUT,1993,51.76,10.97
Austria,AUT,1994,47.64,11.68
Austria,AUT,1995,46.88,11.02
Austria,AUT,1996,47.1,11.75
Austria,AUT,1997,45.47,12.35
Austria,AUT,1998,46.04,12.28
Austria,AUT,1999,43.22,12.47
Austria,AUT,2000,42.13,13.1
Austria,AUT,2001,40.82,12.12
Austria,AUT,2002,42.02,13.41
Austria,AUT,2003,40.04,12.74
Austria,AUT,2004,39.06,13.67
Austria,AUT,2005,38.21,12.95
Austria,AUT,2006,37.83,13.1
Austria,AUT,2007,35.41,14.74
Austria,AUT,2008,36.83,14.75
Austria,AUT,2009,35.96,14.43
Austria,AUT,2010,35.25,14.98
Austria,AUT,2011,33.43,15.37
Austria,AUT,2012,32.92,15.82
Austria,AUT,2013,33.11,14.87
Austria,AUT,2014,32.69,16.63
Austria,AUT,2015,31.2,16.54
Austria,AUT,2016,30.9,16.86
Austria,AUT,2017,29.96,15.82
Austria,AUT,2018,30.36,16.31
Austria,AUT,2019,27.79,17
Austria,AUT,2020,28.04,16.04
Azerbaijan,AZE,1981,38.43,4.92
Azerbaijan,AZE,1982,37.75,5.95
Azerbaijan,AZE,1985,35.13,4.94
Azerbaijan,AZE,1986,39.75,5.38
Azerbaijan,AZE,1987,40.46,6.11
Azerbaijan,AZE,1988,37.46,5.9
Azerbaijan,AZE,1989,35.06,5.22
Azerbaijan,AZE,1990,28.79,4.76
Azerbaijan,AZE,1991,30.37,5.14
Azerbaijan,AZE,1992,30.84,5.19
Azerbaijan,AZE,1993,28.03,4.59
Azerbaijan,AZE,1994,24.07,4.81
Azerbaijan,AZE,1995,23.15,3.42
Azerbaijan,AZE,1996,24.36,3.88
Azerbaijan,AZE,1997,25.39,4.2
Azerbaijan,AZE,1998,22.37,3.74
Azerbaijan,AZE,1999,24.77,4.34
Azerbaijan,AZE,2000,21.9,4.21
Azerbaijan,AZE,2001,22.95,4.39
Azerbaijan,AZE,2002,23.17,5.11
Azerbaijan,AZE,2003,25.56,4.89
Azerbaijan,AZE,2004,23.82,5
Azerbaijan,AZE,2007,13.08,2.98
Bahamas,BHS,1972,16.96,6.56
Bahamas,BHS,1975,8.59,11.62
Bahamas,BHS,1979,14.1,4.33
Bahamas,BHS,1980,34.89,0.69
Bahamas,BHS,1981,25.4,1.16
Bahamas,BHS,1984,34.66,9.27
Bahamas,BHS,1985,23.95,10.98
Bahamas,BHS,1987,27.24,14.63
Bahamas,BHS,1993,17.08,5.26
Bahamas,BHS,1994,25.21,4.84
Bahamas,BHS,1995,28.17,7.08
Bahamas,BHS,1996,21.66,5.33
Bahamas,BHS,1997,20.92,3.96
Bahamas,BHS,1998,18.77,5.82
Bahamas,BHS,1999,16.23,7.08
Bahamas,BHS,2000,14.97,7.75
Bahamas,BHS,2001,12.52,5.42
Bahamas,BHS,2002,20.33,1.54
Bahamas,BHS,2003,25.6,6.2
Bahamas,BHS,2004,12.49,1.59
Bahamas,BHS,2005,18.27,6.37
Bahamas,BHS,2006,14.84,5.03
Bahamas,BHS,2007,16.27,4.03
Bahamas,BHS,2008,18.42,4.7
Bahamas,BHS,2009,15.99,7.52
Bahamas,BHS,2010,17.98,7.94
Bahamas,BHS,2011,19.75,5.58
Bahamas,BHS,2012,12.49,4.65
Bahamas,BHS,2013,10.23,5.69
Bahamas,BHS,2014,9.24,3.96
Bahamas,BHS,2015,12.23,4.88
Bahrain,BHR,1985,49.25,17.34
Bahrain,BHR,1987,45.38,11.38
Bahrain,BHR,1988,38.01,14.44
Bahrain,BHR,1997,34.83,5.83
Bahrain,BHR,1998,37.44,13.53
Bahrain,BHR,1999,29.7,10.63
Bahrain,BHR,2000,25.54,12.23
Bahrain,BHR,2001,36.16,7.42
Bahrain,BHR,2002,40.45,6.39
Bahrain,BHR,2003,28.51,12.17
Bahrain,BHR,2004,27.12,10.28
Bahrain,BHR,2005,15.2,10.07
Bahrain,BHR,2006,16.8,7.77
Bahrain,BHR,2007,15.84,5.18
Bahrain,BHR,2008,15.55,10.76
Bahrain,BHR,2009,12.36,6.64
Bahrain,BHR,2010,16.68,6.6
Bahrain,BHR,2011,14.77,6.68
Bahrain,BHR,2012,13.47,4
Bahrain,BHR,2013,9.79,5.54
Bahrain,BHR,2014,7.68,1.22
Barbados,BRB,1960,9.89,3.2
Barbados,BRB,1961,15.06,4.98
Barbados,BRB,1962,8.6,5.36
Barbados,BRB,1963,10.45,6.26
Barbados,BRB,1964,10.53,3.56
Barbados,BRB,1966,9.01,0
Barbados,BRB,1967,13.71,2.02
Barbados,BRB,1968,8.09,2.63
Barbados,BRB,1969,9.39,5.6
Barbados,BRB,1970,10.61,2.76
Barbados,BRB,1971,14.75,1.38
Barbados,BRB,1972,7.27,0.62
Barbados,BRB,1973,11.58,3.16
Barbados,BRB,1974,16.38,2.56
Barbados,BRB,1975,16.66,6.37
Barbados,BRB,1976,12.96,4.11
Barbados,BRB,1977,11.42,3.64
Barbados,BRB,1978,22.03,4.31
Barbados,BRB,1979,8.49,4.9
Barbados,BRB,1980,17.86,3.88
Barbados,BRB,1981,22.73,4.28
Barbados,BRB,1982,14.48,5.32
Barbados,BRB,1983,15.79,4.05
Barbados,BRB,1984,18.74,1.91
Barbados,BRB,1985,13.83,5.49
Barbados,BRB,1986,18.21,3.39
Barbados,BRB,1987,14.95,5.01
Barbados,BRB,1988,15.95,3.25
Barbados,BRB,1989,15.76,3.76
Barbados,BRB,1990,16.84,1.97
Barbados,BRB,1991,12.63,5.39
Barbados,BRB,1992,16.67,6.23
Barbados,BRB,1993,20.56,3.93
Barbados,BRB,1994,13.27,2.24
Barbados,BRB,1995,13.1,4.11
Barbados,BRB,2000,9.71,2.56
Barbados,BRB,2001,6.88,1.46
Barbados,BRB,2002,7.16,4.94
Barbados,BRB,2003,11.6,3.37
Barbados,BRB,2004,9.7,2.02
Barbados,BRB,2005,9.14,5.05
Barbados,BRB,2006,8.17,0.81
Barbados,BRB,2007,7.53,2.11
Barbados,BRB,2008,8.91,1.9
Barbados,BRB,2009,9.08,4.97
Barbados,BRB,2010,7.84,5.52
Barbados,BRB,2011,6.99,6.56
Barbados,BRB,2012,11.81,4.25
Barbados,BRB,2013,7.95,4.06
Belarus,BLR,1981,40.29,4.25
Belarus,BLR,1982,43.21,4.18
Belarus,BLR,1985,51.48,4.79
Belarus,BLR,1986,52.51,4.76
Belarus,BLR,1987,55.21,5.61
Belarus,BLR,1988,56.4,4.96
Belarus,BLR,1989,61.17,5.19
Belarus,BLR,1990,60.75,5.08
Belarus,BLR,1991,61.36,5.74
Belarus,BLR,1992,64.75,5.62
Belarus,BLR,1993,65.86,5.49
Belarus,BLR,1994,65.5,4.87
Belarus,BLR,1995,66.92,4.9
Belarus,BLR,1996,64.29,4.64
Belarus,BLR,1997,65.49,5.08
Belarus,BLR,1998,64.05,4.7
Belarus,BLR,1999,62.52,4.13
Belarus,BLR,2000,60.77,4.33
Belarus,BLR,2001,60.32,4.23
Belarus,BLR,2002,59.8,4.23
Belarus,BLR,2003,59.06,4.01
Belarus,BLR,2007,52.7,3.96
Belarus,BLR,2008,52.93,3.97
Belarus,BLR,2009,51.23,3.82
Belarus,BLR,2010,51.76,4.16
Belarus,BLR,2011,49.76,3.91
Belarus,BLR,2013,43.5,3.62
Belarus,BLR,2014,43.77,3.52
Belarus,BLR,2018,44.52,3.79
Belgium,BEL,1954,28.55,3.97
Belgium,BEL,1955,29.37,4.19
Belgium,BEL,1956,32.48,3.54
Belgium,BEL,1957,33.26,4.2
Belgium,BEL,1958,34.48,4.28
Belgium,BEL,1959,36.56,4.04
Belgium,BEL,1960,41.16,4.28
Belgium,BEL,1961,43.57,4.71
Belgium,BEL,1962,45.63,5.03
Belgium,BEL,1963,48.19,4.69
Belgium,BEL,1964,49.9,5.22
Belgium,BEL,1965,54.72,5.01
Belgium,BEL,1966,54.65,4.6
Belgium,BEL,1967,57.11,5.38
Belgium,BEL,1968,59.23,5.14
Belgium,BEL,1969,60.38,5.19
Belgium,BEL,1970,64.17,4.94
Belgium,BEL,1971,70.26,5.12
Belgium,BEL,1972,72.99,5.81
Belgium,BEL,1973,74.41,6.48
Belgium,BEL,1974,73.74,6.07
Belgium,BEL,1975,76.01,6.52
Belgium,BEL,1976,78.4,6.39
Belgium,BEL,1977,84.92,6.79
Belgium,BEL,1978,87.11,6.45
Belgium,BEL,1979,86.52,6.61
Belgium,BEL,1980,88.33,6.93
Belgium,BEL,1981,89.28,7.59
Belgium,BEL,1982,87.24,7.14
Belgium,BEL,1983,91.77,7.2
Belgium,BEL,1984,90.36,7.16
Belgium,BEL,1985,91.04,8.02
Belgium,BEL,1986,88,8.43
Belgium,BEL,1987,87.23,8.3
Belgium,BEL,1988,88.31,8.44
Belgium,BEL,1989,83,8.59
Belgium,BEL,1990,82.76,9.28
Belgium,BEL,1991,81.29,9.56
Belgium,BEL,1992,81.95,10.31
Belgium,BEL,1993,82.04,10.23
Belgium,BEL,1994,79.18,10.76
Belgium,BEL,1995,80.54,10.82
Belgium,BEL,1996,75.47,10.63
Belgium,BEL,1997,77.31,11.7
Belgium,BEL,1998,70.76,11.17
Belgium,BEL,1999,66.63,11.03
Belgium,BEL,2000,65.85,11.91
Belgium,BEL,2001,65.66,11.63
Belgium,BEL,2002,63.01,12.03
Belgium,BEL,2003,60.73,12.63
Belgium,BEL,2004,57.91,13.04
Belgium,BEL,2005,59.55,14.28
Belgium,BEL,2006,57.85,14.73
Belgium,BEL,2007,55.74,14.82
Belgium,BEL,2008,55.97,15.51
Belgium,BEL,2009,53.9,15.14
Belgium,BEL,2010,53.78,16.69
Belgium,BEL,2011,51.6,17.52
Belgium,BEL,2012,47.67,16.22
Belgium,BEL,2013,46.68,17.37
Belgium,BEL,2014,45.87,17.17
Belgium,BEL,2015,42.41,17.23
Belgium,BEL,2016,41.58,16.77
Belgium,BEL,2017,37.24,15.61
Belgium,BEL,2018,36.08,15.87
Belize,BLZ,1964,10.81,10.17
Belize,BLZ,1965,7,12.53
Belize,BLZ,1966,13.05,10.28
Belize,BLZ,1967,0,0
Belize,BLZ,1968,9.25,0
Belize,BLZ,1969,11.84,2.55
Belize,BLZ,1970,9.15,0
Belize,BLZ,1971,0,2.67
Belize,BLZ,1972,13.62,5.69
Belize,BLZ,1973,5.35,8.62
Belize,BLZ,1974,0,0
Belize,BLZ,1975,2.69,2.69
Belize,BLZ,1976,5.08,0
Belize,BLZ,1977,7.29,2.21
Belize,BLZ,1978,11.29,0
Belize,BLZ,1979,1.68,0
Belize,BLZ,1980,0,2.67
Belize,BLZ,1982,14.85,5.92
Belize,BLZ,1983,5.98,2.69
Belize,BLZ,1984,26.7,5.52
Belize,BLZ,1986,6.66,3.26
Belize,BLZ,1987,13.87,2.13
Belize,BLZ,1989,11.24,1.81
Belize,BLZ,1990,10.56,5.3
Belize,BLZ,1991,4,0
Belize,BLZ,1993,16.71,4.02
Belize,BLZ,1994,11.49,5.41
Belize,BLZ,1995,19.41,0
Belize,BLZ,1996,17.3,3.83
Belize,BLZ,1997,19.86,5.24
Belize,BLZ,1998,21.33,1.77
Belize,BLZ,1999,25.51,1.89
Belize,BLZ,2000,15.78,8.08
Belize,BLZ,2001,20.51,4.74
Belize,BLZ,2002,32.32,8.02
Belize,BLZ,2003,17.74,3.16
Belize,BLZ,2004,15.59,3.16
Belize,BLZ,2005,28.64,9.03
Belize,BLZ,2006,17.88,14.11
Belize,BLZ,2007,19.45,7.15
Belize,BLZ,2008,16.49,8.73
Belize,BLZ,2009,10.83,7.34
Belize,BLZ,2010,10.39,7.58
Belize,BLZ,2011,20.5,3.07
Belize,BLZ,2012,11.16,5.02
Belize,BLZ,2013,12.99,3.4
Belize,BLZ,2014,12.17,2.98
Belize,BLZ,2015,15.23,7.83
Belize,BLZ,2016,13.88,2.94
Bosnia and Herzegovina,BIH,1985,58.31,10.09
Bosnia and Herzegovina,BIH,1986,55.42,9.85
Bosnia and Herzegovina,BIH,1987,57.44,10.73
Bosnia and Herzegovina,BIH,1988,62.94,8.58
Bosnia and Herzegovina,BIH,1989,64.9,8.72
Bosnia and Herzegovina,BIH,1990,61.3,8.28
Bosnia and Herzegovina,BIH,1991,64.49,10.33
Bosnia and Herzegovina,BIH,2011,53.74,10.69
Bosnia and Herzegovina,BIH,2014,50.32,11.04
Bosnia and Herzegovina,BIH,2016,50.49,13.4
Bosnia and Herzegovina,BIH,2017,48.07,13.44
Bosnia and Herzegovina,BIH,2018,49.58,12.31
Bosnia and Herzegovina,BIH,2019,49.13,14.39
Bosnia and Herzegovina,BIH,2020,45.76,12.09
Brazil,BRA,1979,14.12,4.09
Brazil,BRA,1980,15.14,4.4
Brazil,BRA,1981,15.39,4.26
Brazil,BRA,1982,16.32,4.51
Brazil,BRA,1983,16.15,4.53
Brazil,BRA,1984,16.33,4.61
Brazil,BRA,1985,16.49,4.83
Brazil,BRA,1986,17.35,4.66
Brazil,BRA,1987,18.42,5.41
Brazil,BRA,1988,19.16,5.57
Brazil,BRA,1989,18.93,5.34
Brazil,BRA,1990,19.06,5.58
Brazil,BRA,1991,18.97,5.82
Brazil,BRA,1992,19.28,5.92
Brazil,BRA,1993,18.98,5.75
Brazil,BRA,1994,19.33,6.09
Brazil,BRA,1995,19.29,6.22
Brazil,BRA,1996,18.98,6.24
Brazil,BRA,1997,19.38,6.51
Brazil,BRA,1998,19.01,6.44
Brazil,BRA,1999,18.83,6.73
Brazil,BRA,2000,19.04,6.95
Brazil,BRA,2001,18.88,6.95
Brazil,BRA,2002,18.77,6.89
Brazil,BRA,2003,18.66,7.3
Brazil,BRA,2004,19.16,7.52
Brazil,BRA,2005,19.06,7.63
Brazil,BRA,2006,18.52,7.98
Brazil,BRA,2007,18.9,8.22
Brazil,BRA,2008,18.66,8.41
Brazil,BRA,2009,18.26,8.42
Brazil,BRA,2010,18.19,8.57
Brazil,BRA,2011,17.54,8.78
Brazil,BRA,2012,17.6,8.95
Brazil,BRA,2013,17.62,9.04
Brazil,BRA,2014,17.34,9.28
Brazil,BRA,2015,17.18,9.52
Brazil,BRA,2016,17.03,9.44
Brazil,BRA,2017,16.56,9.51
Brazil,BRA,2018,16.19,9.59
Brazil,BRA,2019,15.65,9.34
Brunei,BRN,1996,29.84,15.04
Brunei,BRN,1997,18.48,23.15
Brunei,BRN,1998,32.1,19.85
Brunei,BRN,1999,22.51,28.73
Brunei,BRN,2000,36.3,33.86
Brunei,BRN,2001,29.66,29.51
Brunei,BRN,2002,33.95,36.02
Brunei,BRN,2003,35.97,16.02
Brunei,BRN,2004,32.5,24.44
Brunei,BRN,2005,48.47,19.68
Brunei,BRN,2006,25.63,19.69
Brunei,BRN,2007,36.56,26.03
Brunei,BRN,2008,36.02,22.31
Brunei,BRN,2009,23.53,15.3
Brunei,BRN,2010,27.53,18.38
Brunei,BRN,2011,28.86,19.53
Brunei,BRN,2012,22.98,19.72
Brunei,BRN,2013,32.01,25.7
Brunei,BRN,2014,31.64,23.07
Brunei,BRN,2015,21.23,20.33
Brunei,BRN,2016,25.33,13.87
Brunei,BRN,2017,25.02,14.51
Brunei,BRN,2018,15.9,16.39
Brunei,BRN,2019,19.15,21.6
Bulgaria,BGR,1964,39.13,8.79
Bulgaria,BGR,1965,40.87,7.38
Bulgaria,BGR,1966,41.47,7.38
Bulgaria,BGR,1967,39.17,7.77
Bulgaria,BGR,1968,39.59,7.29
Bulgaria,BGR,1969,38.74,7.07
Bulgaria,BGR,1970,36.54,6.66
Bulgaria,BGR,1971,40.42,6.45
Bulgaria,BGR,1972,39.2,7.11
Bulgaria,BGR,1973,41.12,7.19
Bulgaria,BGR,1974,39.46,7.07
Bulgaria,BGR,1975,37.8,6.42
Bulgaria,BGR,1976,38.63,6.56
Bulgaria,BGR,1977,38.85,6.95
Bulgaria,BGR,1978,37.91,6.07
Bulgaria,BGR,1979,39.82,7.11
Bulgaria,BGR,1980,36.63,6.39
Bulgaria,BGR,1981,40.07,6.44
Bulgaria,BGR,1982,41.52,5.86
Bulgaria,BGR,1983,43.21,6.99
Bulgaria,BGR,1984,43.23,7.5
Bulgaria,BGR,1985,41.39,7.61
Bulgaria,BGR,1986,42.9,7.12
Bulgaria,BGR,1987,44.06,7.3
Bulgaria,BGR,1988,43.14,6.95
Bulgaria,BGR,1989,44.39,6.68
Bulgaria,BGR,1990,43.45,6.44
Bulgaria,BGR,1991,42.77,7.64
Bulgaria,BGR,1992,46.04,7.09
Bulgaria,BGR,1993,45.65,7.55
Bulgaria,BGR,1994,46.79,7.46
Bulgaria,BGR,1995,45.83,7.98
Bulgaria,BGR,1996,45.28,7.63
Bulgaria,BGR,1997,43.61,6.86
Bulgaria,BGR,1998,41.8,7.11
Bulgaria,BGR,1999,43,7.58
Bulgaria,BGR,2000,40.38,7.19
Bulgaria,BGR,2001,40.88,7.03
Bulgaria,BGR,2002,42.84,7.01
Bulgaria,BGR,2003,44.29,6.95
Bulgaria,BGR,2004,43.94,7.44
Bulgaria,BGR,2005,48,8.8
Bulgaria,BGR,2006,47.19,7.76
Bulgaria,BGR,2007,47.37,8.45
Bulgaria,BGR,2008,48.88,8.16
Bulgaria,BGR,2009,45.65,8.07
