Entity,Code,Year,$40 - total number of people above poverty line,$30-$40 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$6.85-$10 - total number of people between poverty lines,$3.65-$6.85 - total number of people between poverty lines,$2.15-$3.65 - total number of people between poverty lines,$1-$2.15 - total number of people between poverty lines,$1 - total number of people below poverty line
Armenia,ARM,2018,37972,26388,65216,566547,813421,1164220,238429,39040,508
Armenia,ARM,2019,8960,12960,59274,490716,840332,1254799,260220,30467,0
Armenia,ARM,2020,4338,7328,24014,475473,868113,1380550,191917,11501,0
Australia,AUS,1981,5411705,2799137,4141594,2089629,224060,74849,37726,74269,74031
Australia,AUS,1985,5776430,2995339,4306172,2154347,205594,109433,52899,52480,105306
Australia,AUS,1989,6599788,3068593,4246472,2273532,290950,167741,42179,41371,83774
Australia,AUS,1995,6063361,3424531,4974851,3024040,268999,95450,85267,45732,89769
Australia,AUS,2001,8260406,3437365,4902449,2330315,195768,94107,47495,0,145095
Australia,AUS,2003,8755998,3686295,4817721,2141612,146085,100732,48534,51216,147207
Australia,AUS,2004,9963248,3925017,4278155,1610424,99393,107748,0,42924,100491
Australia,AUS,2008,13243304,3825519,2899845,1066651,71628,0,65494,0,76759
Australia,AUS,2010,13805221,4037925,2789776,1102142,74581,72807,72370,0,76928
Australia,AUS,2014,16433199,3580300,2347856,821303,58979,59292,57735,59758,57264
Australia,AUS,2016,16631309,3812961,2477402,966988,62974,118623,0,61443,59207
Australia,AUS,2018,17364480,3809334,2438251,997769,126957,61466,60244,0,124187
Austria,AUT,1987,4601939,1685419,1060384,208688,18156,0,0,0,0
Austria,AUT,1994,4623426,1607086,1171189,396897,60151,40084,17572,0,19713
Austria,AUT,1995,4034258,1510095,1350889,715398,158921,79642,20067,0,79008
Austria,AUT,1997,4466171,1652089,1276032,444694,55355,36874,20167,0,16659
Austria,AUT,2000,5011451,1538388,1062829,299133,61303,19105,0,19357,0
Austria,AUT,2003,5271690,1436204,993748,340588,26246,20313,5654,3472,23508
Austria,AUT,2004,5509112,1423104,935686,238462,30975,22972,4982,826,5847
Austria,AUT,2005,5296278,1606282,986874,261887,39423,20990,3450,3848,8797
Austria,AUT,2006,5457516,1522444,931737,295218,22354,20320,11601,2717,4734
Austria,AUT,2007,5677900,1274608,921399,324046,33219,14645,18787,9106,21777
Austria,AUT,2008,5839140,1253579,823699,287321,35757,33568,9224,22233,16975
Austria,AUT,2009,5935717,1197805,792489,290848,42407,22937,6368,13703,41049
Austria,AUT,2010,6065020,1189217,770881,242251,27955,19973,7068,10311,30728
Austria,AUT,2011,5925653,1249438,823580,260139,46182,38397,13395,7399,27460
Austria,AUT,2012,5948788,1214813,818146,300378,57694,29766,8400,10751,41255
Austria,AUT,2013,6103261,1327798,701482,254683,36026,24637,3274,5819,22843
Austria,AUT,2014,6115910,1263360,800729,272230,31602,33819,9540,7754,11412
Austria,AUT,2015,6200929,1195174,886656,203209,69202,24312,4689,10041,48487
Austria,AUT,2016,6486139,1163712,678366,253874,38655,37921,19984,9440,48577
Austria,AUT,2017,6465023,1224119,722497,291241,34609,25037,7056,7578,20406
Austria,AUT,2018,6447450,1279869,693563,301440,16379,39628,11946,7725,42521
Austria,AUT,2019,6770633,1093554,618833,290571,30875,12180,6386,8869,48019
Azerbaijan,AZE,1995,5123,14805,55797,591563,1043299,2999185,2020574,810195,144309
Azerbaijan,AZE,2001,30252,48245,149431,886055,1238536,3460423,1798798,484634,14826
Azerbaijan,AZE,2002,27943,34186,148441,1371964,2629821,3750116,202982,6497,0
Azerbaijan,AZE,2003,39775,32873,170161,1625944,2694683,3401016,265483,4165,0
Azerbaijan,AZE,2004,51620,52268,163406,1603179,2920519,3429763,85745,0,0
Azerbaijan,AZE,2005,53705,63122,285200,2130940,3228340,2604120,26423,0,0
Bangladesh,BGD,1983,861,0,0,463744,1450173,12961232,39148198,30159444,1958838
Bangladesh,BGD,1988,982,0,123754,956618,1909492,14407699,39808183,39328099,1651523
Bangladesh,BGD,1991,4446,12456,47054,711730,1991615,15095117,43443298,41828273,2465136
Bangladesh,BGD,1995,55590,104280,362435,2422855,4253724,22417435,46777346,37277564,1498704
Bangladesh,BGD,2000,41932,47494,365040,3048745,5484034,26934790,49198525,41216599,1320703
Bangladesh,BGD,2005,80110,49221,596258,4291829,7665527,35799749,57230740,32833795,488276
Bangladesh,BGD,2010,139539,112537,562445,4813030,10079262,44334814,60639871,26585660,308275
Bangladesh,BGD,2016,187209,207140,668518,6555002,13072451,55726669,60283321,20988333,288508
Belarus,BLR,1993,102,0,16677,727979,2256944,5997698,1198013,39988,1649
Belarus,BLR,1995,29012,48520,271218,3042279,3039578,3080429,555498,97041,30256
Belarus,BLR,1998,6490,1810,17773,272275,699778,3363114,3518725,1998727,193271
Belarus,BLR,1999,0,0,26142,287722,890869,3701805,3195839,1702985,221376
Belarus,BLR,2000,0,7358,34172,390285,1125261,4104027,2957046,1237738,123723
Belarus,BLR,2001,15851,11658,55455,818485,1713659,4522805,2132947,611445,46244
Belarus,BLR,2002,16618,12029,79004,1066083,2014268,4476933,1767087,407513,26013
Belarus,BLR,2003,5098,8857,72789,1265800,2095650,4510320,1494334,316626,27275
Belarus,BLR,2004,1910,14055,91394,1672494,2666005,4251391,906324,120730,5843
Belarus,BLR,2005,8999,45201,268799,2784965,3080291,2897410,492155,86095,0
Belarus,BLR,2006,25992,72049,493857,3591977,2744657,2336141,301968,33958,4325
Belarus,BLR,2007,78931,165366,754403,4074331,2509157,1722298,235568,20899,0
Belarus,BLR,2008,65332,160070,747026,4470800,2518450,1406748,143693,15866,0
Belarus,BLR,2009,82950,141353,818518,4586650,2393626,1311528,156825,12264,869
Belarus,BLR,2010,144263,314973,1094707,4791595,2014677,1042646,77756,3219,0
Belarus,BLR,2011,126267,273596,1249136,5029990,1839982,886940,55110,622,0
Belarus,BLR,2012,177651,379329,1639079,5269906,1426991,539929,12812,1139,0
Belarus,BLR,2013,285538,521619,2125307,5157984,1031267,315624,5872,0,0
Belarus,BLR,2014,369561,591939,2284805,4907032,992501,297630,5047,0,0
Belarus,BLR,2015,224762,395722,1861460,5352819,1238062,375157,13094,0,0
Belarus,BLR,2016,179269,376666,1592393,5540006,1346326,429054,5665,0,0
Belarus,BLR,2017,174682,400975,1747750,5369668,1456599,298762,10553,0,0
Belarus,BLR,2018,254637,517730,2098792,5386442,997738,176928,6518,0,0
Belarus,BLR,2019,354538,616668,2306464,5201876,710290,228204,1718,0,0
Belarus,BLR,2020,313433,603931,2476327,5137892,727743,114447,6179,0,0
Belgium,BEL,1985,2711183,2538437,2983485,1502506,48971,24755,25293,0,23678
Belgium,BEL,1988,3045767,2648931,2848402,1235145,50613,0,25495,0,47311
Belgium,BEL,1992,3921398,2633923,2486801,853694,29432,21138,0,28890,69882
Belgium,BEL,1995,5299943,2306257,1722573,663370,27580,43170,32113,0,41805
Belgium,BEL,1997,5244244,2442613,1731868,615741,46827,49811,0,25718,24423
Belgium,BEL,2000,6100712,2212474,1428047,391319,18447,32466,36467,0,31318
Belgium,BEL,2003,5996334,2139660,1471628,621654,55796,44265,16247,15520,15029
Belgium,BEL,2004,6316501,2040157,1396057,614965,9583,30536,7917,3696,1725
Belgium,BEL,2005,6449495,2148889,1277734,514240,35941,17956,14131,5340,14891
Belgium,BEL,2006,6532225,2045771,1354526,538687,31994,22562,4373,4303,13517
Belgium,BEL,2007,6710701,2008626,1311459,513399,39691,20934,4797,8854,7239
Belgium,BEL,2008,6955736,1930504,1258774,508615,25968,15303,2391,3767,8915
Belgium,BEL,2009,7199685,1826745,1109900,547200,75762,20050,5536,5588,6027
Belgium,BEL,2010,7233805,1859809,1154243,558189,38435,29428,6737,4414,10526
Belgium,BEL,2011,7118082,1901800,1335520,570109,46973,33786,13420,10592,7982
Belgium,BEL,2012,7553202,1760027,1186854,527717,28850,24591,8301,1814,15576
Belgium,BEL,2013,7462512,1852838,1224130,534579,29424,31173,8625,1470,14656
Belgium,BEL,2014,7531905,1759090,1331762,524591,31194,16340,5601,811,7763
Belgium,BEL,2015,7749886,1667900,1296761,517418,17715,2513,14026,0,7977
Belgium,BEL,2016,7778222,1702193,1287726,493019,35764,24281,3439,314,6464
Belgium,BEL,2017,7893065,1737926,1132666,544097,26890,14792,8902,0,16820
Belgium,BEL,2018,8222763,1540432,1184265,436989,19762,12587,987,1904,7365
Belgium,BEL,2019,8481900,1588922,1037271,340377,15414,10255,5816,3013,6012
Belize,BLZ,1993,3448,4039,9405,28569,30126,59275,35990,16559,10214
Belize,BLZ,1994,4863,2473,8712,26225,27517,65181,36872,20522,9314
Belize,BLZ,1995,11769,6319,16099,42253,30376,40956,27594,22517,9079
Belize,BLZ,1996,4016,2829,6645,27598,21679,62275,49580,27183,11855
Belize,BLZ,1997,2945,2493,8772,27657,24166,59858,48063,30170,17451
Belize,BLZ,1998,5026,2535,8913,30404,26217,60268,51305,31922,13658
Belize,BLZ,1999,6019,3622,8257,33829,36993,62679,44532,26460,16588
Benin,BEN,2003,3172,8415,21321,115023,220509,1077288,2082205,3234395,758228
Benin,BEN,2011,2021,11262,37041,273253,435687,1358234,2209729,3986382,1147220
Benin,BEN,2015,10355,8925,70862,378155,396468,1453553,2894652,3318996,2043996
Benin,BEN,2018,17443,22248,100533,630939,1133732,3466426,3828651,2160758,124305
Bhutan,BTN,2003,3750,3492,10962,63977,85602,198935,177229,83063,830
Bhutan,BTN,2007,2219,5593,18374,101634,122839,237124,138172,37840,1078
Bhutan,BTN,2012,10628,11197,33858,173196,157902,231117,71544,12003,137
Bhutan,BTN,2017,6282,16617,59972,213143,154767,224549,63182,6846,205
Bolivia,BOL,1997,455511,271596,604414,1689701,1259546,1587308,835985,594914,638478
Bolivia,BOL,1999,425041,282040,617925,1725538,1074782,1491546,833952,723528,1082714
Bolivia,BOL,2000,396804,211023,436304,1550546,1124302,1717940,940137,680150,1361064
Bolivia,BOL,2001,371985,235692,525195,1686380,1318090,1886524,923468,780975,851935
Bolivia,BOL,2002,399447,218014,456519,1694580,1269816,1938870,1044426,753000,968150
Bolivia,BOL,2004,504893,270851,587861,2004388,1546354,2241156,986978,605606,320957
Bolivia,BOL,2005,634372,307409,750606,1909537,1271555,1983382,934591,731727,709122
Bolivia,BOL,2006,662867,356327,873555,2157031,1392379,1864195,915161,613789,560145
Bolivia,BOL,2007,611177,472853,824984,2318538,1396512,2159187,870311,492508,412368
Bolivia,BOL,2008,633158,478727,1056003,2726966,1529152,1827633,658604,470507,340707
Bolivia,BOL,2009,675390,512414,1147841,3166326,1526153,1467813,520805,557546,310502
Bolivia,BOL,2011,878141,668517,1490040,3362590,1416874,1338870,516744,347793,193382
Bolivia,BOL,2012,953660,710839,1582702,3297059,1376811,1315254,470130,383458,287764
Bolivia,BOL,2013,1151015,812524,1605547,3389795,1289560,1312693,432866,330438,217937
Bolivia,BOL,2014,1129235,759707,1653802,3526075,1476248,1199100,504551,303380,154419
Bolivia,BOL,2015,1054574,773509,1727380,3538067,1548761,1294692,429484,291382,211883
Bolivia,BOL,2016,993460,852868,1764978,3547044,1448966,1312135,492345,365846,254180
Bolivia,BOL,2017,1062002,833093,1830344,3651041,1463834,1325562,474793,381789,170395
Bolivia,BOL,2018,952481,918251,1841857,3924754,1547405,1293850,501978,244446,128118
Bolivia,BOL,2019,1042902,910786,1936392,4170331,1659049,1138522,434007,185032,36081
Bolivia,BOL,2020,1115563,816880,1902845,4117082,1731575,1265566,359791,336474,27253
Bolivia - urban,,1990,97829,99219,268584,1000425,739947,1015663,517790,75815,0
Bolivia - urban,,1992,105280,58715,199058,715990,643357,1314499,723562,277092,82910
Bosnia and Herzegovina,BIH,2001,43633,78964,328325,1853836,931286,477760,29477,10048,2185
Bosnia and Herzegovina,BIH,2004,305491,311275,796152,1644817,458865,220461,20314,5429,1390
Bosnia and Herzegovina,BIH,2007,378249,430129,860309,1519187,394316,164226,13874,2183,318
Bosnia and Herzegovina,BIH,2011,310841,361405,840370,1544055,392913,180480,28364,2745,0
Botswana,BWA,1985,7497,5612,15153,68434,78830,216668,230365,287179,159847
Botswana,BWA,1993,10121,11848,30660,124909,125864,318971,299506,338438,138793
Botswana,BWA,2002,70765,40747,78019,200562,145084,324560,348179,371059,125662
Botswana,BWA,2009,80821,47215,99161,295308,251704,462857,370920,286648,58861
Botswana,BWA,2015,45404,38128,110219,326879,253117,541008,478814,293789,33358
Brazil,BRA,1981,3691628,2283635,4984669,16130685,13706260,29792712,23388240,20583671,9008827
Brazil,BRA,1982,3902977,2452963,5408474,16746616,13971142,29641646,23477513,21760378,9136613
Brazil,BRA,1983,2844573,2058539,4515745,14251288,12443487,27422652,26325903,27027451,12559177
Brazil,BRA,1984,2987060,2090062,4452635,14118425,13115555,29231102,26785565,27728893,11874272
Brazil,BRA,1985,2854810,2499126,5444381,17389220,15160357,30781287,26311217,24541473,10292212
Brazil,BRA,1986,8774201,4724296,9421779,27348046,19512973,32260697,19126948,12646305,4293670
Brazil,BRA,1987,6263651,3478454,7529487,22570740,17681319,31980305,23285337,19516832,8585481
Brazil,BRA,1988,6617312,3488739,7148470,21096055,17154524,31660407,24263508,21338257,10860233
Brazil,BRA,1989,8341402,4346977,8287755,22705628,17280113,32085031,23425015,19949133,9907251
Brazil,BRA,1990,5626449,3423774,7010983,20714648,17270119,32981561,26225629,24347465,11402597
Brazil,BRA,1992,2564611,2508786,6484556,22205853,19613312,38055709,26897651,22992783,12936121
Brazil,BRA,1993,5824126,3255354,7012183,21650102,18196181,38713448,27532658,22522180,12142854
Brazil,BRA,1995,9800108,5150863,10077446,29543921,22162554,37221069,24188620,16775845,7099463
Brazil,BRA,1996,9996740,5200560,11059334,30279321,21465061,37285579,22982034,17783983,8562070
Brazil,BRA,1997,9854158,5294909,10727048,30648284,22058109,38171594,23741232,18099906,8613806
Brazil,BRA,1998,10405540,5527013,10967914,32039200,22617644,39206243,24678121,17162576,7181002
Brazil,BRA,1999,9721303,5050144,10330489,30597298,23893931,41257842,25673736,18176308,7617623
Brazil,BRA,2001,11774416,6002620,12747222,36086198,25494352,38643976,23337049,15964927,7145291
Brazil,BRA,2002,12302776,5862818,13319904,36830636,26264404,39481841,24399880,15240845,5834419
Brazil,BRA,2003,11367756,5847486,12741154,37269672,26118078,41048445,24498017,16182423,6736213
Brazil,BRA,2004,11194974,6116543,13263865,38865606,27460993,42189400,24571688,14821494,5521916
Brazil,BRA,2005,12199721,6119956,14075762,42048094,27892928,42195079,23051908,13723705,4819955
Brazil,BRA,2006,13445175,6943384,15779135,44895922,29240949,41347210,20964985,11276165,4274428
Brazil,BRA,2007,14184348,7250070,16873084,48956084,28681305,39949409,19272165,10040279,4923701
Brazil,BRA,2008,15313147,7840879,18231461,51752392,30102380,38654760,17638656,8851039,3645648
Brazil,BRA,2009,16040142,8421754,19323353,53940492,30599326,37269541,16425283,8293689,3572925
Brazil,BRA,2011,17681670,9665683,22181975,58239385,30672875,35306834,13253427,7066865,3445827
Brazil,BRA,2012,19385354,10993924,23650001,59446947,29603302,35018707,12234060,6862243,2092754
Brazil,BRA,2013,21322337,11425970,25285261,61328263,29954813,32653397,11570135,6017749,1477979
Brazil,BRA,2014,22287862,12071947,27012677,62650561,29372712,31899975,10724192,5486756,1257062
Brazil,BRA,2015,21593781,11673536,26256989,63570241,29693137,32702554,11053184,6418764,1509573
Brazil,BRA,2016,21832786,11690801,24755622,62220275,29957576,33819696,12183870,7342513,2359917
Brazil,BRA,2017,21739663,12002655,25661679,62550835,29657343,33366045,11904738,8221835,2729032
Brazil,BRA,2018,23107903,12584260,26447636,62491435,29000845,33042370,11689305,8307798,2797768
Brazil,BRA,2019,23038124,13422813,27307659,63368503,28675019,32539062,11325765,8319956,3052618
Brazil,BRA,2020,21875867,12618804,28840747,76080027,33341124,28497180,7161690,3244826,899144
Bulgaria,BGR,1989,843994,1389808,3413756,3038932,152217,29252,4333,2167,2513
Bulgaria,BGR,1992,635086,775948,2253211,3741510,865855,268554,0,0,0
Bulgaria,BGR,1994,112904,200838,944340,5125714,1589040,414779,34006,10305,11665
Bulgaria,BGR,1995,169688,200144,810730,3779540,2015947,1168960,159535,85569,15954
Bulgaria,BGR,1997,4871,38175,136788,1274889,2421322,3871155,519908,38549,6411
Bulgaria,BGR,2001,74089,98786,466010,2895918,2105634,1719083,443461,201866,4295
Bulgaria,BGR,2003,39981,59971,345549,2530218,2533074,1897187,297001,72346,0
Bulgaria,BGR,2006,102726,106336,498045,2775983,1951061,1294492,429187,279820,163372
Bulgaria,BGR,2007,61786,181034,771710,3856081,1616946,858211,161880,27804,9886
Bulgaria,BGR,2008,353853,465693,1272508,3546117,1010850,580215,169579,73148,20598
Bulgaria,BGR,2009,356071,518397,1489911,3318657,942085,592645,129471,90025,7181
Bulgaria,BGR,2010,323448,482915,1347150,3239211,1010638,655433,188320,119289,29195
Bulgaria,BGR,2011,252912,319027,1201877,3480193,1061756,656939,194946,126911,53767
Bulgaria,BGR,2012,337006,377053,1205536,3360333,995070,626884,235281,132587,36138
Bulgaria,BGR,2013,483583,480918,1463288,3171093,709931,593759,232950,86436,43157
Bulgaria,BGR,2014,554877,572600,1465214,3073851,763957,508349,165150,91540,28400
Bulgaria,BGR,2015,474100,576202,1434542,2969934,710286,577688,189777,159681,85781
Bulgaria,BGR,2016,716359,747007,1555496,2739947,625046,403803,199996,103213,36955
Bulgaria,BGR,2017,696637,652610,1599291,2797435,662246,423345,147318,69471,27594
Bulgaria,BGR,2018,1012684,780148,1636695,2568087,466969,397972,101332,54051,7099
Bulgaria,BGR,2019,1114949,852319,1693009,2362785,451458,305318,131493,50627,13803
Burkina Faso,BFA,1994,4300,5901,11030,82904,147645,507368,1000041,2880509,5176886
Burkina Faso,BFA,1998,12412,8616,33155,159152,169817,622273,1197325,4328281,4437691
Burkina Faso,BFA,2003,10020,3304,37630,295136,444417,1842486,3099079,4913343,2009209
Burkina Faso,BFA,2009,11570,7934,58265,270286,423017,2258553,4139811,6371421,1600241
Burkina Faso,BFA,2014,8941,12339,66464,392845,760269,3291352,6089249,6727545,237025
Burkina Faso,BFA,2018,64723,121179,406325,1683947,1462944,4197008,5784168,5598368,432804
Burundi,BDI,1992,57,0,0,14545,55075,327600,1020737,2848654,1418901
Burundi,BDI,1998,789,1231,4503,51055,73368,226911,913823,2531224,2382660
Burundi,BDI,2006,0,269,933,47172,91448,583696,1418524,4263273,1202535
Burundi,BDI,2013,1804,3448,8340,110795,211167,936636,2054237,4538028,1675847
Cameroon,CMR,1996,21276,22049,100181,509068,628203,2162465,3491045,5727661,1308864
Cameroon,CMR,2001,62725,31462,133715,939811,1388830,4485115,4794407,3722298,370547
Cameroon,CMR,2007,33402,45864,179656,1128747,1561985,4832396,5062592,5386942,498699
Cameroon,CMR,2014,108760,129407,501127,2363367,2622662,6301242,4835688,4725489,1094111
Canada,CAN,1971,5601181,3513760,5657176,4993999,933431,604199,164230,110144,383912
Canada,CAN,1975,8968226,4570786,5323638,3239460,463466,231728,114998,57998,172975
Canada,CAN,1981,11729794,5027544,4775515,2607583,308215,185580,62895,67797,54992
Canada,CAN,1987,13160341,5623310,4622035,2512703,265399,204340,0,58473,0
Canada,CAN,1991,14229124,5968291,4686222,2664046,282503,146232,0,0,61002
Canada,CAN,1994,15153009,5872980,4858718,2610442,289835,143716,0,0,71963
Canada,CAN,1997,15925229,5610546,4856232,2915966,299629,149035,0,77191,72120
Canada,CAN,1998,16134469,5729976,4748802,2939295,302075,149987,0,76042,74527
Canada,CAN,2000,16801441,5522815,4758315,3068077,229866,152051,76509,0,76656
Canada,CAN,2004,18925257,5350262,4391266,2722415,313824,159837,0,0,77794
Canada,CAN,2007,21214286,5261981,3946817,2059196,242518,82579,0,81648,0
Canada,CAN,2010,22613279,4930763,4083823,1955247,255008,82154,0,84615,0
Canada,CAN,2012,23608006,4601760,3731332,2261720,253200,85451,87175,85578,0
Canada,CAN,2013,24123320,4557119,3514168,2292649,251688,169828,0,88932,85250
Canada,CAN,2014,24630368,4873540,3567346,1925587,86756,178430,89593,85815,0
Canada,CAN,2015,24813817,4642189,3747873,1963547,180752,177673,89262,87795,0
Canada,CAN,2016,25097008,5062771,3965165,1533230,98935,171898,90671,89809,0
Canada,CAN,2017,25858161,4841062,3751306,1638475,184029,90492,91499,90271,0
Cape Verde,CPV,2001,8557,4473,13249,48083,53414,124656,97984,74187,11098
Cape Verde,CPV,2007,7629,7575,17109,74913,70437,151634,95569,45986,4215
Cape Verde,CPV,2015,8419,9576,31081,108723,99587,165914,77490,22830,1120
Central African Republic,CAF,1992,30,886,8315,38690,48404,166023,264826,604376,1827686
Central African Republic,CAF,2008,17258,9060,30754,115800,136115,511218,808622,1450123,1194418
Chad,TCD,2003,2457,2649,11467,138853,224654,1255140,2321486,3816281,1600926
Chad,TCD,2011,10631,7674,68847,552291,850441,2865587,3479327,3149070,1377118
Chad,TCD,2018,6869,17277,72251,596073,945777,3833920,5225582,4300923,479055
Chile,CHL,1987,466751,289288,580350,1813488,1638845,3456824,2452874,1512429,432068
Chile,CHL,1990,641678,367097,677186,2238739,1914194,3701111,2318475,1120660,295477
Chile,CHL,1992,661732,336333,792943,2767969,2201825,3992929,2046914,757472,161701
Chile,CHL,1994,842216,440041,1013800,2883845,2315266,3807636,1900590,730572,232380
Chile,CHL,1996,971421,538179,1160362,3383108,2499984,3670473,1683417,525932,154491
Chile,CHL,1998,1145262,600146,1197013,3617992,2586640,3604599,1539101,512487,174496
Chile,CHL,2000,832991,518054,1121130,3764039,2756048,3897586,1558612,653114,240776
Chile,CHL,2003,845521,502670,1173326,3990486,2900762,4017906,1580868,590052,248058
